cls_elec,ct,disp,int,mod_pauli,pol,index
-672.3285,-14.6616,-8.989,-653.7458,65.3939,-23.1606,84
-666.0056,-14.9433,-9.0,-650.3024999999999,65.1166,-25.4702,85
-657.4331,-15.2877,-9.0118,-645.2972999999998,64.7693,-28.334,86
-646.2183,-15.6905,-9.0334,-638.2801000000001,64.3552,-31.6931,87
-631.8028,-16.1656,-9.084,-628.6693,63.8783,-35.4952,88
-613.3973,-16.7506,-9.1792,-615.6941,63.3503,-39.7173,89
-589.8878,-17.5145,-9.3373,-598.321,62.817,-44.3984,90
-654.6136,-12.1581,-7.769,-641.4352,50.5121,-17.4066,91
-653.803,-12.1912,-7.7709,-641.0051,50.4811,-17.7211,92
-651.3402,-12.2908,-7.7698,-639.6669999999999,50.3888,-18.655,93
-647.1287,-12.4557,-7.7742,-637.3026,50.2375,-20.1815,94
-640.9973,-12.6828,-7.7852,-633.6946,50.0304,-22.2597,95
-632.6835,-12.9673,-7.8099,-628.5323,49.7701,-24.8417,96
-621.8046,-13.3059,-7.8294,-621.3584,49.4583,-27.8768,97
-607.815,-13.71,-7.8725,-611.6246,49.0964,-31.3235,98
-589.9394,-14.2144,-7.9514,-598.5763,48.6903,-35.1614,99
-567.0767,-14.8835,-8.0952,-581.2097,48.2697,-39.424,100
-631.6974,-10.4786,-6.7797,-625.1471,39.0175,-15.2089,101
-630.9108,-10.5052,-6.7802,-624.6919,38.9943,-15.49,102
-628.5208,-10.5842,-6.7808,-623.2888,38.9253,-16.3283,103
-624.4336,-10.7156,-6.7815,-620.8194,38.8121,-17.7008,104
-618.483,-10.8994,-6.7963,-617.0955,38.6569,-19.5737,105
-610.4136,-11.1349,-6.8119,-611.8046,38.4614,-21.9056,106
-599.8528,-11.4212,-6.8267,-604.5264999999999,38.2264,-24.6522,107
-586.2676,-11.767,-6.8648,-594.7256,37.9519,-27.7781,108
-568.8986,-12.2053,-6.9384,-581.6661,37.6396,-31.2634,109
-546.6592,-12.7959,-7.0812,-564.3701000000001,37.3073,-35.1411,110
-610.8462,-9.1152,-5.9094,-608.9873,30.2968,-13.4133,111
-610.0822,-9.1368,-5.9045,-608.5115,30.2794,-13.6674,112
-607.7609,-9.2002,-5.8971,-607.0537999999999,30.2276,-14.4232,113
-603.791,-9.3054,-5.9005,-604.5164,30.1426,-15.6621,114
-598.0112,-9.4546,-5.9145,-600.7089000000001,30.0259,-17.3545,115
-590.1728,-9.6501,-5.9258,-595.3349000000001,29.8788,-19.465,116
-579.913,-9.893,-5.9396,-587.9997000000001,29.7015,-21.9556,117
-566.7121,-10.1911,-5.9737,-578.175,29.4933,-24.7914,118
