cls_elec,ct,disp,int,mod_pauli,pol,index
-3362.6168,-87.8488,-35.3072,-2237.1162,1566.1026,-317.446,1
-3361.275,-88.0732,-35.36,-2235.9397,1566.0855,-317.317,2
-3357.2587,-88.5928,-35.5265,-2232.1663999999996,1566.152,-316.9404,3
-3350.6106,-89.2666,-35.8399,-2225.3653,1566.6857,-316.3339,4
-3341.4619,-90.1365,-36.3637,-2215.0317,1568.4543,-315.5239,5
-3330.1549,-91.3389,-37.1951,-2200.3593,1572.8786,-314.549,6
-3317.4953,-93.0482,-38.4741,-2179.9148999999998,1582.5809,-313.4782,7
-3305.2791,-95.5015,-40.4103,-2151.1039,1602.5694,-312.4824,8
-3297.418,-99.1582,-43.2852,-2109.0423,1642.8461,-312.027,9
-3302.4345,-104.9037,-47.4737,-2043.6839,1724.4537,-313.3257,10
-3122.7769,-77.004,-29.8312,-2442.5269,1068.5554,-281.4702,11
-3121.3849,-77.1803,-29.8784,-2441.2365999999997,1068.5847,-281.3777,12
-3117.1966,-77.6122,-30.0289,-2437.1955,1068.75,-281.1078,13
-3110.1854,-78.1701,-30.31,-2430.0465999999997,1069.2986,-280.6797,14
-3100.3449,-78.8509,-30.7707,-2419.3615000000004,1070.7296,-280.1246,15
-3087.7697,-79.7537,-31.494,-2404.5236999999997,1073.9765,-279.4828,16
-3072.8293,-81.0192,-32.6081,-2384.4912,1080.7849,-278.8195,17
-3056.5417,-82.7935,-34.3004,-2357.3757000000005,1094.5345,-278.2746,18
-3041.3949,-85.3394,-36.841,-2319.6969,1122.0789,-278.2005,19
-3033.2167,-89.2162,-40.6024,-2264.399,1178.1221,-279.4858,20
-2922.3751,-68.1387,-25.2804,-2534.2431,738.9906,-257.4395,21
-2920.9795,-68.2536,-25.3234,-2532.8731000000002,739.0352,-257.3518,22
-2916.7673,-68.5835,-25.4567,-2528.6848000000005,739.2176,-257.0949,23
-2909.6679,-69.0755,-25.7033,-2521.4329000000002,739.702,-256.6882,24
-2899.5858,-69.7001,-26.1057,-2510.7412,740.8151,-256.1647,25
-2886.4509,-70.5001,-26.7335,-2496.0791999999997,743.1808,-255.5755,26
-2870.3343,-71.5797,-27.6953,-2476.6395,747.9701,-255.0003,27
-2851.7111,-73.0514,-29.162,-2451.0274,757.4779,-254.5808,28
-2832.0583,-75.0626,-31.3854,-2416.6919000000007,776.434,-254.6196,29
-2815.2532,-77.9616,-34.7257,-2368.6066,815.1533,-255.8194,30
-2750.8121,-60.3568,-21.5086,-2556.3293000000003,517.7179,-241.3697,31
-2749.4392,-60.4206,-21.5451,-2554.9175,517.7629,-241.2755,32
-2745.2873,-60.6506,-21.661,-2550.6686,517.9305,-241.0002,33
-2738.2589,-61.0803,-21.8767,-2543.4482,518.3275,-240.5598,34
-2728.2027,-61.6891,-22.2265,-2532.9306,519.1773,-239.9896,35
-2714.9414,-62.4724,-22.7677,-2518.6286,520.8984,-239.3455,36
-2698.3444,-63.493,-23.5933,-2499.8642,524.2828,-238.7163,37
-2678.5074,-64.8574,-24.8583,-2475.5795999999996,530.8962,-238.2527,38
-2656.1838,-66.6693,-26.7894,-2443.8741999999997,544.0127,-238.2444,39
-2633.831,-69.1306,-29.7282,-2401.0686,570.9155,-239.2943,40
-2601.1085,-53.7602,-18.3033,-2536.1108,367.1596,-230.0984,41
-2599.7723,-53.7974,-18.3351,-2534.7018999999996,367.2008,-229.9979,42
-2595.7257,-53.968,-18.4366,-2530.4808,367.3455,-229.696,43
-2588.8562,-54.351,-18.6226,-2523.3785000000003,367.6635,-229.2122,44
-2578.9787,-54.9533,-18.9227,-2513.1283000000003,368.3045,-228.5781,45
-2565.8485,-55.7544,-19.3864,-2499.2826,369.5539,-227.8472,46
-2549.2023,-56.7847,-20.0976,-2481.2401,371.9548,-227.1103,47
-2528.8734,-58.1462,-21.1864,-2458.1481,376.5859,-226.528,48
-2505.0965,-59.9464,-22.8585,-2428.5667999999996,385.7233,-226.3887,49
-2479.2869,-62.3046,-25.4246,-2389.7481,404.5185,-227.2505,50
-2468.5193,-48.7284,-15.5811,-2490.6748999999995,263.3856,-221.2317,51
-2467.2263,-48.7639,-15.6103,-2489.3006999999993,263.4209,-221.1211,52
-2463.3072,-48.9223,-15.6982,-2485.1867,263.5377,-220.7967,53
-2456.6411,-49.2867,-15.8563,-2478.2738,263.783,-220.2727,54
-2447.0244,-49.8873,-16.1118,-2468.3353,264.2636,-219.5754,55
-2434.1719,-50.7186,-16.5093,-2454.9778,265.178,-218.756,56
-2417.7355,-51.8018,-17.1218,-2437.6692,266.8944,-217.9045,57
-2397.3715,-53.2283,-18.0575,-2415.6753000000003,270.1626,-217.1806,58
-2372.9463,-55.1183,-19.4979,-2387.8732,276.5646,-216.8753,59
-2345.1077,-57.5735,-21.7409,-2352.1717,289.7622,-217.5118,60
-2349.7202,-45.6801,-13.203,-2430.7685,190.9591,-213.1243,61
-2348.4729,-45.7264,-13.2271,-2429.4482000000003,190.9869,-213.0087,62
-2344.69,-45.9002,-13.3013,-2425.4804000000004,191.0788,-212.6677,63
-2338.2469,-46.2694,-13.4355,-2418.7955000000006,191.2679,-212.1116,64
-2328.9305,-46.8767,-13.6531,-2409.1935,191.6284,-211.3616,65
-2316.4333,-47.7428,-13.9911,-2396.3386000000005,192.2967,-210.4681,66
-2300.3554,-48.9042,-14.5121,-2379.7571,193.5316,-209.517,67
-2280.2373,-50.4432,-15.3157,-2358.8039000000003,195.8504,-208.6581,68
-2255.689,-52.4864,-16.5571,-2332.5411999999997,200.3706,-208.1793,69
-2226.7956,-55.1601,-18.5058,-2299.3455,209.6986,-208.5826,70
-2242.3156,-44.8069,-11.1591,-2363.2034999999996,139.7887,-204.7106,71
-2241.1141,-44.8631,-11.1775,-2361.9384,139.8106,-204.5943,72
-2237.4687,-45.0581,-11.2387,-2358.1258,139.8816,-204.2419,73
-2231.2539,-45.4437,-11.3516,-2351.6862,140.0263,-203.6633,74
-2222.2527,-46.0681,-11.5344,-2342.4395,140.2954,-202.8797,75
-2210.1467,-46.9762,-11.8213,-2330.0891,140.7857,-201.9306,76
-2194.5067,-48.2266,-12.2655,-2314.2194,141.6767,-200.8973,77
-2174.8003,-49.9087,-12.9526,-2294.2487,143.3394,-199.9265,78
-2150.4634,-52.1531,-14.026,-2269.3732000000005,146.5556,-199.2863,79
-2121.1746,-55.1167,-15.7221,-2238.2956999999997,153.1844,-199.4667,80
-2144.5284,-46.1093,-9.3802,-2292.2424,103.2352,-195.4597,81
-2143.3718,-46.1744,-9.3967,-2291.0292,103.2528,-195.3391,82
-2139.8613,-46.3889,-9.4473,-2287.3708,103.3081,-194.9814,83
-2133.8722,-46.7958,-9.5417,-2281.1843999999996,103.418,-194.3927,84
-2125.1872,-47.4478,-9.6953,-2272.3049999999994,103.6185,-193.5932,85
-2113.4841,-48.4065,-9.9374,-2260.4656,103.978,-192.6156,86
-2098.3188,-49.752,-10.3131,-2245.2912,104.6247,-191.532,87
-2079.1157,-51.5922,-10.8989,-2226.2628999999997,105.821,-190.4771,88
-2055.1963,-54.0699,-11.8232,-2202.6672,108.1276,-189.7054,89
-2025.9514,-57.374,-13.2934,-2173.4291,112.8739,-189.6842,90
-2055.0006,-49.4004,-7.8444,-2220.5526999999997,76.8495,-185.1568,91
-2053.8872,-49.4746,-7.8586,-2219.3949000000002,76.8616,-185.0361,92
-2050.507,-49.7081,-7.8988,-2215.8954,76.9028,-184.6843,93
-2044.7368,-50.141,-7.9756,-2209.9703999999997,76.9851,-184.1021,94
-2036.3615,-50.8284,-8.1047,-2201.4629,77.1349,-183.3032,95
-2025.0592,-51.846,-8.3092,-2190.1324,77.3998,-182.3178,96
-2010.3801,-53.2921,-8.6271,-2175.6387,77.8721,-181.2115,97
-1991.7252,-55.2946,-9.1261,-2157.5155999999997,78.738,-180.1077,98
-1968.344,-58.024,-9.9192,-2135.129,80.4004,-179.2422,99
-1939.4286,-61.7059,-11.1955,-2107.5606,83.8212,-179.0518,100
-1972.6623,-54.397,-6.5263,-2149.8361999999997,57.6306,-173.8812,101
-1971.5902,-54.4768,-6.5346,-2148.7334,57.6389,-173.7707,102
-1968.3345,-54.7294,-6.5675,-2145.3937,57.6688,-173.4311,103
-1962.7745,-55.1897,-6.6317,-2139.7309999999998,57.7309,-172.866,104
-1954.6983,-55.9197,-6.7379,-2131.6,57.8427,-172.0868,105
-1943.787,-57.0049,-6.9064,-2120.7814,58.0365,-171.1196,106
-1929.5911,-58.5576,-7.1742,-2106.9631,58.3796,-170.0198,107
-1911.5008,-60.7274,-7.5995,-2089.7177,59.0098,-168.8998,108
-1888.7229,-63.7179,-8.2802,-2068.478,60.2188,-167.9758,109
-1860.3165,-67.8025,-9.3822,-2042.4631,62.7004,-167.6623,110
-1896.6472,-60.7453,-5.3997,-2081.1684,43.5081,-161.8843,111
-1895.6142,-60.8313,-5.4085,-2080.1168000000002,43.5137,-161.7765,112
-1892.477,-61.1014,-5.4357,-2076.932,43.5359,-161.4538,113
-1887.1172,-61.5947,-5.4887,-2071.5332,43.5814,-160.914,114
-1879.3273,-62.3742,-5.5753,-2063.7814,43.6641,-160.1687,115
-1868.7932,-63.5324,-5.7152,-2053.4705000000004,43.8078,-159.2375,116
-1855.069,-65.1969,-5.9412,-2040.3134999999997,44.0604,-158.1668,117
-1837.5426,-67.5425,-6.3018,-2023.9293,44.519,-157.0614,118
-1815.3978,-70.8047,-6.8819,-2003.8083,45.3984,-156.1223,119
-1787.6078,-75.3125,-7.836,-1979.2684,47.2084,-155.7205,120
-1826.2367,-68.0944,-4.456,-2015.1852999999996,33.0651,-149.4633,121
-1825.2408,-68.1876,-4.4635,-2014.1834000000001,33.0696,-149.3611,122
