cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-708.7626,-63.3762,-46.1499,-302.93420000000003,603.3538,-87.9993,1,2.6302740466000003
-646.1311,-50.7711,-39.2441,-348.65599999999995,462.6002,-75.1099,2,2.7302740466
-595.3272,-41.1986,-33.366,-380.0635,355.2172,-65.3889,3,2.8302740465999996
-553.6779,-33.9611,-28.4047,-400.63960000000003,273.1905,-57.7864,4,2.9302740466
-519.1383,-28.4499,-24.2113,-413.0828,210.4476,-51.7309,5,3.0302740465999998
-490.144,-24.194,-20.6568,-419.44129999999996,162.3844,-46.8309,6,3.1302740466000003
-465.4981,-20.8463,-17.648,-421.2857,125.5085,-42.8018,7,3.2302740466
-444.2836,-18.1633,-15.1075,-419.7981,97.1691,-39.4128,8,3.3302740465999996
-425.7972,-15.9459,-12.9437,-415.91749999999996,75.353,-36.5837,9,3.4302740466
-409.4977,-14.0792,-11.1,-410.29310000000004,58.5298,-34.146,10,3.5302740465999998
-394.968,-12.4816,-9.5437,-403.4571,45.535,-31.9988,11,3.6302740466000003
-381.8847,-11.095,-8.2129,-395.81600000000003,35.4808,-30.1042,12,3.7302740466
-369.9965,-9.8854,-7.0627,-387.63910000000004,27.6895,-28.384,13,3.8302740465999996
-359.1063,-8.8289,-6.0816,-379.1619999999999,21.6429,-26.7881,14,3.9302740466
-349.0589,-7.9068,-5.2427,-370.5481,16.9438,-25.2835,15,4.0302740466
-339.731,-7.1037,-4.5221,-361.9193,13.287,-23.8495,16,4.1302740466
-331.0238,-6.4072,-3.9008,-353.38030000000003,10.4378,-22.4863,17,4.2302740466
-322.8576,-5.8049,-3.3666,-344.9801,8.2152,-21.1662,18,4.330274046599999
-315.1674,-5.283,-2.9063,-336.7597,6.4794,-19.8824,19,4.4302740466
-307.8996,-4.8304,-2.5117,-328.77040000000005,5.1219,-18.6506,20,4.530274046599999
-301.0099,-4.4353,-2.1679,-321.02709999999996,4.0591,-17.4731,21,4.6302740466
-294.4611,-4.0891,-1.87,-313.53249999999997,3.2258,-16.3381,22,4.730274046599999
-288.2217,-3.7838,-1.6188,-306.30100000000004,2.5714,-15.2481,23,4.8302740466
-282.265,-3.5087,-1.4061,-299.34099999999995,2.0566,-14.2178,24,4.930274046599999
-276.568,-3.258,-1.2189,-292.6397,1.6508,-13.2456,25,5.030274046600001
-271.1106,-3.0283,-1.053,-286.19219999999996,1.3302,-12.3305,26,5.1302740466
-265.8754,-2.8165,-0.9146,-280.00210000000004,1.0763,-11.4719,27,5.2302740466
-260.8471,-2.6188,-0.7996,-274.05940000000004,0.8745,-10.6684,28,5.3302740466
-256.012,-2.4328,-0.6982,-268.3469,0.7137,-9.9176,29,5.430274046599999
-251.3579,-2.257,-0.608,-262.8574,0.5851,-9.2196,30,5.530274046600001
-246.8738,-2.0896,-0.5317,-257.58979999999997,0.4818,-8.5765,31,5.6302740466
-242.5498,-1.9296,-0.4701,-252.53449999999998,0.3984,-7.9834,32,5.7302740466
-238.3771,-1.7775,-0.4166,-247.6734,0.3309,-7.4331,33,5.830274046600001
-234.3472,-1.6329,-0.3671,-242.99419999999998,0.2759,-6.9229,34,5.930274046600001
-230.4526,-1.4952,-0.3235,-238.4938,0.2309,-6.4534,35,6.030274046600001
-226.6865,-1.3648,-0.288,-234.169,0.1938,-6.0235,36,6.1302740466
-223.0422,-1.2422,-0.2584,-230.0078,0.1633,-5.6283,37,6.2302740466
-219.514,-1.128,-0.2306,-225.9973,0.1379,-5.2626,38,6.330274046600001
-216.0961,-1.022,-0.2041,-222.1292,0.1167,-4.9237,39,6.430274046599999
-212.7834,-0.9237,-0.1813,-218.3996,0.0989,-4.6101,40,6.530274046600001
-209.5711,-0.8321,-0.1636,-214.8043,0.084,-4.3215,41,6.6302740466
-206.4547,-0.7472,-0.1498,-211.33579999999998,0.0714,-4.0555,42,6.7302740466
-203.4298,-0.669,-0.1368,-207.9848,0.0607,-3.8099,43,6.8302740466
-200.4924,-0.597,-0.1237,-204.74410000000003,0.0516,-3.5826,44,6.930274046599999
-197.6389,-0.5314,-0.1112,-201.6092,0.0439,-3.3716,45,7.030274046600001
-194.8655,-0.4718,-0.1004,-198.57610000000003,0.0374,-3.1758,46,7.1302740466
-192.1691,-0.4179,-0.0919,-195.641,0.0318,-2.9939,47,7.2302740466
-189.5464,-0.369,-0.0846,-192.7982,0.027,-2.8252,48,7.330274046600001
-186.9944,-0.325,-0.0779,-190.043,0.0229,-2.6686,49,7.430274046599999
-184.5103,-0.2855,-0.0714,-187.37080000000003,0.0194,-2.523,50,7.530274046600001
-182.0914,-0.2503,-0.065,-184.7774,0.0164,-2.3871,51,7.630274046600002
-179.7352,-0.219,-0.0589,-182.25939999999997,0.0139,-2.2602,52,7.7302740466
-177.4392,-0.1912,-0.0535,-179.81370000000004,0.0117,-2.1415,53,7.830274046600001
-175.2012,-0.1666,-0.0488,-177.4372,0.0099,-2.0305,54,7.930274046599999
-173.0191,-0.1447,-0.0454,-175.12760000000003,0.0083,-1.9267,55,8.0302740466
-170.8906,-0.1253,-0.0429,-172.8814,0.007,-1.8296,56,8.1302740466
-168.814,-0.1083,-0.0407,-170.6959,0.0058,-1.7387,57,8.2302740466
-166.7872,-0.0934,-0.0382,-168.56730000000002,0.0049,-1.6534,58,8.3302740466
-164.8085,-0.0804,-0.0352,-166.4933,0.0041,-1.5733,59,8.430274046600001
-162.8763,-0.0691,-0.0317,-164.47169999999997,0.0034,-1.498,60,8.5302740466
-160.9889,-0.0593,-0.0282,-162.5009,0.0028,-1.4273,61,8.6302740466
