cls_elec,ct,disp,int,mod_pauli,pol,index,distances
1181.1636,-7.46,-2.5114,1101.07,12.2808,-82.403,1,2.3500000000000005
1133.4168,-6.0918,-2.0033,1060.8466,7.4111,-71.8862,2,2.45
1089.2421,-4.9395,-1.5681,1024.6834,4.4784,-62.5295,3,2.55
1048.3015,-3.9562,-1.2244,991.5538999999998,2.7159,-54.2829,4,2.6500000000000004
1010.28,-3.1212,-0.9417,960.7597,1.6472,-47.1046,5,2.75
974.8922,-2.4208,-0.7268,931.8573,1.0019,-40.8892,6,2.8500000000000005
941.8827,-1.8402,-0.5631,904.5413000000001,0.6064,-35.5445,7,2.95
911.0249,-1.3728,-0.4369,878.6136,0.3689,-30.9705,8,3.05
882.1183,-1.0037,-0.3457,853.9387,0.2215,-27.0517,9,3.1500000000000012
854.9855,-0.7211,-0.2725,830.4144,0.1325,-23.71,10,3.249999999999999
829.4692,-0.5111,-0.2188,807.9698,0.0784,-20.8479,11,3.3500000000000005
805.4301,-0.3579,-0.1787,786.5436000000001,0.0447,-18.3946,12,3.45
782.744,-0.25,-0.1468,766.0834000000001,0.027,-16.2908,13,3.55
761.3001,-0.1762,-0.1226,746.5405999999999,0.0151,-14.4758,14,3.6500000000000012
740.9994,-0.1268,-0.1031,727.8694,0.0075,-12.9076,15,3.749999999999999
721.7529,-0.0949,-0.0868,710.0272999999999,0.0047,-11.5486,16,3.8500000000000005
703.4807,-0.0745,-0.0738,692.9697,0.0018,-10.3645,17,3.95
686.1108,-0.0614,-0.0634,676.6569,0.0006,-9.3297,18,4.05
669.578,-0.0528,-0.0547,661.0491999999999,0.0016,-8.4229,19,4.150000000000001
653.8231,-0.0467,-0.0475,646.1049999999999,0.001,-7.6249,20,4.249999999999999
638.7926,-0.042,-0.0413,631.7887,-0.0004,-6.9202,21,4.3500000000000005
624.4376,-0.038,-0.0361,618.0675,0.0003,-6.2963,22,4.45
610.7136,-0.0342,-0.0315,604.9065999999999,0.0006,-5.7419,23,4.55
597.58,-0.0307,-0.0277,592.2734,-0.0003,-5.2479,24,4.650000000000001
584.9993,-0.0273,-0.0244,580.1410999999999,-0.0001,-4.8064,25,4.750000000000001
572.9374,-0.0241,-0.0216,568.4817,0.0009,-4.4109,26,4.8500000000000005
561.3629,-0.0211,-0.0192,557.2673,0.0003,-4.0556,27,4.95
550.2467,-0.0185,-0.017,546.4739,-0.0016,-3.7357,28,5.05
539.5623,-0.0162,-0.0152,536.0816,-0.0023,-3.447,29,5.150000000000001
529.2849,-0.0142,-0.0135,526.0696,-0.0017,-3.1859,30,5.250000000000001
519.3917,-0.0126,-0.0121,516.4164999999999,-0.0013,-2.9492,31,5.3500000000000005
509.8615,-0.0113,-0.0108,507.10389999999995,-0.0012,-2.7343,32,5.45
500.6748,-0.0102,-0.0097,498.1162,0.0,-2.5387,33,5.55
491.8133,-0.0094,-0.0088,489.4367,0.002,-2.3604,34,5.650000000000001
483.26,-0.0089,-0.0079,481.0486,0.0029,-2.1975,35,5.749999999999999
474.9991,-0.0084,-0.0071,472.93730000000005,0.0022,-2.0485,36,5.8500000000000005
467.0159,-0.0081,-0.0064,465.0905,0.0011,-1.912,37,5.95
459.2966,-0.0079,-0.0058,457.49699999999996,0.0009,-1.7868,38,6.05
451.8283,-0.0078,-0.0053,450.14490000000006,0.0014,-1.6717,39,6.1499999999999995
444.5991,-0.0077,-0.0048,443.02260000000007,0.0017,-1.5657,40,6.250000000000001
437.5975,-0.0075,-0.0044,436.11920000000003,0.0016,-1.468,41,6.3500000000000005
430.813,-0.0074,-0.004,429.42539999999997,0.0017,-1.3779,42,6.45
424.2357,-0.0073,-0.0036,422.9325,0.0023,-1.2946,43,6.55
417.8562,-0.0071,-0.0033,416.6315,0.0032,-1.2175,44,6.650000000000001
411.6657,-0.007,-0.003,410.5131,0.0035,-1.1461,45,6.749999999999999
405.656,-0.0067,-0.0028,404.5695,0.0029,-1.0799,46,6.8500000000000005
399.8192,-0.0065,-0.0026,398.7936,0.0019,-1.0184,47,6.950000000000002
394.148,-0.0063,-0.0024,393.1792,0.0011,-0.9612,48,7.05
388.6354,-0.006,-0.0022,387.72,0.0008,-0.908,49,7.150000000000001
383.2749,-0.0057,-0.002,382.4099,0.0012,-0.8585,50,7.249999999999999
378.0603,-0.0054,-0.0018,377.2424,0.0016,-0.8123,51,7.3500000000000005
372.9856,-0.0051,-0.0017,372.21149999999994,0.0018,-0.7691,52,7.45
368.0454,-0.0049,-0.0016,367.3117,0.0016,-0.7288,53,7.55
363.2344,-0.0046,-0.0014,362.5389,0.0016,-0.6911,54,7.650000000000001
358.5475,-0.0043,-0.0013,357.8879,0.0018,-0.6558,55,7.750000000000001
353.98,-0.0041,-0.0012,353.3541000000001,0.0022,-0.6228,56,7.8500000000000005
349.5274,-0.0038,-0.0011,348.9332,0.0025,-0.5918,57,7.95
345.1854,-0.0036,-0.0011,344.6204,0.0024,-0.5627,58,8.05
340.95,-0.0034,-0.001,340.41200000000003,0.0018,-0.5354,59,8.150000000000002
336.8173,-0.0033,-0.0009,336.30439999999993,0.001,-0.5097,60,8.25
332.7835,-0.0031,-0.0009,332.29429999999996,0.0003,-0.4855,61,8.350000000000001
