cls_elec,ct,disp,int,mod_pauli,pol,index
-856.6034,-45.7717,-27.4601,-736.6765,309.1119,-115.9532,1
-855.9203,-45.8907,-27.6619,-735.6579,309.8488,-116.0338,2
-853.9412,-46.2676,-28.2832,-732.5597,312.242,-116.3097,3
-850.9169,-46.9375,-29.4189,-727.2527000000001,316.9084,-116.8878,4
-847.4226,-47.9502,-31.2267,-719.4195000000001,325.1474,-117.9674,5
-844.6863,-49.4011,-33.9688,-708.4343999999999,339.5097,-119.8879,6
-845.3065,-51.4798,-38.0218,-692.9846,365.0445,-123.221,7
-854.8218,-54.6157,-44.1658,-670.5302,412.0781,-129.005,8
-885.2246,-59.8713,-53.4803,-635.3336,502.5972,-139.3546,9
-962.9788,-70.1445,-67.8645,-574.8994,685.3462,-159.2578,10
-832.6931,-38.3418,-22.7389,-764.9552,235.4088,-106.5902,11
-831.8947,-38.4391,-22.9022,-763.9603,235.9036,-106.6279,12
-829.5363,-38.7442,-23.4387,-760.9736,237.5131,-106.7675,13
-825.7572,-39.2848,-24.3779,-755.8503000000001,240.6632,-107.0936,14
-820.9015,-40.1035,-25.8914,-748.4037,246.2585,-107.7658,15
-815.7598,-41.2751,-28.1625,-738.1447999999999,256.0976,-109.045,16
-812.1075,-42.9312,-31.6018,-724.2097,273.7995,-111.3687,17
-813.9154,-45.365,-36.7895,-704.6574999999999,306.9134,-115.501,18
-830.1381,-49.3091,-44.7659,-675.2771,371.8896,-122.9536,19
-881.2909,-56.7767,-57.2085,-626.3332,506.2013,-137.2584,20
-808.6866,-33.0725,-18.8569,-779.2777,179.6588,-98.3205,21
-807.8242,-33.1538,-18.9966,-778.3104999999999,179.9935,-98.3294,22
-805.2509,-33.4059,-19.4271,-775.3768,181.0838,-98.3767,23
-801.0283,-33.8497,-20.2357,-770.4200999999998,183.2232,-98.5296,24
-795.3382,-34.5219,-21.491,-763.2259,187.0405,-98.9153,25
-788.656,-35.4844,-23.4482,-753.5336,193.8007,-99.7457,26
-782.1527,-36.834,-26.3094,-740.5747,206.0901,-101.3687,27
-778.62,-38.7751,-30.7295,-723.0825,229.4089,-104.3668,28
-784.6665,-41.8226,-37.5375,-697.8426000000001,276.0187,-109.8347,29
-816.0564,-47.398,-48.338,-657.4693,374.5955,-120.2724,30
-784.8651,-29.3876,-15.595,-783.3809000000001,137.3846,-90.9178,31
-783.972,-29.4555,-15.7134,-782.4354999999999,137.613,-90.9076,32
-781.2914,-29.6649,-16.0846,-779.5758999999999,138.3573,-90.8923,33
-776.8315,-30.0326,-16.7396,-774.7106,139.8202,-90.9271,34
-770.6605,-30.588,-17.8149,-767.7433999999998,142.4383,-91.1183,35
-763.0298,-31.3819,-19.425,-758.3787,147.0999,-91.6419,36
-754.6684,-32.4913,-21.8905,-746.1876,155.6476,-92.785,37
-747.4861,-34.0597,-25.6484,-730.1252000000001,172.0758,-95.0068,38
-746.2894,-36.4567,-31.4851,-707.8644999999999,205.4917,-99.125,39
-763.0832,-40.709,-40.8051,-673.7568,277.7532,-106.9127,40
-761.4578,-26.8093,-12.915,-780.1493,105.2573,-84.2245,41
-760.5556,-26.8655,-13.0228,-779.2289000000001,105.4145,-84.1995,42
-757.8369,-27.039,-13.3314,-776.4205999999999,105.9269,-84.1402,43
-753.2743,-27.3432,-13.8736,-771.652,106.9346,-84.0955,44
-746.8577,-27.8028,-14.7834,-764.8583000000001,108.7411,-84.1555,45
-738.6802,-28.4573,-16.1364,-755.7773000000001,111.9693,-84.4727,46
-729.1508,-29.3693,-18.2319,-744.1113,117.9291,-85.2884,47
-719.5221,-30.6474,-21.4327,-729.0736999999999,129.5117,-86.9832,48
-713.2238,-32.5549,-26.4466,-708.9557999999998,153.4581,-90.1886,49
-719.3043,-35.8442,-34.497,-679.4599,206.37,-96.1844,50
-738.6396,-24.9404,-10.6489,-771.6298999999999,80.7917,-78.1927,51
-737.7416,-24.9865,-10.7341,-770.7204999999999,80.9009,-78.1592,52
-735.0289,-25.1285,-10.9852,-767.9572999999999,81.2566,-78.0713,53
-730.4501,-25.3797,-11.4529,-763.3003,81.9561,-77.9737,54
-723.9422,-25.761,-12.1985,-756.6374,83.2107,-77.9464,55
-715.4879,-26.3034,-13.3657,-747.8235,85.4574,-78.1239,56
-705.2663,-27.056,-15.1347,-736.5457,89.6258,-78.7145,57
-694.0442,-28.1006,-17.8786,-722.2659,97.8024,-80.0449,58
-684.2029,-29.6276,-22.1993,-703.6986,114.9592,-82.628,59
-682.4773,-32.1916,-29.1832,-677.6060000000001,153.6624,-87.4163,60
-716.5354,-23.4977,-8.7841,-759.4259999999999,62.1255,-72.7343,61
-715.6498,-23.5348,-8.8591,-758.5372000000001,62.202,-72.6955,62
-712.97,-23.651,-9.0647,-755.8252,62.451,-72.5905,63
-708.4292,-23.8595,-9.4658,-751.2724000000001,62.9404,-72.4583,64
-701.9294,-24.1779,-10.0846,-744.7456999999999,63.8177,-72.3715,65
-693.3774,-24.6317,-11.079,-736.1469,65.39,-72.4488,66
-682.7889,-25.2575,-12.5764,-725.1859000000001,68.3166,-72.8797,67
-670.5742,-26.1186,-14.9194,-711.4658999999999,74.0994,-73.9531,68
-658.3205,-27.3532,-18.6374,-694.0244,86.3935,-76.1068,69
-650.9592,-29.3642,-24.6966,-670.425,114.6772,-80.0822,70
-695.2267,-22.2858,-7.2128,-744.6549000000001,47.8583,-67.7879,71
