cls_elec,ct,disp,int,mod_pauli,pol,index,distances
492.0246,-30.2454,-30.0468,676.4285000000001,338.5056,-93.8095,1,1.9000000000000004
512.8739,-21.4411,-26.3065,631.1199,242.4813,-76.4877,2,2.0
522.7573,-16.1595,-23.0047,594.2071,174.5301,-63.9161,3,2.0999999999999996
525.009,-12.7989,-20.0978,563.8506,126.1792,-54.4409,4,2.2
521.9984,-10.5318,-17.5595,538.4401,91.6016,-47.0686,5,2.3
515.4083,-8.9219,-15.3299,516.7374000000001,66.7554,-41.1745,6,2.4000000000000004
506.4348,-7.7236,-13.3894,497.79669999999993,48.8262,-36.3513,7,2.5
495.9296,-6.7954,-11.6893,480.9495,35.8295,-32.3249,8,2.5999999999999996
484.4995,-6.0502,-10.2083,465.713,26.379,-28.907,9,2.7
472.577,-5.4346,-8.9235,451.7372,19.482,-25.9637,10,2.8000000000000007
460.4685,-4.9145,-7.7919,438.7953,14.4326,-23.3994,11,2.9000000000000004
448.3893,-4.4662,-6.8152,426.6858,10.7224,-21.1445,12,3.0
436.4881,-4.0742,-5.956,415.28869999999995,7.9794,-19.1486,13,3.0999999999999996
424.8651,-3.7264,-5.2071,404.5069,5.9486,-17.3733,14,3.200000000000001
413.585,-3.4144,-4.5603,394.2658,4.4422,-15.7867,15,3.3
402.6868,-3.1319,-3.9887,384.51500000000004,3.3148,-14.366,16,3.4000000000000004
392.1912,-2.8747,-3.4912,375.20509999999996,2.4717,-13.0919,17,3.5
382.1056,-2.6389,-3.0606,366.30139999999994,1.8411,-11.9458,18,3.5999999999999996
372.4284,-2.421,-2.6802,357.7739,1.3602,-10.9135,19,3.7
363.1517,-2.2196,-2.3464,349.59579999999994,0.9935,-9.9834,20,3.8
354.2638,-2.0332,-2.0584,341.75,0.7217,-9.1439,21,3.9000000000000004
345.7503,-1.8599,-1.8066,334.21779999999995,0.5189,-8.3849,22,4.0
337.5955,-1.6981,-1.582,326.97940000000006,0.3627,-7.6987,23,4.1
329.7829,-1.5483,-1.387,320.01529999999997,0.2455,-7.0778,24,4.2
322.2961,-1.4094,-1.2179,313.3165,0.1626,-6.5149,25,4.300000000000001
315.1189,-1.2799,-1.0689,306.8689,0.1024,-6.0036,26,4.4
308.2355,-1.1593,-0.9352,300.6561,0.0544,-5.5393,27,4.5
301.6308,-1.0478,-0.8193,294.6643,0.0173,-5.1167,28,4.6
295.2903,-0.9451,-0.7198,288.88719999999995,-0.0067,-4.7315,29,4.699999999999999
289.2002,-0.8501,-0.6329,283.31859999999995,-0.0187,-4.3799,30,4.800000000000001
283.3474,-0.7621,-0.5551,277.94680000000005,-0.0245,-4.0589,31,4.9
277.7197,-0.6812,-0.4862,272.7578,-0.0289,-3.7656,32,5.0
272.3052,-0.6075,-0.4278,267.74060000000003,-0.0324,-3.4969,33,5.1
267.0931,-0.54,-0.3778,262.8916,-0.0332,-3.2505,34,5.200000000000001
262.0729,-0.4783,-0.3336,258.2061,-0.0305,-3.0244,35,5.300000000000001
257.2348,-0.4218,-0.2932,253.67699999999996,-0.0258,-2.817,36,5.4
252.5696,-0.3705,-0.2571,249.2932,-0.0223,-2.6265,37,5.5
248.0686,-0.3244,-0.2264,245.045,-0.0216,-2.4512,38,5.600000000000001
243.7237,-0.2829,-0.2007,240.92839999999998,-0.0222,-2.2895,39,5.699999999999999
239.5271,-0.2456,-0.1785,236.94099999999997,-0.0218,-2.1402,40,5.800000000000001
235.4716,-0.2122,-0.1584,233.0797,-0.0187,-2.0026,41,5.9
231.5503,-0.1823,-0.1396,229.3392,-0.0135,-1.8757,42,6.0
227.7569,-0.1559,-0.1231,225.711,-0.0086,-1.7583,43,6.1
224.0854,-0.1327,-0.1094,222.1878,-0.0059,-1.6496,44,6.199999999999999
220.53,-0.1123,-0.098,218.76529999999997,-0.0055,-1.5489,45,6.300000000000001
217.0853,-0.0944,-0.088,215.4414,-0.006,-1.4555,46,6.4
213.7464,-0.0788,-0.0788,212.2141,-0.0058,-1.3689,47,6.5
210.5085,-0.0652,-0.0701,209.0805,-0.0041,-1.2886,48,6.600000000000001
207.3671,-0.0536,-0.0618,206.0362,-0.0014,-1.2141,49,6.699999999999999
204.318,-0.0436,-0.0548,203.07590000000002,0.0011,-1.1448,50,6.800000000000001
201.3571,-0.0352,-0.0488,200.19500000000002,0.0021,-1.0802,51,6.900000000000002
198.4808,-0.0282,-0.0438,197.39009999999996,0.0014,-1.0201,52,7.0
195.6855,-0.0223,-0.0396,194.6591,-0.0005,-0.964,53,7.100000000000001
192.9678,-0.0174,-0.0357,192.00060000000002,-0.0024,-0.9117,54,7.199999999999999
190.3245,-0.0134,-0.0319,189.413,-0.0033,-0.8629,55,7.300000000000001
187.7526,-0.0102,-0.0282,186.89419999999998,-0.0028,-0.8172,56,7.4
185.2493,-0.0077,-0.0251,184.4408,-0.0012,-0.7745,57,7.5
182.8119,-0.0057,-0.0225,182.05,0.0008,-0.7345,58,7.6
180.4377,-0.0041,-0.0203,179.71890000000002,0.0026,-0.697,59,7.699999999999999
178.1244,-0.0029,-0.0185,177.4447,0.0035,-0.6618,60,7.800000000000001
175.8697,-0.002,-0.017,175.2251,0.0033,-0.6289,61,7.9
