cls_elec,ct,disp,int,mod_pauli,pol,index,distances
1416.836,-2.163,-2.0073,1390.6945,8.2532,-30.2244,1,1.96
1348.4318,-1.3923,-1.5606,1324.1832,4.4512,-25.7469,2,2.0599999999999996
1286.204,-0.9183,-1.1968,1264.6462,2.4035,-21.8462,3,2.1599999999999993
1229.3996,-0.6267,-0.8937,1210.6733999999997,1.2975,-18.5033,4,2.26
1177.3641,-0.442,-0.6645,1161.2877999999998,0.7004,-15.6702,5,2.3599999999999994
1129.5348,-0.3219,-0.4911,1115.8056,0.3761,-13.2923,6,2.46
1085.4289,-0.2427,-0.367,1073.7138000000002,0.2018,-11.3072,7,2.5599999999999996
1044.6321,-0.1913,-0.2759,1034.6144000000002,0.1065,-9.657,8,2.6599999999999993
1006.7877,-0.1581,-0.2122,998.1901999999999,0.0567,-8.2839,9,2.76
971.5877,-0.1362,-0.1644,964.1735,0.0289,-7.1425,10,2.8599999999999994
938.7649,-0.1203,-0.1306,932.3423,0.0154,-6.1871,11,2.96
908.0868,-0.1071,-0.1049,902.4943000000001,0.0071,-5.3876,12,3.0599999999999996
879.3501,-0.0949,-0.0857,874.4603,0.0036,-4.7128,13,3.1599999999999993
852.3762,-0.083,-0.0708,848.0828000000001,0.0018,-4.1414,14,3.26
827.0079,-0.0716,-0.0587,823.2224999999999,0.0001,-3.6552,15,3.3599999999999994
803.1058,-0.061,-0.0493,799.7579000000001,0.0008,-3.2384,16,3.459999999999999
780.5466,-0.0515,-0.0417,777.5727,-0.0005,-2.8802,17,3.5599999999999996
759.2201,-0.0433,-0.0355,756.5702,-0.0005,-2.5706,18,3.6599999999999993
739.028,-0.0364,-0.0303,736.6600000000001,0.0005,-2.3018,19,3.76
719.8822,-0.0308,-0.026,717.7570000000001,-0.0008,-2.0676,20,3.8599999999999994
701.7033,-0.0264,-0.0224,699.7916,-0.0003,-1.8626,21,3.960000000000001
684.4199,-0.0229,-0.0194,682.6956999999999,0.0006,-1.6825,22,4.06
667.9675,-0.0201,-0.0168,666.4061,-0.0006,-1.5239,23,4.159999999999999
652.2875,-0.018,-0.0147,650.8707,-0.0005,-1.3836,24,4.26
637.3267,-0.0164,-0.0128,636.0389,0.0005,-1.2591,25,4.36
623.0368,-0.0152,-0.0112,621.8618999999999,-0.0001,-1.1484,26,4.460000000000001
609.3737,-0.0142,-0.0099,608.2992999999999,-0.0007,-1.0496,27,4.56
596.297,-0.0134,-0.0087,595.3136999999999,0.0001,-0.9613,28,4.659999999999999
583.7698,-0.0127,-0.0077,582.8677,0.0004,-0.8821,29,4.759999999999999
571.758,-0.012,-0.0068,570.9278,-0.0004,-0.811,30,4.86
560.2306,-0.0114,-0.006,559.4656,-0.0008,-0.7468,31,4.96
549.1588,-0.0109,-0.0054,548.4534000000001,-0.0001,-0.689,32,5.06
538.5162,-0.0103,-0.0048,537.8648999999999,0.0004,-0.6366,33,5.16
528.2783,-0.0098,-0.0043,527.6752999999999,0.0002,-0.5891,34,5.260000000000001
518.4223,-0.0093,-0.0038,517.8633999999998,0.0002,-0.546,35,5.359999999999999
508.9274,-0.0088,-0.0034,508.4093,0.0009,-0.5068,36,5.46
499.774,-0.0083,-0.0031,499.29319999999996,0.0016,-0.471,37,5.56
490.944,-0.0078,-0.0028,490.49640000000005,0.0013,-0.4383,38,5.659999999999999
482.4207,-0.0074,-0.0025,482.00300000000004,0.0006,-0.4084,39,5.759999999999999
474.1882,-0.007,-0.0023,473.7981,0.0003,-0.3811,40,5.86
466.2321,-0.0066,-0.0021,465.86800000000005,0.0006,-0.356,41,5.96
458.5385,-0.0062,-0.0019,458.1985,0.001,-0.3329,42,6.06
451.0946,-0.0059,-0.0017,450.77610000000004,0.0008,-0.3117,43,6.159999999999999
443.8886,-0.0055,-0.0015,443.59,0.0005,-0.2921,44,6.260000000000001
436.9093,-0.0052,-0.0014,436.6291,0.0005,-0.2741,45,6.3599999999999985
430.1459,-0.0049,-0.0013,429.8832999999999,0.001,-0.2574,46,6.46
423.5888,-0.0046,-0.0012,423.34250000000003,0.0015,-0.242,47,6.560000000000001
417.2286,-0.0043,-0.0011,416.9968999999999,0.0014,-0.2277,48,6.659999999999999
411.0566,-0.004,-0.001,410.8381,0.0009,-0.2144,49,6.760000000000002
405.0645,-0.0038,-0.0009,404.8581,0.0005,-0.2022,50,6.8599999999999985
399.2446,-0.0035,-0.0008,399.0501,0.0005,-0.1907,51,6.96
393.5896,-0.0033,-0.0008,393.4063,0.0009,-0.1801,52,7.0600000000000005
388.0925,-0.0031,-0.0007,387.9194999999999,0.001,-0.1702,53,7.159999999999999
382.7469,-0.0029,-0.0006,382.58329999999995,0.0009,-0.161,54,7.260000000000002
377.5465,-0.0027,-0.0006,377.39129999999994,0.0005,-0.1524,55,7.36
372.4856,-0.0025,-0.0005,372.3387,0.0004,-0.1443,56,7.46
367.5585,-0.0024,-0.0005,367.41929999999996,0.0005,-0.1368,57,7.56
362.7601,-0.0022,-0.0005,362.62840000000006,0.0008,-0.1298,58,7.659999999999999
358.0854,-0.0021,-0.0004,357.9607,0.001,-0.1232,59,7.760000000000001
353.5296,-0.002,-0.0004,353.4111,0.0009,-0.117,60,7.860000000000001
349.0883,-0.0019,-0.0004,348.9755,0.0007,-0.1112,61,7.960000000000001
