cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-837.4059,-18.554,-16.8219,-304.11889999999994,655.831,-87.1681,1,1.9125576180000001
-770.5486,-13.9133,-15.3869,-396.0521,483.9478,-80.1511,2,2.0125576179999998
-715.6988,-10.9484,-13.8857,-457.1629,358.0926,-74.7226,3,2.1125576179999994
-669.9817,-9.1448,-12.41,-495.93000000000006,265.7725,-70.166,4,2.212557618
-631.2828,-8.1304,-11.0037,-518.6669999999999,197.8766,-66.1267,5,2.3125576179999996
-598.0381,-7.6233,-9.6917,-529.9505,147.8163,-62.4137,6,2.412557618
-569.0831,-7.4136,-8.4981,-533.1325999999999,110.7945,-58.9323,7,2.5125576179999998
-543.5445,-7.3545,-7.4122,-530.6388999999999,83.3219,-55.6496,8,2.6125576179999985
-520.7631,-7.3587,-6.435,-524.2076,62.8748,-52.5256,9,2.712557618
-500.238,-7.3829,-5.5653,-515.1191,47.5919,-49.5248,10,2.8125576179999996
-481.586,-7.407,-4.787,-504.2861,36.1363,-46.6424,11,2.912557618
-464.511,-7.4313,-4.104,-492.3525,27.5153,-43.8215,12,3.0125576179999998
-448.7816,-7.4536,-3.5075,-479.8052,21.0067,-41.0692,13,3.1125576179999994
-434.2149,-7.4802,-2.9847,-466.9769,16.0814,-38.3785,14,3.212557618
-420.6642,-7.511,-2.5276,-454.1204,12.3349,-35.7525,15,3.3125576179999996
-408.0097,-7.5408,-2.1402,-441.3891,9.4878,-33.1862,16,3.412557618
-396.1526,-7.5648,-1.8041,-428.9154,7.3127,-30.7066,17,3.5125576179999998
-385.0099,-7.5734,-1.5171,-416.77680000000004,5.6501,-28.3265,18,3.6125576179999994
-374.5112,-7.5608,-1.2766,-405.01829999999995,4.3799,-26.0496,19,3.712557618
-364.5963,-7.5163,-1.0711,-393.6842,3.4019,-23.9024,20,3.8125576179999996
-355.213,-7.4341,-0.8982,-382.78540000000004,2.6525,-21.8926,21,3.912557618
-346.3159,-7.3129,-0.7531,-372.3261,2.0772,-20.0214,22,4.012557618
-337.865,-7.152,-0.632,-362.31,1.6307,-18.2917,23,4.1125576179999985
-329.8252,-6.9538,-0.5325,-352.72310000000004,1.2877,-16.6993,24,4.212557618
-322.1653,-6.7217,-0.4484,-343.5555,1.0233,-15.2434,25,4.3125576180000005
-314.8575,-6.4588,-0.3769,-334.7988,0.8148,-13.9204,26,4.412557618
-307.8771,-6.1707,-0.3191,-326.4317,0.6528,-12.7176,27,4.512557618
-301.2015,-5.8644,-0.2718,-318.4347,0.5284,-11.6254,28,4.612557617999999
-294.8107,-5.5449,-0.2314,-310.79630000000003,0.429,-10.6383,29,4.712557618
-288.6862,-5.217,-0.1966,-303.50039999999996,0.3478,-9.7484,30,4.812557618000001
-282.8115,-4.8868,-0.1682,-296.52450000000005,0.2852,-8.9432,31,4.912557618
-277.1713,-4.5598,-0.1449,-289.8529,0.2368,-8.2137,32,5.012557618
-271.7518,-4.2387,-0.1254,-283.4738,0.1958,-7.5537,33,5.112557618000001
-266.54,-3.9253,-0.1084,-277.37090000000006,0.1608,-6.958,34,5.212557618000001
-261.5242,-3.6223,-0.0941,-271.5258,0.134,-6.4192,35,5.312557617999999
-256.6936,-3.3321,-0.0823,-265.9246,0.1137,-5.9303,36,5.412557618
-252.038,-3.0566,-0.0725,-260.5569,0.0959,-5.4857,37,5.512557618
-247.548,-2.7962,-0.0639,-255.41109999999998,0.0789,-5.0819,38,5.612557617999999
-243.2151,-2.5512,-0.0562,-250.4724,0.0651,-4.715,39,5.712557617999999
-239.0312,-2.3222,-0.0495,-245.7286,0.0551,-4.3808,40,5.8125576180000005
-234.9886,-2.1095,-0.0438,-241.17,0.0473,-4.0754,41,5.912557618
-231.0804,-1.9129,-0.039,-236.78810000000001,0.0399,-3.7957,42,6.012557618
-227.3,-1.7317,-0.0348,-232.5736,0.0326,-3.5397,43,6.112557617999999
-223.6412,-1.5654,-0.0312,-228.5162,0.0269,-3.3053,44,6.212557618000001
-220.0983,-1.4134,-0.0279,-224.6069,0.0229,-3.0902,45,6.312557617999999
-216.6659,-1.2752,-0.0251,-220.83900000000003,0.0197,-2.8925,46,6.412557618
-213.3388,-1.1504,-0.0226,-217.20549999999997,0.0166,-2.7103,47,6.5125576180000015
-210.1124,-1.038,-0.0205,-213.70010000000002,0.0131,-2.5423,48,6.612557617999999
-206.9821,-0.9374,-0.0185,-210.3153,0.01,-2.3873,49,6.712557618000001
-203.9438,-0.8479,-0.0168,-207.0448,0.0078,-2.2441,50,6.812557617999999
-200.9933,-0.7687,-0.0152,-203.8825,0.0063,-2.1116,51,6.912557618
-198.127,-0.6992,-0.0137,-200.8235,0.0052,-1.9888,52,7.012557618
-195.3413,-0.6386,-0.0125,-197.86279999999996,0.0044,-1.8748,53,7.1125576179999985
-192.6328,-0.5863,-0.0114,-194.99550000000002,0.004,-1.769,54,7.212557618
-189.9985,-0.5416,-0.0104,-192.21720000000002,0.0039,-1.6706,55,7.3125576180000005
-187.4352,-0.504,-0.0095,-189.5239,0.0038,-1.579,56,7.412557618
-184.9402,-0.4731,-0.0087,-186.91219999999998,0.0034,-1.4936,57,7.512557618
-182.5107,-0.4484,-0.008,-184.3784,0.0027,-1.414,58,7.612557618
-180.1443,-0.4296,-0.0073,-181.91899999999995,0.0019,-1.3397,59,7.712557618000002
-177.8384,-0.4167,-0.0068,-179.53099999999998,0.0012,-1.2703,60,7.812557618000001
-175.5908,-0.4094,-0.0062,-177.2107,0.0011,-1.2054,61,7.912557618
