cls_elec,ct,disp,int,mod_pauli,pol,index,distances
952.7049,-16.6976,-6.4738,870.6284,36.9427,-95.8478,1,2.9000000000000004
922.7153,-12.9163,-5.2475,841.6931000000001,24.5407,-87.3991,2,3.0
894.0929,-10.0523,-4.259,816.6305,16.2536,-79.4047,3,3.0999999999999996
866.8907,-7.8656,-3.4681,794.4077,10.7366,-71.8859,4,3.2
841.098,-6.1824,-2.8359,774.2661999999999,7.0757,-64.8892,5,3.3
816.6679,-4.8759,-2.307,755.6963,4.6533,-58.442,6,3.4000000000000004
793.5336,-3.8533,-1.888,738.3106999999999,3.0545,-52.5361,7,3.5
771.6198,-3.0477,-1.5472,721.8477,2.0015,-47.1787,8,3.5999999999999996
750.8485,-2.4104,-1.2635,706.1219,1.3092,-42.3619,9,3.700000000000001
731.1433,-1.9035,-1.0412,691.0191,0.8549,-38.0344,10,3.8000000000000007
712.4309,-1.499,-0.8648,676.4486999999999,0.5571,-34.1755,11,3.9000000000000004
694.6427,-1.1779,-0.7105,662.3605,0.3623,-30.7561,12,4.0
677.7147,-0.9236,-0.5928,648.7205,0.2349,-27.7127,13,4.1
661.588,-0.7218,-0.5037,635.5038999999999,0.1518,-25.0104,14,4.200000000000001
646.2083,-0.5628,-0.4243,622.6954,0.0977,-22.6235,15,4.300000000000001
631.5256,-0.4388,-0.3611,610.2797,0.0625,-20.5085,16,4.4
617.4942,-0.3421,-0.3133,598.2514,0.0396,-18.627,17,4.5
604.0719,-0.2672,-0.2698,586.6029,0.0249,-16.9569,18,4.6
591.2204,-0.21,-0.2321,575.3204000000001,0.0154,-15.4733,19,4.699999999999999
578.9039,-0.1664,-0.2038,564.3953000000001,0.0093,-14.1477,20,4.800000000000001
567.0899,-0.133,-0.18,553.8227999999999,0.0055,-12.9596,21,4.9
555.7483,-0.1074,-0.1576,543.5902,0.0031,-11.8962,22,5.0
544.8515,-0.0881,-0.1396,533.6834,0.0016,-10.942,23,5.1
534.3736,-0.0733,-0.1251,524.0930000000001,0.0007,-10.0829,24,5.199999999999999
524.2911,-0.0619,-0.1109,514.8114999999999,0.0002,-9.307,25,5.300000000000001
514.5821,-0.0531,-0.0973,505.82599999999996,-0.0,-8.6057,26,5.4
505.226,-0.0463,-0.0869,497.1222,-0.0002,-7.9704,27,5.5
496.2041,-0.0409,-0.0793,488.6903,-0.0002,-7.3934,28,5.6
487.4988,-0.0366,-0.0717,480.5223,-0.0003,-6.8679,29,5.699999999999999
479.0936,-0.033,-0.0638,472.60769999999997,-0.0003,-6.3888,30,5.800000000000001
470.9734,-0.0302,-0.0571,464.93440000000004,-0.0002,-5.9515,31,5.9
463.1238,-0.0278,-0.0525,457.4919,-0.0002,-5.5514,32,6.0
455.5316,-0.0257,-0.0479,450.2731,-0.0002,-5.1847,33,6.100000000000001
448.1843,-0.024,-0.0423,443.2697,-0.0002,-4.8481,34,6.200000000000001
441.0703,-0.0224,-0.0372,436.4718,-0.0002,-4.5387,35,6.300000000000001
434.1785,-0.0211,-0.0339,429.8695,-0.0003,-4.2537,36,6.4
427.4989,-0.0199,-0.0322,423.45550000000003,-0.0003,-3.991,37,6.5
421.0216,-0.0188,-0.0302,417.2239,-0.0003,-3.7484,38,6.600000000000001
414.7377,-0.0177,-0.0272,411.1684000000001,-0.0003,-3.5241,39,6.699999999999999
408.6386,-0.0168,-0.024,405.281,-0.0003,-3.3165,40,6.800000000000001
402.7163,-0.0159,-0.0219,399.5541,-0.0003,-3.1241,41,6.9
396.9632,-0.015,-0.0208,393.9817,-0.0003,-2.9454,42,7.0
391.3722,-0.0143,-0.0196,388.55850000000004,-0.0003,-2.7795,43,7.1
385.9365,-0.0135,-0.0176,383.28,-0.0002,-2.6252,44,7.199999999999999
380.6497,-0.0129,-0.0151,378.14,-0.0002,-2.4815,45,7.300000000000001
375.5058,-0.0122,-0.0133,373.13259999999997,-0.0002,-2.3475,46,7.4
370.499,-0.0117,-0.0128,368.25179999999995,-0.0002,-2.2225,47,7.5
365.624,-0.0111,-0.013,363.494,-0.0002,-2.1057,48,7.600000000000001
360.8757,-0.0106,-0.0129,358.8554,-0.0002,-1.9966,49,7.699999999999999
356.2491,-0.0102,-0.0117,354.3325,-0.0002,-1.8945,50,7.800000000000001
351.7396,-0.0098,-0.01,349.92080000000004,-0.0001,-1.7989,51,7.900000000000002
347.3428,-0.0094,-0.0086,345.6155,-0.0001,-1.7092,52,8.0
343.0546,-0.009,-0.0082,341.41220000000004,-0.0001,-1.6251,53,8.100000000000001
338.871,-0.0087,-0.0084,337.3077,-0.0001,-1.5461,54,8.2
334.7883,-0.0084,-0.0083,333.29970000000003,-0.0001,-1.4718,55,8.3
330.8027,-0.0082,-0.0075,329.38480000000004,-0.0001,-1.4021,56,8.4
326.9109,-0.0079,-0.0061,325.5604,-0.0001,-1.3364,57,8.5
323.1096,-0.0077,-0.0049,321.8224,-0.0001,-1.2745,58,8.6
319.3957,-0.0075,-0.0045,318.1676,-0.0,-1.2161,59,8.700000000000001
315.7662,-0.0073,-0.0049,314.59290000000004,-0.0,-1.1611,60,8.8
312.2183,-0.0071,-0.0055,311.09650000000005,-0.0,-1.1092,61,8.9
