cls_elec,ct,disp,int,mod_pauli,pol,index
-1566.1696,-82.3517,-18.7864,-1716.9597999999999,159.6614,-209.3135,79
-1545.7545,-86.02,-20.9921,-1697.6036,165.7573,-210.5943,80
-1575.1053,-63.4684,-13.3415,-1732.1451,119.346,-199.5759,81
-1574.2637,-63.6829,-13.3563,-1731.5078,119.3419,-199.5468,82
-1571.7087,-64.316,-13.4021,-1729.5569,119.327,-199.4571,83
-1567.3465,-65.3416,-13.489,-1726.1630000000002,119.319,-199.3049,84
-1561.0141,-66.7438,-13.6407,-1721.1393,119.3435,-199.0842,85
-1552.4692,-68.5193,-13.8954,-1714.2358000000002,119.4539,-198.8058,86
-1541.3812,-70.6679,-14.3182,-1705.1279,119.7631,-198.5237,87
-1527.3391,-73.1975,-15.0244,-1693.3845999999999,120.5309,-198.3545,88
-1509.9356,-76.1336,-16.2017,-1678.4649000000002,122.352,-198.546,89
-1489.1378,-79.5146,-18.1572,-1659.5182,126.8495,-199.5581,90
-1522.3557,-59.8462,-11.5044,-1692.0062000000003,91.7096,-190.0095,91
-1521.5381,-60.0307,-11.5158,-1691.3448999999998,91.7127,-189.973,92
-1519.0554,-60.582,-11.5548,-1689.3491000000001,91.7011,-189.858,93
-1514.815,-61.4872,-11.6261,-1685.9003,91.6927,-189.6647,94
-1508.6553,-62.7374,-11.7526,-1680.8122,91.7177,-189.3846,95
-1500.3339,-64.3327,-11.967,-1673.8615,91.8031,-189.031,96
-1489.5135,-66.2871,-12.3273,-1664.7353,92.04,-188.6474,97
-1475.7569,-68.6195,-12.9353,-1653.0406000000003,92.614,-188.3429,98
-1458.5701,-71.3576,-13.9651,-1638.2742999999998,93.9701,-188.3516,99
-1437.6583,-74.5394,-15.7022,-1619.6999,97.3157,-189.1157,100
-1473.6439,-57.181,-9.8926,-1650.8265000000001,70.6117,-180.7207,101
-1472.8494,-57.3455,-9.904,-1650.1631,70.6095,-180.6737,102
-1470.4362,-57.8339,-9.9353,-1648.1422000000002,70.6048,-180.5416,103
-1466.3134,-58.6443,-9.9956,-1644.6639999999998,70.6058,-180.3165,104
-1460.3216,-59.7746,-10.1006,-1639.5650999999998,70.6257,-179.994,105
-1452.22,-61.2312,-10.2808,-1632.6194,70.6941,-179.5815,106
-1441.6697,-63.0334,-10.5858,-1623.5397,70.8708,-179.1216,107
-1428.2179,-65.2117,-11.1077,-1611.9472,71.3014,-178.7113,108
-1411.314,-67.8041,-12.0017,-1597.3868000000002,72.3054,-178.5724,109
-1390.4744,-70.8567,-13.5375,-1579.1749,74.8128,-179.1191,110
-1428.4241,-55.3947,-8.4908,-1609.3401000000001,54.4921,-171.5226,111
-1427.6516,-55.5405,-8.4973,-1608.6713,54.4955,-171.4774,112
-1425.3051,-55.9809,-8.5226,-1606.6505,54.4909,-171.3328,113
-1421.2955,-56.7167,-8.5735,-1603.1821,54.4885,-171.0849,114
-1415.4657,-57.7523,-8.6598,-1598.105,54.5067,-170.7339,115
-1407.5781,-59.1021,-8.8108,-1591.215,54.5549,-170.2789,116
-1397.2949,-60.7852,-9.0693,-1582.2160000000003,54.6958,-169.7624,117
-1384.1561,-62.8463,-9.5138,-1570.7697999999998,55.0202,-169.2738,118
-1367.5745,-65.3355,-10.2867,-1556.43,55.7821,-169.0154,119
-1346.9335,-68.3109,-11.6415,-1538.6072000000001,57.6508,-169.3721,120
