cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-797.7497,-66.5715,-49.1351,-295.90470000000005,726.4119,-108.8603,1,2.4101616448000005
-718.9206,-52.9062,-41.2471,-354.4537,547.2849,-88.6647,2,2.5101616448
-656.1077,-43.1853,-34.659,-394.0548,413.1866,-73.2894,3,2.6101616448
-605.4669,-36.0018,-29.1887,-419.647,312.6298,-61.6194,4,2.7101616448000003
-564.1057,-30.4376,-24.6028,-434.8707999999999,237.0796,-52.8043,5,2.8101616448
-529.8521,-25.9519,-20.8089,-442.5411,180.1966,-46.1248,6,2.9101616448000005
-501.0769,-22.1882,-17.6171,-444.7154,137.2721,-41.1053,7,3.0101616448
-476.5567,-18.9669,-14.9556,-442.9642,104.8062,-37.2912,8,3.1101616448000007
-455.3717,-16.2015,-12.7293,-438.3973,80.1947,-34.2895,9,3.2101616448000003
-436.8273,-13.8254,-10.856,-431.9122,61.4961,-31.8996,10,3.310161644799999
-420.3968,-11.8124,-9.2748,-424.09380000000004,47.2598,-29.8696,11,3.4101616448000005
-405.678,-10.129,-7.9356,-415.4134,36.3995,-28.0703,12,3.5101616448
-392.3621,-8.74,-6.8118,-406.23670000000004,28.099,-26.4218,13,3.6101616448
-380.2095,-7.6093,-5.841,-396.7762,21.7434,-24.8598,14,3.7101616448000003
-369.0335,-6.699,-5.0146,-387.2286,16.8686,-23.3501,15,3.8101616448
-358.6864,-5.9691,-4.32,-377.7282,13.123,-21.8757,16,3.9101616448000005
-349.0511,-5.3847,-3.7134,-368.3591,10.2398,-20.4497,17,4.010161644800001
-340.0333,-4.9136,-3.1897,-359.2026,8.0161,-19.0821,18,4.1101616448
-331.5571,-4.5297,-2.7519,-350.29519999999997,6.2974,-17.7539,19,4.210161644799999
-323.5599,-4.2096,-2.3709,-341.6566000000001,4.9661,-16.4823,20,4.3101616448
-315.9906,-3.9349,-2.0393,-333.3167,3.9321,-15.284,21,4.4101616448000005
-308.8063,-3.6923,-1.7589,-325.284,3.1266,-14.1531,22,4.5101616448
-301.971,-3.4721,-1.5187,-317.54990000000004,2.4972,-13.0853,23,4.610161644799999
-295.4543,-3.2665,-1.3086,-310.1168,2.0036,-12.091,24,4.7101616448
-289.2299,-3.0699,-1.1315,-302.98650000000004,1.6148,-11.17,25,4.810161644800001
-283.2753,-2.8809,-0.9813,-296.1485,1.3074,-10.3184,26,4.910161644800001
-277.5707,-2.6981,-0.849,-289.5901,1.0632,-9.5355,27,5.0101616448
-272.0988,-2.5203,-0.7344,-283.2997,0.8682,-8.8144,28,5.1101616448
-266.8441,-2.3471,-0.6393,-277.2671,0.7117,-8.1483,29,5.210161644799999
-261.7929,-2.1777,-0.5594,-271.48139999999995,0.5855,-7.5369,30,5.310161644800001
-256.9326,-2.0131,-0.4891,-265.9323,0.4831,-6.9806,31,5.4101616448000005
-252.2521,-1.8542,-0.4279,-260.6074,0.3998,-6.473,32,5.5101616448
-247.7411,-1.7026,-0.3762,-255.49399999999997,0.3315,-6.0056,33,5.610161644800002
-243.3903,-1.5584,-0.3321,-250.5804,0.2754,-5.575,34,5.710161644800001
-239.1909,-1.4211,-0.2943,-245.8599,0.2291,-5.1827,35,5.810161644800001
-235.135,-1.2912,-0.2617,-241.3235,0.1908,-4.8264,36,5.9101616448000005
-231.2153,-1.1696,-0.233,-236.95930000000004,0.1589,-4.5003,37,6.0101616448
-227.4248,-1.0567,-0.2067,-232.75530000000003,0.1324,-4.1995,38,6.110161644800002
-223.7573,-0.9524,-0.1827,-228.70360000000002,0.1102,-3.9214,39,6.210161644799999
-220.2067,-0.8555,-0.163,-224.7991,0.0918,-3.6657,40,6.310161644800001
-216.7675,-0.766,-0.148,-221.0357,0.0763,-3.4305,41,6.4101616448000005
-213.4344,-0.6839,-0.1354,-217.4044,0.0634,-3.2141,42,6.5101616448
-210.2027,-0.6086,-0.1223,-213.89599999999996,0.0526,-3.015,43,6.6101616448
-207.0677,-0.5399,-0.1086,-210.50359999999998,0.0436,-2.831,44,6.710161644799999
-204.0251,-0.4779,-0.0965,-207.22400000000002,0.036,-2.6605,45,6.810161644800001
-201.0708,-0.4219,-0.0878,-204.0537,0.0297,-2.5029,46,6.9101616448000005
-198.2011,-0.3712,-0.0821,-200.9868,0.0245,-2.3569,47,7.0101616448
-195.4123,-0.3259,-0.0772,-198.01689999999996,0.0201,-2.2216,48,7.110161644800002
-192.7011,-0.2854,-0.0709,-195.1369,0.0165,-2.096,49,7.210161644799999
-190.0642,-0.2493,-0.0632,-192.3425,0.0135,-1.9793,50,7.310161644800001
-187.4986,-0.2173,-0.0557,-189.6312,0.011,-1.8706,51,7.410161644800002
-185.0014,-0.1892,-0.05,-187.0007,0.0089,-1.769,52,7.5101616448
-182.57,-0.1644,-0.0466,-184.44790000000003,0.0073,-1.6742,53,7.610161644800002
-180.2017,-0.1426,-0.0445,-181.96869999999998,0.0059,-1.5858,54,7.710161644799999
-177.8941,-0.1235,-0.042,-179.5582,0.0047,-1.5033,55,7.810161644800001
-175.6449,-0.1067,-0.0385,-177.21239999999997,0.0038,-1.4261,56,7.9101616448000005
-173.4519,-0.0922,-0.0345,-174.92940000000002,0.0031,-1.3539,57,8.0101616448
-171.3131,-0.0797,-0.0306,-172.7072,0.0024,-1.2862,58,8.1101616448
-169.2263,-0.0689,-0.0277,-170.54380000000003,0.0019,-1.2228,59,8.210161644800001
-167.1898,-0.0596,-0.026,-168.4372,0.0015,-1.1633,60,8.3101616448
-165.2018,-0.0516,-0.0253,-166.38479999999998,0.0012,-1.1073,61,8.4101616448
