dists,energies
1.97560,-200.4284674687
2.07560,-200.4483487739
2.17560,-200.4604208836
2.27560,-200.4671857336
2.37560,-200.4703813878
2.47560,-200.4712458735
2.57560,-200.4706087888
2.67560,-200.4690647254
2.77560,-200.4669989903
2.87560,-200.4646888341
2.97560,-200.4623173759
3.07560,-200.4600122169
3.17560,-200.4578740972
3.27560,-200.4559799508
3.37560,-200.4543516209
3.47560,-200.4529295006
3.57560,-200.4516614061
3.67560,-200.4505114255
3.77560,-200.4494554015
3.87560,-200.4484735649
3.97560,-200.4475476261
4.07560,-200.4466603665
4.17560,-200.4457962230
4.27560,-200.4449386934
4.37560,-200.4440713347
4.47560,-200.4431743305
