dists,energies
2.61070,-2674.5896724972
2.71070,-2674.6005572888
2.81070,-2674.6075328665
2.91070,-2674.6116583179
3.01070,-2674.6137229319
3.11070,-2674.6143080517
3.21070,-2674.6138480835
3.31070,-2674.6126711539
3.41070,-2674.6110041673
3.51070,-2674.6090223156
3.61070,-2674.6068575824
3.71070,-2674.6045991171
3.81070,-2674.6023179143
3.91070,-2674.6000614372
4.01070,-2674.5978598652
4.11070,-2674.5957343326
4.21070,-2674.5936976219
4.31070,-2674.5917581301
4.41070,-2674.5899201891
4.51070,-2674.5881798228
4.61070,-2674.5865315082
4.71070,-2674.5849719076
4.81070,-2674.5834895503
4.91070,-2674.5820751321
5.01070,-2674.5807159683
5.11070,-2674.5793944971
