dists,energies
2.95660,-394.3773185232
3.05660,-394.3854512545
3.15660,-394.3907749424
3.25670,-394.3939829418
3.35670,-394.3956190020
3.45670,-394.3960859048
3.55670,-394.3957131562
3.65670,-394.3947312626
3.75670,-394.3933196853
3.85670,-394.3916248963
3.95670,-394.3897527154
4.05670,-394.3877752673
4.15660,-394.3857494509
4.25660,-394.3837217663
4.35660,-394.3817266839
4.45660,-394.3797855959
4.55660,-394.3779105765
4.65660,-394.3761134012
4.75660,-394.3744009405
4.85660,-394.3727681387
4.95660,-394.3712097224
5.05660,-394.3697288017
5.15660,-394.3683257974
5.25660,-394.3669845293
5.35660,-394.3656958913
5.45660,-394.3644532981
