dists,energies
1.75170,-2657.9893993957
1.85170,-2658.0124793025
1.95170,-2658.0266423831
2.05170,-2658.0344975044
2.15170,-2658.0379068366
2.25170,-2658.0382229480
2.35170,-2658.0364045384
2.45170,-2658.0331328050
2.55170,-2658.0289108011
2.65170,-2658.0240800124
2.75170,-2658.0189010989
2.85170,-2658.0235537258
2.95170,-2658.0199732362
3.05170,-2658.0165564609
3.15170,-2658.0133864516
3.25170,-2658.0104456466
3.35170,-2658.0077615240
3.45170,-2658.0053323997
3.55170,-2658.0031988203
3.65170,-2658.0012666985
3.75170,-2657.9995412002
3.85170,-2657.9979920146
3.95170,-2657.9965814487
4.05170,-2657.9952681018
4.15170,-2657.9940132288
4.25170,-2657.9927545983
