dists,energies
2.45130,-560.7658293394
2.55130,-560.7785977306
2.65130,-560.7867107379
2.75130,-560.7914457819
2.85130,-560.7937961349
2.95130,-560.7944542133
3.05130,-560.7939431799
3.15130,-560.7926408530
3.25130,-560.7908245671
3.35130,-560.7886856098
3.45130,-560.7863666816
3.55130,-560.7839721080
3.65130,-560.7815679698
3.75130,-560.7792047899
3.85130,-560.7769163710
3.95130,-560.7747220623
4.05130,-560.7726332188
4.15130,-560.7706554339
4.25130,-560.7687887228
4.35130,-560.7670289974
4.45130,-560.7653686500
4.55130,-560.7637992210
4.65130,-560.7623096259
4.75130,-560.7608850821
4.85130,-560.7595097516
4.95130,-560.7581641567
