dists,energies
2.82970,-398.3172673676
2.92970,-398.3260778109
3.02970,-398.3318142464
3.12970,-398.3352583271
3.22970,-398.3369961113
3.32970,-398.3374962482
3.42970,-398.3370948610
3.52970,-398.3360566793
3.62970,-398.3345683794
3.72970,-398.3327874285
3.82970,-398.3308202743
3.92970,-398.3287483715
4.02970,-398.3266329946
4.12970,-398.3245175451
4.22970,-398.3224371473
4.32970,-398.3204164600
4.42970,-398.3184688784
4.52970,-398.3166032048
4.62970,-398.3148268441
4.72970,-398.3131392383
4.82970,-398.2507299457
4.92970,-398.2500992281
5.02970,-398.2494469843
5.12970,-398.2487568106
5.22970,-398.2480537716
5.32970,-398.2473101007
