dists,energies
1.95190,-698.9175473944
2.05190,-698.9383758566
2.15190,-698.9512471710
2.25190,-698.9585996449
2.35190,-698.9621537222
2.45190,-698.9631273964
2.55190,-698.9623843199
2.65190,-698.9605260949
2.75190,-698.9579812436
2.85190,-698.9550452522
2.95190,-698.9519205160
3.05190,-698.9487541462
3.15190,-698.9456406993
3.25190,-698.9426420454
3.35190,-698.9398032868
3.45190,-698.9371475411
3.55190,-698.9347105358
3.65190,-698.9324476571
3.75190,-698.9303649212
3.85190,-698.9284546904
3.95190,-698.9266996626
4.05190,-698.9250793585
4.15190,-698.9235690307
4.25190,-698.9221422907
4.35190,-698.9207649683
4.45190,-698.9194102017
