dists,energies
2.55880,-556.8275050699
2.65880,-556.8389479546
2.75880,-556.8462951977
2.85880,-556.8506360865
2.95880,-556.8528019656
3.05880,-556.8534121298
3.15880,-556.8529331664
3.25880,-556.8516989066
3.35880,-556.8499677839
3.45880,-556.8479263543
3.55880,-556.8457005091
3.65880,-556.8433951155
3.75880,-556.8410780808
3.85880,-556.8387939549
3.95880,-556.8365766166
4.05880,-556.8344459806
4.15880,-556.8324139455
4.25880,-556.8304877393
4.35880,-556.8286671814
4.45880,-556.8269474949
4.55880,-556.8253244483
4.65880,-556.8237901075
4.75880,-556.8223322525
4.85880,-556.8209389708
4.95880,-556.8195953567
5.05880,-556.8182839365
