dists,energies
2.44670,-3250.3532183109
2.54670,-3250.3653112361
2.64670,-3250.3730445923
2.74670,-3250.3776043257
2.84670,-3250.3798752654
2.94670,-3250.3805198052
3.04670,-3250.3800145855
3.14670,-3250.3787241147
3.24670,-3250.3769130840
3.34670,-3250.3747647086
3.44670,-3250.3724266928
3.54670,-3250.3700000670
3.64670,-3250.3675586099
3.74670,-3250.3651552356
3.84670,-3250.3628234095
3.94670,-3250.3605833460
4.04670,-3250.3584472844
4.14670,-3250.3564210867
4.24670,-3250.3545083957
4.34670,-3250.3527074282
4.44670,-3250.3510102247
4.54670,-3250.3494078248
4.64670,-3250.3478927411
4.74670,-3250.3464498601
4.84670,-3250.3450635246
4.94670,-3250.3437166791
