dists,energies
2.09580,-2812.7443011304
2.19580,-2812.7614790384
2.29580,-2812.7722855720
2.39580,-2812.7785599925
2.49580,-2812.7816449074
2.59580,-2812.7825063788
2.69580,-2812.7818418076
2.79580,-2812.7801663292
2.89580,-2812.7778456794
2.99580,-2812.7751215794
3.09580,-2812.7721981741
3.19580,-2812.7691963995
3.29580,-2812.7662093223
3.39580,-2812.7633005613
3.49580,-2812.7605184102
3.59580,-2812.7578922013
3.69580,-2812.7554297103
3.79580,-2812.7531384019
3.89580,-2812.7510160332
3.99580,-2812.7490574234
4.09580,-2812.7472444082
4.19580,-2812.7455642253
4.29580,-2812.7440006983
4.39580,-2812.7425337194
4.49580,-2812.7411347054
4.59580,-2812.7397768421
