dists,energies
1.15080,-183.7802762261
1.25080,-183.8432662134
1.35080,-183.8785776217
1.45080,-183.8969870754
1.55080,-183.9051686938
1.65080,-183.9072581227
1.75080,-183.9058413359
1.85080,-183.9025348546
1.95080,-183.8983814285
2.05080,-183.8940554646
2.15080,-183.8900980759
2.25080,-183.8875448012
2.35080,-183.8857519705
2.45080,-183.8842433438
2.55080,-183.8829562346
2.65080,-183.8818607077
2.75080,-183.8809294728
2.85080,-183.8801359346
2.95080,-183.8794521848
3.05080,-183.8788516262
3.15080,-183.8783101904
3.25080,-183.8778033908
3.35080,-183.8773093429
3.45080,-183.8768095786
3.55080,-183.8762760099
3.65080,-183.8756929171
