dists,energies
2.03200,-196.4932956315
2.13200,-196.5108147050
2.23200,-196.5216873950
2.33200,-196.5278879457
2.43200,-196.5308690011
2.53200,-196.5316789062
2.63200,-196.5310714098
2.73200,-196.5295755126
2.83200,-196.5275735118
2.93200,-196.5253207763
3.03200,-196.5230091055
3.13200,-196.5207701452
3.23200,-196.5187240504
3.33200,-196.5169865986
3.43200,-196.5155436766
3.53200,-196.5142788512
3.63200,-196.5131353213
3.73200,-196.5120851089
3.83200,-196.5111117608
3.93200,-196.5101998730
4.03200,-196.5093357575
4.13200,-196.5085053809
4.23200,-196.5076956961
4.33200,-196.5068909178
4.43200,-196.5060741329
4.53200,-196.5052297189
