dists,energies
2.66430,-974.0810590943
2.76430,-974.0907604712
2.86430,-974.0970603256
2.96430,-974.1008398805
3.06430,-974.1027501807
3.16430,-974.1032922799
3.26430,-974.1028592223
3.36430,-974.1017307029
3.46430,-974.1001263354
3.56430,-974.0982037405
3.66430,-974.0960905137
3.76430,-974.0938738384
3.86430,-974.0916205969
3.96430,-974.0893755922
4.06430,-974.0871704066
4.16430,-974.0850328978
4.26430,-974.0829822620
4.36430,-974.0810265339
4.46430,-974.0791684482
4.56430,-974.0774114330
4.66430,-974.0757351556
4.76430,-974.0741653033
4.86430,-974.0726791033
4.96430,-974.0712635199
5.06430,-974.0698975463
5.16430,-974.0685854886
