dists,energies
1.96570,-381.7217636766
2.06570,-381.7390591187
2.16570,-381.7499057417
2.26570,-381.7560490151
2.36570,-381.7587687167
2.46570,-381.7590307869
2.56570,-381.7575341923
2.66570,-381.7548046593
2.76570,-381.7512258640
2.86570,-381.7470825185
2.96570,-381.7425832106
3.06570,-381.7378883576
3.16570,-381.7330994853
3.26570,-381.7283142437
3.36570,-381.7235758553
3.46570,-381.7189411015
3.56570,-381.7144308529
3.66570,-381.7100601886
3.76570,-381.7058538862
3.86570,-381.7018060348
3.96570,-381.6979214453
4.06570,-381.6942083611
4.16570,-381.6906532760
4.26570,-381.6872534819
4.36570,-381.6840124650
4.46570,-381.6809179046
