dists,energies
1.82010,-776.1900232234
1.92020,-776.2127684087
2.02020,-776.2265311285
2.12020,-776.2341936555
2.22020,-776.2378010412
2.32020,-776.2387615764
2.42020,-776.2380594003
2.52020,-776.2363476191
2.62020,-776.2340889801
2.72020,-776.2315799013
2.82020,-776.2290382499
2.92020,-776.2266090288
3.02020,-776.2244185607
3.12020,-776.2225524283
3.22020,-776.2209700103
3.32020,-776.2195843183
3.42020,-776.2183476567
3.52020,-776.2172296222
3.62020,-776.2162071483
3.72020,-776.2152593200
3.82020,-776.2143676780
3.92020,-776.2135139877
4.02020,-776.2126819466
4.12020,-776.2118535535
4.22020,-776.2110106590
4.32020,-776.2101355211
