dists,energies
2.29690,-536.4746500650
2.39690,-536.4880488769
2.49690,-536.4966617541
2.59690,-536.5017650024
2.69690,-536.5043255641
2.79690,-536.5050510195
2.89690,-536.5044891365
2.99690,-536.5030372650
3.09690,-536.5009743855
3.19690,-536.4985244175
3.29690,-536.4958563948
3.39690,-536.4930810412
3.49690,-536.4902836189
3.59690,-536.4875304337
3.69690,-536.4848705565
3.79690,-536.4823303422
3.89690,-536.4799175834
3.99690,-536.4776419191
4.09690,-536.4755150476
4.19690,-536.4735355774
4.29690,-536.4716990888
4.39690,-536.4699948764
4.49690,-536.4684067961
4.59690,-536.4669133654
4.69690,-536.4655025105
4.79690,-536.4641525951
