dists,energies
1.59850,-544.1600197745
1.69850,-544.1890197710
1.79850,-544.2064711811
1.89850,-544.2159594986
1.99850,-544.2199930946
2.09850,-544.2203231214
2.19850,-544.2181665666
2.29850,-544.2143754713
2.39850,-544.2095412466
2.49850,-544.2040783433
2.59850,-544.1982740544
2.69850,-544.1923253923
2.79850,-544.1863706816
2.89850,-544.1805028183
2.99850,-544.1747818009
3.09850,-544.1692492108
3.19850,-544.1639285866
3.29850,-544.1588321522
3.39850,-544.1539666328
3.49850,-544.1493290771
3.59850,-544.1449160701
3.69850,-544.1407203736
3.79850,-544.1367328126
3.89850,-544.1329449492
3.99850,-544.1293459564
4.09850,-544.1259259722
