cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-19.2121,-0.0751,-0.1994,1.0,-21.6165,0.023,-2.1529,1
-1.492,-0.1666,-0.5676,1.0,-6.0286,0.1662,-3.9686,2
-61.5226,-2.7077,-5.0874,1.0,-62.6443,20.1523,-13.4789,3
-72.7596,-3.639,-6.0674,1.0,-70.4949,27.2696,-15.2985,4
-13.7135,-0.0888,-0.2217,1.0,-16.2568,0.0282,-2.261,5
-12.2123,-0.0229,-0.0846,1.0,-13.533100000000001,0.0003,-1.2136,6
-76.4833,-4.2289,-6.6209,1.0,-69.0265,33.984,-15.6774,7
-4.6867,-0.1475,-0.2373,1.0,-7.3646,0.0542,-2.3473,8
-9.2119,-0.0788,-0.2016,1.0,-11.591899999999997,0.0227,-2.1223,9
-74.8561,-3.5413,-5.9744,1.0,-72.9907,26.6192,-15.2381,10
0.5106,-0.0011,-0.0317,0.0,0.47090000000000004,0.0,-0.0069,11
3.5654,-0.0795,-1.1254,0.0,2.6220000000000003,0.4494,-0.1879,12
0.8403,-0.001,-0.0189,0.0,0.8146,-0.0,-0.0058,13
-37.2674,-9.8743,-8.726,0.0,-18.309400000000004,42.9337,-5.3754,14
-43.1994,-12.6607,-9.6554,0.0,-17.784399999999998,54.6044,-6.8733,15
-0.8536,-0.0142,-0.3425,0.0,-1.2464,0.0467,-0.0828,16
-5.6915,-0.1024,-1.2583,0.0,-6.7677000000000005,0.5406,-0.2561,17
0.7173,-0.0018,-0.0413,0.0,0.6618,0.0001,-0.0125,18
-34.1457,-8.8582,-8.1417,0.0,-18.164299999999997,37.9745,-4.9932,19
-40.5784,-11.8316,-9.528,0.0,-16.669800000000002,51.5467,-6.2785,20
-33.2704,-7.7923,-8.0382,0.0,-18.813300000000005,34.626,-4.3384,21
0.5939,-0.0018,-0.0475,0.0,0.5316,0.0001,-0.0131,22
-1.1794,-0.0049,-0.1351,0.0,-1.3472,0.0065,-0.0343,23
-2.4664,-0.0383,-0.6994,0.0,-3.1572,0.1769,-0.13,24
-5.2689,-0.0697,-0.9053,0.0,-6.069200000000001,0.3506,-0.1759,25
-38.0479,-9.8476,-8.7421,0.0,-19.378199999999996,42.6206,-5.3612,26
-0.1282,-0.0016,-0.05,0.0,-0.1944,0.0002,-0.0148,27
1.4033,-0.058,-1.1568,0.0,0.41979999999999984,0.4748,-0.2435,28
-1.93,-0.0407,-0.6131,0.0,-2.5847,0.1457,-0.1466,29
-7.9582,-1.2988,-5.7162,0.0,-4.046799999999999,12.448,-1.5216,30
4.385,-0.2876,-2.8354,0.0,4.040499999999999,3.2045,-0.426,31
-45.5521,-12.8604,-9.9507,0.0,-18.191200000000006,56.955,-6.783,32
-6.5704,-0.1406,-1.4847,0.0,-7.8162,0.7102,-0.3307,33
4.9278,-0.062,-1.5593,0.0,4.0891,1.0001,-0.2175,34
0.3314,-0.0014,-0.0258,0.0,0.296,0.0,-0.0082,35
0.756,-0.0012,-0.0237,0.0,0.7261,0.0,-0.005,36
4.5539,-0.0177,-0.674,0.0,3.9082999999999997,0.1786,-0.1325,37
0.3432,-0.0023,-0.0715,0.0,0.2587,0.0008,-0.0115,38
4.0636,-0.0208,-0.4255,0.0,3.5811000000000006,0.0749,-0.1111,39
2.5952,-0.0023,-0.102,0.0,2.4475000000000002,0.0023,-0.0457,40
-4.3807,-0.05,-0.8044,0.0,-5.135800000000001,0.257,-0.1577,41
-30.9193,-6.34,-7.3188,0.0,-19.0523,29.5878,-4.062,42
-39.0623,-10.0717,-8.9291,0.0,-18.7512,44.9255,-5.6136,43
4.2947,-0.0056,-0.3158,0.0,3.897299999999999,0.0402,-0.1162,44
5.1605,-0.0418,-0.6679,0.0,4.446899999999999,0.1718,-0.1757,45
1.2903,-0.005,-0.1477,0.0,1.1203000000000003,0.0059,-0.0232,46
-29.3373,-6.9593,-8.0029,0.0,-15.235299999999995,33.3646,-4.3004,47
-1.3066,-0.0044,-0.1116,0.0,-1.4531,0.003,-0.0335,48
-1.9028,-0.0203,-0.3542,0.0,-2.3363,0.0497,-0.1087,49
7.3908,-0.5933,-4.356,0.0,8.807,7.0353,-0.6698,50
-30.0901,-6.0892,-7.1588,0.0,-19.1387,27.986,-3.7866,51
4.0485,-0.0148,-0.5743,0.0,3.4727,0.1252,-0.1119,52
-33.4406,-7.2475,-8.2043,0.0,-17.020800000000005,36.2688,-4.3972,53
0.1285,-0.0058,-0.1591,0.0,-0.056499999999999995,0.0066,-0.0267,54
0.0873,-0.0015,-0.0321,0.0,0.044800000000000006,-0.0,-0.0089,55
-23.2238,-0.1029,-0.2866,1.0,-26.254800000000003,0.0434,-2.6849,56
-3.5574,-0.1454,-0.5052,1.0,-7.7691,0.1206,-3.6817,57
-51.6362,-2.7193,-5.1231,1.0,-51.7459,20.8992,-13.1665,58
-70.1575,-3.3016,-5.7416,1.0,-69.86129999999999,24.1975,-14.8581,59
-63.5804,-2.5192,-4.8369,1.0,-66.18260000000001,17.9956,-13.2417,60
-7.9856,-0.027,-0.1061,1.0,-9.5017,0.0009,-1.3839,61
-68.2995,-3.0312,-5.4448,1.0,-68.2905,22.6283,-14.1433,62
6.5389,-0.3953,-1.0111,1.0,0.40769999999999995,0.8549,-5.5797,63
-13.6948,-0.0904,-0.2739,1.0,-16.552699999999998,0.0333,-2.5269,64
-71.5389,-3.2097,-5.6456,1.0,-71.5439,23.5904,-14.7401,65
0.2445,-0.0008,-0.0229,0.0,0.2161,-0.0,-0.0047,66
2.1764,-0.0251,-0.5789,0.0,1.5868,0.1129,-0.0985,67
