cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-37.6499,-0.3613,-0.0423,1.0,-43.588899999999995,0.0482,-5.5836,1
-127.4461,-12.0287,-3.5437,1.0,-144.04989999999998,39.628,-40.6594,2
-8.1596,-0.0047,-0.0027,1.0,-9.132,-0.0001,-0.9649,3
32.9996,-0.5892,-0.0768,1.0,24.640700000000002,0.128,-7.8209,4
-23.7152,-0.211,-0.0274,1.0,-28.237999999999996,0.0194,-4.3038,5
-114.6297,-9.8346,-3.1128,1.0,-133.8685,31.3656,-37.657,6
-27.5661,-0.1746,-0.0167,1.0,-31.0733,0.0105,-3.3264,7
-120.0506,-10.9242,-3.2752,1.0,-139.23860000000002,34.2147,-39.2033,8
-124.1082,-11.4817,-3.6424,1.0,-137.9338,41.8203,-40.5218,9
-0.2633,-0.022,-0.0055,1.0,-1.9239,0.0005,-1.6336,10
2.463,-0.0027,-0.118,0.0,2.3036000000000003,0.0027,-0.0414,11
5.3544,-0.0635,-0.8851,0.0,4.505599999999999,0.3174,-0.2176,12
-6.4809,-0.1283,-1.5189,0.0,-7.561500000000001,0.8531,-0.2865,13
0.5649,-0.0026,-0.0877,0.0,0.45759999999999995,0.0009,-0.0179,14
-38.6239,-10.9979,-9.1307,0.0,-17.174499999999995,47.5765,-5.9985,15
2.5185,-0.0071,-0.2716,0.0,2.2197000000000005,0.0285,-0.0486,16
2.645,-0.0046,-0.2178,0.0,2.3701000000000003,0.0167,-0.0692,17
-28.5968,-7.2575,-7.795,0.0,-14.6173,33.228,-4.196,18
-44.4005,-12.8913,-9.8901,0.0,-18.3715,55.6312,-6.8208,19
-0.2186,-0.0018,-0.0488,0.0,-0.2797,0.0001,-0.0106,20
-0.8221,-0.308,-2.5122,0.0,-1.913,2.3453,-0.616,21
-40.9692,-11.8983,-9.3991,0.0,-17.400200000000005,51.3182,-6.4518,22
8.5575,-0.0993,-2.6935,0.0,8.2714,3.0947,-0.588,23
-1.2995,-0.0367,-0.6009,0.0,-1.9571,0.1415,-0.1615,24
8.3067,-0.0738,-2.3615,0.0,7.7879000000000005,2.4036,-0.4871,25
8.1015,-0.1655,-3.0189,0.0,8.0049,3.625,-0.5372,26
0.3043,-0.0027,-0.0776,0.0,0.2077,0.0006,-0.0169,27
-4.3205,-0.0487,-0.7144,0.0,-5.0055000000000005,0.2257,-0.1476,28
-3.5441,-0.0334,-0.5452,0.0,-4.1128,0.1388,-0.1289,29
0.7529,-0.0024,-0.0723,0.0,0.6655,0.0003,-0.013,30
-51.2712,-16.7585,-10.9029,0.0,-15.613400000000004,72.446,-9.1268,31
0.0058,-0.0008,-0.0178,0.0,-0.017599999999999998,0.0,-0.0048,32
-3.9353,-0.0561,-0.9784,0.0,-4.8706,0.3437,-0.2445,33
-38.9896,-10.8456,-9.0043,0.0,-18.233200000000004,46.4964,-5.8901,34
-35.9192,-8.1468,-8.1118,0.0,-20.052599999999998,36.929,-4.8038,35
-29.6087,-5.6385,-6.9528,0.0,-19.9861,25.6773,-3.4634,36
-4.2338,-0.0412,-0.7711,0.0,-4.965999999999999,0.2318,-0.1517,37
-2.0134,-0.0022,-0.0906,0.0,-2.1422,0.0018,-0.0378,38
-4.237,-0.0934,-1.8229,0.0,-5.0282,1.3438,-0.2187,39
-58.5202,-19.084,-11.6278,0.0,-17.20020000000001,82.3594,-10.3276,40
3.2974,-0.0048,-0.2467,0.0,2.9866,0.0212,-0.0805,41
-42.1747,-12.6774,-9.6605,0.0,-16.9072,54.4055,-6.8001,42
1.7031,-0.0025,-0.0722,0.0,1.6058,0.0009,-0.0235,43
6.2855,-0.0975,-1.3086,0.0,5.2145,0.6203,-0.2852,44
-3.1539,-0.0205,-0.328,0.0,-3.5392,0.0465,-0.0833,45
2.0918,-0.0031,-0.1179,0.0,1.9393,0.0026,-0.0341,46
7.5803,-0.0679,-2.4182,0.0,7.203099999999999,2.5769,-0.468,47
10.061,-0.5146,-4.633,0.0,11.9479,7.9363,-0.9018,48
-4.5023,-0.069,-0.8638,0.0,-5.2908,0.3201,-0.1758,49
