cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-29.2358,-2.5269,-4.8564,1.0,-32.2106,13.1101,-8.7016,1
2.7501,-0.1219,-0.4237,1.0,0.3093999999999998,0.0881,-1.9832,2
-44.187,-3.0645,-5.1362,1.0,-45.35020000000001,16.2324,-9.1949,3
-3.9798,-0.1032,-0.7231,1.0,-7.3809,0.1539,-2.7287,4
-9.6628,-0.0288,-0.25,1.0,-11.383000000000001,0.0127,-1.4541,5
-67.5637,-6.5568,-8.5262,1.0,-53.797999999999995,41.9471,-13.0984,6
-45.9853,-2.5868,-4.8228,1.0,-48.85810000000001,13.4963,-8.9595,7
-1.3971,-0.111,-0.6711,1.0,-4.6762,0.1578,-2.6548,8
-29.2248,-2.5472,-4.9254,1.0,-32.167699999999996,13.3121,-8.7824,9
-17.7419,-0.0842,-0.5617,1.0,-20.6864,0.0997,-2.3983,10
-62.674,-5.154,-7.6249,1.0,-56.007099999999994,31.6609,-12.2151,56
-43.689,-4.7232,-6.465,1.0,-38.311699999999995,26.9586,-10.3931,57
-6.8978,-0.0471,-0.2459,1.0,-8.6271,0.0228,-1.4591,58
-64.9946,-5.7626,-8.0017,1.0,-55.29460000000001,36.0524,-12.5881,59
-19.1649,-0.0473,-0.2764,1.0,-21.109199999999998,0.0268,-1.6474,60
8.3462,-0.007,-0.1326,1.0,7.0966,0.0024,-1.1124,61
-20.8228,-0.1014,-0.6146,1.0,-23.966,0.1338,-2.561,62
-0.271,-0.0057,-0.0545,1.0,-0.8677000000000001,0.0003,-0.5368,63
-17.9985,-0.0621,-0.3115,1.0,-20.1085,0.0423,-1.7787,64
-2.4661,-0.003,-0.0566,1.0,-3.0465999999999998,0.0001,-0.521,65
-60.5942,-4.2969,-6.8336,1.0,-57.361999999999995,25.7587,-11.396,111
-4.1692,-2.0743,-3.9867,1.0,-8.540500000000002,9.2235,-7.5338,112
-62.3859,-4.5881,-7.1092,1.0,-57.910399999999996,27.884,-11.7112,113
-58.4462,-4.1441,-6.6829,1.0,-56.1616,24.3646,-11.253,114
