cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-37.6499,-0.3613,-0.0423,1.0,-43.588899999999995,0.0482,-5.5836,1
-127.4461,-12.0287,-3.5437,1.0,-144.04989999999998,39.628,-40.6594,2
-8.1596,-0.0047,-0.0027,1.0,-9.132,-0.0001,-0.9649,3
32.9996,-0.5892,-0.0768,1.0,24.640700000000002,0.128,-7.8209,4
-23.7152,-0.211,-0.0274,1.0,-28.237999999999996,0.0194,-4.3038,5
-114.6297,-9.8346,-3.1128,1.0,-133.8685,31.3656,-37.657,6
-27.5661,-0.1746,-0.0167,1.0,-31.0733,0.0105,-3.3264,7
-120.0506,-10.9242,-3.2752,1.0,-139.23860000000002,34.2147,-39.2033,8
-124.1082,-11.4817,-3.6424,1.0,-137.9338,41.8203,-40.5218,9
-0.2633,-0.022,-0.0055,1.0,-1.9239,0.0005,-1.6336,10
-37.6499,-0.3613,-0.0423,1.0,-43.588899999999995,0.0482,-5.5836,56
-127.4461,-12.0287,-3.5437,1.0,-144.04989999999998,39.628,-40.6594,57
-8.1596,-0.0047,-0.0027,1.0,-9.132,-0.0001,-0.9649,58
32.9996,-0.5892,-0.0768,1.0,24.640700000000002,0.128,-7.8209,59
-23.7152,-0.211,-0.0274,1.0,-28.237999999999996,0.0194,-4.3038,60
-114.6297,-9.8346,-3.1128,1.0,-133.8685,31.3656,-37.657,61
-27.5661,-0.1746,-0.0167,1.0,-31.0733,0.0105,-3.3264,62
-120.0506,-10.9242,-3.2752,1.0,-139.23860000000002,34.2147,-39.2033,63
-124.1082,-11.4817,-3.6424,1.0,-137.9338,41.8203,-40.5218,64
-0.2633,-0.022,-0.0055,1.0,-1.9239,0.0005,-1.6336,65
-126.0093,-11.851,-3.5233,1.0,-142.69490000000002,39.2208,-40.5321,111
-126.7685,-11.6491,-3.5901,1.0,-142.1616,40.6771,-40.831,112
-24.9862,-0.1783,-0.0196,1.0,-28.7618,0.0127,-3.5904,113
-104.538,-9.2545,-2.9459,1.0,-123.59359999999998,28.7796,-35.6348,114
28.0867,-0.5512,-0.0616,1.0,20.657600000000002,0.0941,-6.9104,115
-22.6624,-0.1279,-0.0137,1.0,-25.7129,0.0063,-2.9152,116
-117.7003,-10.6202,-3.3677,1.0,-134.4496,36.1885,-38.9499,117
-2.9214,-0.0235,-0.0076,1.0,-4.9238,0.0001,-1.9714,118
-26.3239,-0.2265,-0.0293,1.0,-31.0429,0.0226,-4.4858,119
-33.7852,-0.4403,-0.0717,1.0,-41.314800000000005,0.0988,-7.1164,120
-24.2564,-0.124,-0.0124,1.0,-27.166599999999995,0.0058,-2.7796,166
-123.8829,-11.0778,-3.4584,1.0,-140.2647,37.975,-39.8206,167
-11.7615,-0.221,-0.018,1.0,-15.3904,0.0145,-3.4044,168
-20.5138,-0.2328,-0.0264,1.0,-24.9632,0.0203,-4.2105,169
-5.6994,-0.0063,-0.0035,1.0,-6.8683000000000005,0.0001,-1.1592,170
-122.0418,-10.5811,-3.2812,1.0,-140.33079999999998,34.4547,-38.8814,171
-1.7817,-0.1949,-0.0148,1.0,-5.0347,0.0102,-3.0535,172
-125.8156,-11.4638,-3.4918,1.0,-142.40089999999998,38.6128,-40.2425,173
-126.5594,-11.5988,-3.5321,1.0,-142.8509,39.4483,-40.6089,174
-23.744,-0.2095,-0.0248,1.0,-28.0419,0.0179,-4.0815,175
-25.3545,-0.2174,-0.0257,1.0,-29.7526,0.0191,-4.1741,221
-123.6619,-11.4901,-3.6736,1.0,-136.58520000000001,42.5248,-40.2844,222
-15.206,-0.2374,-0.0279,1.0,-19.776400000000002,0.0209,-4.326,223
-2.0468,-0.4578,-0.0778,1.0,-10.0257,0.0872,-7.5305,224
-19.1152,-0.2103,-0.0254,1.0,-23.436100000000003,0.0175,-4.1027,225
-125.9096,-11.6638,-3.4756,1.0,-143.0609,38.2351,-40.247,226
-122.2294,-11.2176,-3.5224,1.0,-137.68720000000002,39.2786,-39.9964,227
-8.5729,-0.5902,-0.0418,1.0,-14.4616,0.0678,-5.3245,228
