cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-31.0763,-1.243,-4.0979,1.0,-35.2978,5.3476,-4.2282,392
-64.2605,-15.8601,-11.1625,1.0,-53.46339999999999,50.1471,-12.3274,393
-7.8459,-0.2975,-1.7597,1.0,-11.0568,1.1625,-2.3162,394
-6.1789,-0.3387,-1.4895,1.0,-9.3112,0.9363,-2.2404,395
-22.184,-0.3333,-1.2198,1.0,-25.174,0.6671,-2.104,441
-6.5112,-0.0096,-0.0806,1.0,-7.0470999999999995,0.0054,-0.4511,442
-3.2326,-0.2749,-1.4397,1.0,-6.2286,0.8653,-2.1467,443
-26.1907,-0.8563,-3.3508,1.0,-30.3955,3.6216,-3.6193,444
-67.1952,-18.5436,-11.8468,1.0,-53.1323,58.0396,-13.5863,445
-9.773,-0.0174,-0.1316,1.0,-10.5054,0.0214,-0.6048,446
-3.7167,-0.0188,-0.1598,1.0,-4.4951,0.0289,-0.6287,447
-11.1607,-0.0583,-0.2007,1.0,-12.217899999999998,0.0493,-0.8475,448
-57.9053,-11.9544,-10.4161,1.0,-49.344699999999996,41.3601,-10.429,449
-63.947,-14.6376,-11.0037,1.0,-53.3281,47.9782,-11.718,450
-23.2044,-0.3602,-1.2776,1.0,-26.3086,0.7162,-2.1826,496
-55.8984,-10.5952,-9.3573,1.0,-52.02310000000001,33.6293,-9.8015,497
-10.7891,-0.076,-0.4647,1.0,-12.3264,0.1394,-1.136,498
-0.8638,-0.0231,-0.1521,1.0,-1.653,0.0295,-0.6435,499
-4.0222,-0.411,-1.5466,1.0,-7.280499999999999,1.0529,-2.3536,500
-57.9487,-14.2333,-10.6413,1.0,-49.313700000000004,44.995,-11.4854,501
-64.1976,-14.4975,-11.0345,1.0,-53.4231,47.9715,-11.665,502
-60.2306,-11.2021,-10.0542,1.0,-53.37700000000001,38.2363,-10.1264,503
-1.9593,-0.6032,-2.3358,1.0,-5.7540000000000004,2.0916,-2.9473,504
-6.3185,-0.244,-1.2911,1.0,-9.149000000000001,0.7103,-2.0057,505
-64.8772,-14.1497,-11.0394,1.0,-54.1305,47.4844,-11.5486,551
-5.9083,-0.0074,-0.0595,1.0,-6.346699999999999,0.0055,-0.377,552
-55.0441,-6.3355,-9.4046,1.0,-49.49419999999999,29.2709,-7.9809,553
-21.9794,-0.3346,-1.1998,1.0,-24.9649,0.6463,-2.0974,554
-11.3328,-0.0628,-0.2643,1.0,-12.515300000000002,0.065,-0.9204,555
-8.0968,-0.0311,-0.2254,1.0,-9.084900000000001,0.0471,-0.7787,556
1.487,-0.4418,-2.2242,1.0,-2.0761000000000003,1.8555,-2.7526,557
-56.4682,-10.2484,-10.4034,1.0,-47.28790000000001,39.5072,-9.6751,558
-37.5727,-2.8459,-6.4523,1.0,-39.3674,13.336,-5.8325,559
-51.4506,-10.0006,-9.1641,1.0,-48.012699999999995,32.076,-9.4734,560
-8.4355,-0.0422,-0.1786,1.0,-9.381199999999998,0.0407,-0.7656,561
-64.8772,-14.1497,-11.0394,1.0,-54.1305,47.4844,-11.5486,617
-5.9083,-0.0074,-0.0595,1.0,-6.346699999999999,0.0055,-0.377,618
-55.0441,-6.3355,-9.4046,1.0,-49.49419999999999,29.2709,-7.9809,619
-21.9794,-0.3346,-1.1998,1.0,-24.9649,0.6463,-2.0974,620
-11.3328,-0.0628,-0.2643,1.0,-12.515300000000002,0.065,-0.9204,621
-8.0968,-0.0311,-0.2254,1.0,-9.084900000000001,0.0471,-0.7787,622
1.487,-0.4418,-2.2242,1.0,-2.0761000000000003,1.8555,-2.7526,623
-56.4682,-10.2484,-10.4034,1.0,-47.28790000000001,39.5072,-9.6751,624
-37.5727,-2.8459,-6.4523,1.0,-39.3674,13.336,-5.8325,625
-51.4506,-10.0006,-9.1641,1.0,-48.012699999999995,32.076,-9.4734,626
-8.4355,-0.0422,-0.1786,1.0,-9.381199999999998,0.0407,-0.7656,627
-6.0192,-0.0135,-0.0979,1.0,-6.636799999999999,0.0134,-0.5196,683
2.633,-0.0142,-0.0717,1.0,2.142,0.0079,-0.413,684
-10.4666,-0.0933,-0.5744,1.0,-12.2034,0.1955,-1.2646,685
-3.4299,-0.4466,-1.4652,1.0,-6.668900000000001,1.0156,-2.3428,686
-58.4326,-12.858,-10.1357,1.0,-51.7813,40.486,-10.841,687
-11.9074,-0.0652,-0.2188,1.0,-13.029800000000002,0.0519,-0.8903,688
-63.128,-12.837,-10.996,1.0,-51.9366,45.9059,-10.8815,689
-26.5097,-0.5905,-2.1428,1.0,-30.4794,1.6764,-2.9128,690
-5.9063,-0.3458,-1.9912,1.0,-9.302200000000001,1.4467,-2.5056,691
-6.2817,-0.0067,-0.0521,1.0,-6.6789000000000005,0.0031,-0.3415,692
-72.7795,-21.8258,-12.8829,1.0,-52.768699999999995,70.0391,-15.3196,693
-53.6308,-10.4622,-9.284,1.0,-49.925799999999995,33.1672,-9.716,749
1.7501,-0.0539,-0.265,1.0,0.6183000000000001,0.0688,-0.8817,750
-59.4302,-13.736,-10.378,1.0,-52.021,42.8023,-11.2791,751
-5.1848,-0.3305,-1.4834,1.0,-8.2985,0.9338,-2.2336,752
-8.7817,-0.0553,-0.3873,1.0,-10.134300000000001,0.1088,-1.0188,753
-25.6012,-0.5467,-2.0146,1.0,-29.449800000000003,1.508,-2.7953,754
-60.0909,-12.9399,-10.1811,1.0,-53.3872,40.7418,-10.9171,755
-5.2643,-0.2948,-1.561,1.0,-8.365200000000002,0.9833,-2.2284,756
-68.9948,-19.7153,-12.2807,1.0,-52.2814,62.9122,-14.2028,757
-25.9489,-0.5566,-2.0519,1.0,-29.816999999999997,1.5663,-2.8259,758
-3.9777,-0.2169,-1.2665,1.0,-6.7314,0.6868,-1.9571,759
-56.9954,-9.105,-9.5098,1.0,-51.8934,32.9037,-9.1869,815
-57.4532,-11.5083,-9.7223,1.0,-52.41480000000001,36.5192,-10.2502,816
-66.26,-18.3403,-11.7777,1.0,-52.49560000000001,57.3593,-13.4769,817
-5.0527,-0.2,-1.5988,1.0,-8.014599999999998,0.945,-2.1081,818
-13.2381,-0.0475,-0.2154,1.0,-14.2762,0.0529,-0.8281,819
-24.8277,-0.7087,-2.7739,1.0,-28.9812,2.592,-3.2629,820
-9.74,-0.0139,-0.1175,1.0,-10.416099999999998,0.0189,-0.5636,821
-2.227,-0.159,-0.8744,1.0,-4.499199999999999,0.3951,-1.6339,822
-57.0991,-12.6667,-10.3485,1.0,-49.1744,41.6751,-10.7352,823
-23.4009,-0.5333,-2.1744,1.0,-27.2368,1.6966,-2.8248,824
-4.2692,-0.0168,-0.135,1.0,-4.978999999999999,0.0212,-0.5792,825
-11.9324,-0.0547,-0.283,1.0,-13.114199999999999,0.0747,-0.9188,881
-2.8696,-0.2753,-0.9326,1.0,-5.414199999999999,0.4958,-1.8325,882
-16.3532,-0.6437,-3.2521,1.0,-20.2248,3.3535,-3.3293,883
-54.1463,-12.65,-9.8947,1.0,-48.625099999999996,38.7403,-10.6744,884
-5.6577,-0.0051,-0.0295,1.0,-5.9361,0.0009,-0.2447,885
-13.4123,-0.049,-0.2069,1.0,-14.444199999999999,0.049,-0.825,886
-53.2783,-8.5806,-9.7098,1.0,-46.8673,33.6101,-8.9087,887
-62.0976,-13.9479,-10.5912,1.0,-53.542500000000004,44.4747,-11.3805,888
-62.3841,-9.2768,-10.5931,1.0,-52.4609,39.1549,-9.3618,889
-11.9723,-0.0536,-0.3277,1.0,-13.23,0.0872,-0.9636,890
-0.0371,-0.0115,-0.0579,1.0,-0.4621,0.0015,-0.3571,891
-4.6857,-0.0116,-0.088,1.0,-5.2588,0.0051,-0.4786,947
1.9546,-0.0145,-0.0802,1.0,1.4287999999999998,0.0101,-0.4412,948
-7.9789,-0.0474,-0.3153,1.0,-9.189499999999999,0.0816,-0.9295,949
-4.6737,-0.4431,-1.427,1.0,-7.9015,0.9701,-2.3278,950
-61.649,-14.6649,-11.1936,1.0,-49.8882,49.3062,-11.6869,951
-12.2055,-0.0897,-0.2623,1.0,-13.4906,0.0706,-1.0037,952
-66.8668,-16.9773,-11.7904,1.0,-52.492999999999995,55.9819,-12.8404,953
-16.5074,-0.1397,-0.5131,1.0,-18.305600000000002,0.1768,-1.3222,954
-5.9219,-0.2354,-1.2066,1.0,-8.6804,0.6306,-1.9471,955
-5.6497,-0.0066,-0.0442,1.0,-5.9992,0.0049,-0.3036,956
-64.3133,-8.2984,-10.9279,1.0,-52.6781,39.9042,-9.0427,957
-51.9904,-9.5098,-8.9494,1.0,-49.324200000000005,30.3968,-9.2714,1013
-11.006,-0.0543,-0.1977,1.0,-12.0422,0.0456,-0.8298,1014
-71.3486,-21.2054,-12.7395,1.0,-52.06280000000001,68.2123,-14.9816,1015
-58.2829,-12.2283,-10.4038,1.0,-49.915000000000006,41.5556,-10.5556,1016
-51.6959,-6.642,-8.5276,1.0,-49.58480000000001,25.3063,-8.0256,1017
-9.061,-0.0182,-0.1391,1.0,-9.812800000000001,0.0219,-0.6164,1018
-22.1062,-0.6011,-2.504,1.0,-26.0787,2.1575,-3.0249,1019
-3.9453,-0.0266,-0.2083,1.0,-4.8713999999999995,0.0411,-0.7323,1020
