cls_elec,cls_elec_3b,ct,ct_3b,disp,disp_3b,has_ion,int,int_3b,mod_pauli,mod_pauli_3b,pol,pol_3b,index
-55.9509,3.552713678800501e-15,-4.9737,-0.4708000000000001,-10.385,1.2933999999999992,1.0,-55.4813,-2.5328999999999935,24.8961,-1.3238999999999947,-9.0678,-2.0316000000000014,1
-60.6577,-1.2212453270876722e-15,-11.3235,0.13920000000000154,-10.6681,-0.01110000000000079,1.0,-55.5656,0.6052999999999955,36.4142,0.03019999999999694,-9.3305,0.44699999999999906,2
-4.2255,-0.00010000000000007746,-0.1537,0.0013000000000000008,-1.1698,-0.006199999999999839,1.0,-7.3377,-0.04749999999999981,0.4221,-0.0012000000000000344,-2.2108,-0.041299999999999865,3
-50.0525,0.0,-8.0014,-0.20900000000000052,-6.9609,1.6990000000000007,1.0,-36.86,-0.5541999999999998,34.1017,-1.9176000000000002,-5.9469,-0.12659999999999982,4
-69.8583,1.887379141862766e-15,-15.6897,0.0012000000000009323,-12.7541,-0.011100000000000124,1.0,-57.673500000000004,0.1225999999999994,52.338,0.07699999999999871,-11.7094,0.055499999999997995,5
-29.2039,9.999999999799059e-5,-0.5162,-0.00739999999999999,-2.6475,0.08539999999999992,1.0,-33.5873,0.5637999999999977,1.1836,-0.11610000000000004,-2.4033,0.6017999999999999,6
-16.3025,1.7763568394002505e-15,-0.3586,0.03320000000000006,-2.869,0.08099999999999963,1.0,-20.5781,0.47060000000000146,1.4211,-0.10669999999999996,-2.4691,0.46309999999999996,7
-24.9176,-2.220446049250313e-16,-0.3118,0.009099999999999997,-1.5454,-0.014899999999999997,1.0,-28.5884,0.07279999999999962,0.6503,0.0017000000000000127,-2.4639,0.07689999999999983,8
-88.5666,1.0658141036401503e-14,-15.9731,-1.8011,-16.7878,1.359399999999999,1.0,-77.77459999999999,-7.781699999999993,61.9531,-1.2413000000000025,-18.4002,-6.0987,9
-74.8132,0.00010000000000287557,-12.0735,0.6786000000000019,-15.1711,0.1019000000000011,1.0,-71.1855,1.9997000000000027,41.9984,-0.22250000000000383,-11.1261,1.4416000000000007,10
