ct,ct_iw,ct_iww,ct_ww,ct_www,disp,disp_iw,disp_iww,disp_ww,disp_www,elec,elec_iw,elec_iww,elec_ww,elec_www,ion_labels,num_waters,pauli,pauli_iw,pauli_iww,pauli_ww,pauli_www,pol,pol_iw,pol_iww,pol_ww,pol_www,index
-42.196797323135755,-12.509536328871892,0.36113766730400065,-27.594048757170167,-2.7623804971319683,-44.74055927342256,-11.52748565965583,1.4579110898661682,-36.333054493307834,1.7696223709368955,-185.1689531548757,-75.74249521988528,9.56022945261701e-5,-109.42648183556405,0.0,Br,10.0,179.3741156787763,41.552031548757164,-1.3815487571702503,139.42724665391967,-0.507887189292543,-36.31546367112811,-12.774067877629063,1.654230401529644,-17.14015296367113,-8.56661089866155,1
-47.98826481835564,-12.442901529636714,0.7305927342256305,-32.663551625239,-3.8254780114724163,-44.22746175908222,-11.92258604206501,1.4113049713192907,-35.06417304015296,1.3505975143403661,-192.24990439770554,-69.97956500956023,-0.0004063097512641128,-122.2703393881453,0.0006692160612348559,Br,10.0,192.24880497131932,41.07700764818355,-2.104326003823974,153.19211281070744,-0.2655114722750393,-38.34818355640535,-13.041156787762906,3.1509799235181375,-18.821988527724663,-9.916061185468417,2
-44.98795411089866,-10.9118068833652,-0.26768642447418844,-31.117949330783937,-3.214985659655861,-43.905043021032505,-11.032791586998087,1.1456022944550632,-35.28630497131932,1.209727533460863,-191.79698852772466,-72.54741873804971,0.0003107074571591057,-119.2496414913958,0.000358508604388226,Br,10.0,185.16749521988527,38.70838910133843,-2.108484703632921,147.99710803059273,0.22963671128103144,-37.03243307839388,-11.690200764818355,-0.6031548757170142,-18.58482313575527,-7.059727533460703,3
-47.98341300191204,-12.626099426386233,1.450286806883402,-32.907122370936904,-3.8083891013383524,-45.23599426386233,-12.700812619502868,1.415129063097532,-35.209512428298275,1.2136950286806762,-198.53095124282981,-76.76737571701719,0.0003824091777106892,-121.76355162523902,-0.0004780114720466567,Br,10.0,194.9527724665392,41.0053776290631,-2.0119502868069934,155.8674235181644,-0.24294933078387274,-38.017256214149135,-13.931907265774376,6.118738049713143,-19.250979923518162,-10.759727533460849,4
-44.5092017208413,-12.383771510516251,0.4261472275334203,-29.7906309751434,-3.1641252390057617,-44.36759082217973,-11.517423518164437,1.1339149139579305,-35.40587954110899,1.3623326959847144,-189.2326959847036,-72.94574569789673,7.170172068744255e-5,-116.28692638623329,-0.0002629063094137211,Br,10.0,182.93401051625239,41.21498565965583,-1.9507648183556758,143.4138862332696,-0.05427820267666217,-36.41374282982791,-12.640081261950286,1.4467256214149005,-17.870482791586994,-8.020052581261966,5
-47.55394359464627,-12.94163479923518,0.09588910133845659,-31.794885277246653,-3.2316443594646596,-43.66689770554493,-11.31859464627151,1.0164674952198336,-34.68164435946463,1.2125000000000705,-192.67339866156786,-72.35750478011472,-0.0003585086041572656,-120.31579827915871,-0.00043021032504849673,Br,10.0,189.44615200764818,41.092088910133846,-1.6680449330785336,149.8994024856597,-0.21892925430257798,-37.53444072657744,-12.975979923518164,1.9115917782026788,-18.554254302103253,-8.27617112810706,6
-47.57461759082218,-11.715344168260037,0.8353489483747628,-33.11054015296366,-3.8718929254302754,-45.30879541108987,-11.627222753346082,1.2291586998087871,-36.42514340344169,1.4462237093690082,-195.3897705544933,-68.67894359464626,-9.560229456692781e-5,-126.71082695984703,0.00011950286809317958,Br,10.0,194.0127151051625,39.44734703632887,-2.0858508604208494,156.56039674952203,-0.2294933078397109,-37.989244741873804,-12.754804015296367,3.6450525812619334,-19.279015296367113,-9.81183078393875,7
-47.33056883365201,-11.526505736137667,0.9119980879540895,-33.006883365200764,-3.8649856596558916,-45.01857074569789,-11.688934034416826,1.2774139579350217,-35.98637667304016,1.3043499043978157,-195.04837476099425,-70.4383604206501,-0.00014340344170094677,-124.60996653919692,-0.00023900573640373363,Br,10.0,192.36608508604206,38.55862810707457,-2.0446701720840696,155.815654875717,-0.29041586998096264,-37.6274378585086,-12.774282982791588,4.482600382409212,-19.279923518164438,-10.035683556405344,8
-46.12021988527725,-11.16257170172084,-1.0888145315487636,-31.491634799235186,-3.118833652007631,-42.98673518164436,-9.524282982791588,0.6410372848948421,-35.60695506692161,1.3830544933079199,-187.33556405353727,-64.96567877629063,0.00023900573618635917,-122.36981357552582,-0.000621414913801947,Br,10.0,183.73788240917781,36.481094646271515,-1.3661328871892462,148.45043021032504,-0.08338910133820465,-37.574665391969404,-11.026625239005737,-1.8621653919693884,-18.575621414913954,-7.136281070745727,9
-50.30597514340344,-12.486998087954111,0.43460803059273345,-34.206835564053534,-4.044024856596618,-44.469956978967495,-11.509369024856596,1.0874521988527743,-35.47875239005736,1.4061424474186748,-196.02160611854683,-68.22002868068833,0.00011950286790297694,-127.80157743785848,-0.00035850860471428765,Br,10.0,198.51711281070746,40.528680688336514,-1.2736376673040366,159.4526051625239,-0.49158699808824174,-40.56130497131931,-12.989244741873804,3.4314053537285196,-19.949713193116633,-11.035086042065005,10
