cls_elec,cls_elec_3b,ct,ct_3b,disp,disp_3b,has_ion,int,int_3b,mod_pauli,mod_pauli_3b,pol,pol_3b,index
-20.1935,-7.771561172376096e-16,-0.2385,0.004300000000000009,-0.7998,-0.0010999999999999413,1.0,-26.9939,0.1802999999999986,0.1878,-0.0013999999999999846,-5.9499,0.1784999999999993,1
-77.1693,-1.021405182655144e-14,-2.7899,0.07240000000000012,-6.4291,-0.01690000000000058,1.0,-79.75470000000001,1.8840999999999888,20.5149,-0.10979999999999923,-13.8813,1.9383999999999988,2
-91.1314,1.3322676295501878e-14,-3.64,0.07509999999999961,-6.2878,-0.0020999999999999075,1.0,-90.2875,1.0093000000000116,27.305,0.012399999999999523,-16.5333,0.923899999999999,3
-70.193,7.105427357601002e-15,-10.0819,-0.04369999999999763,-9.1575,-0.010399999999998855,1.0,-55.374599999999994,0.808100000000004,43.3443,0.3593999999999937,-9.2865,0.5027999999999997,4
-74.6238,-7.105427357601002e-15,-13.1977,-0.4389999999999983,-9.9451,-0.00569999999999915,1.0,-54.2839,-1.3499000000000088,54.7746,0.14689999999999515,-11.2919,-1.0520999999999994,5
-96.5489,9.999999998899778e-5,-4.329,-0.010799999999999466,-7.1753,-0.0125000000000004,1.0,-91.50280000000001,0.38659999999998323,34.0116,-0.042100000000003614,-17.4612,0.45189999999999775,6
-29.5902,9.999999999976694e-5,-0.2958,0.02919999999999999,-1.7049,-0.00990000000000002,1.0,-35.248599999999996,0.5001999999999996,0.6399,0.02210000000000001,-4.2976,0.4586999999999999,7
-27.7066,9.999999999776854e-5,-0.1511,0.004599999999999983,-0.4432,-0.0008999999999999841,1.0,-32.2847,0.26189999999999763,0.044,-0.0018000000000000036,-4.0278,0.25989999999999985,8
-128.2139,-7.105427357601002e-15,-14.6238,-2.1491999999999987,-14.3358,-0.020299999999998875,1.0,-121.24340000000001,-8.471900000000002,64.122,-0.4946999999999946,-28.1919,-5.807700000000002,9
-103.593,0.0,-13.0498,1.6561000000000003,-15.1487,0.0343,1.0,-77.01050000000001,8.33219999999999,72.1385,0.2732999999999919,-17.3575,6.368499999999998,10
-107.522,7.105427357601002e-15,-13.018,-1.4201000000000006,-14.6534,0.01980000000000004,1.0,-100.5052,-5.168399999999997,62.3825,0.3206999999999951,-27.6943,-4.088799999999999,11
-14.6116,1.4432899320127035e-15,-0.2566,0.0006000000000000072,-0.8386,-0.00180000000000001,1.0,-21.558499999999995,0.19530000000000142,0.194,-0.0004999999999999803,-6.0457,0.19699999999999995,12
-14.8837,6.661338147750939e-16,-0.2,-0.005600000000000013,-0.79,-0.0027000000000000357,1.0,-20.749999999999996,0.15890000000000035,0.1743,0.0013000000000000242,-5.0506,0.16589999999999971,13
-80.4417,7.105427357601002e-15,-4.4644,-0.030600000000000183,-7.9076,-0.01970000000000094,1.0,-78.0929,0.11939999999999856,34.3762,0.04909999999999198,-19.6554,0.1206000000000006,14
-11.4475,9.999999999976694e-5,-0.4001,-0.016300000000000023,-1.723,-0.012800000000000145,1.0,-19.2257,0.23669999999999947,0.5979,0.026899999999999924,-6.253,0.23879999999999996,15
-48.7518,-7.105427357601002e-15,-9.6178,0.4751999999999992,-9.5265,-0.015200000000000102,1.0,-33.943400000000004,3.0552999999999892,43.1405,0.33099999999999596,-9.1878,2.2643000000000013,16
-76.4763,7.466249840604178e-15,-3.6511,0.05839999999999996,-6.5973,-0.005299999999999902,1.0,-78.35749999999999,0.8562000000000085,26.8255,0.03990000000000247,-18.4583,0.7631999999999984,17
-132.8789,1.5765166949677223e-14,-6.0427,0.3619999999999998,-12.2005,0.11109999999999998,1.0,-128.4926,4.226800000000011,47.611,-0.28570000000000373,-24.9815,4.0394,18
-77.1661,-3.3306690738754696e-15,-2.8423,-0.005099999999999827,-5.939,-0.01680000000000037,1.0,-81.4074,0.07839999999999664,20.3137,-0.012499999999999567,-15.7737,0.11279999999999973,19
-81.6932,-0.00010000000000687237,-4.4112,-0.38180000000000014,-10.912,-0.023800000000001376,1.0,-83.49669999999999,-3.272500000000009,32.0612,-0.5394000000000005,-18.5415,-2.3274,20
-133.6208,9.999999999443787e-5,-6.6953,0.5289000000000008,-14.2434,0.3003000000000009,1.0,-121.26700000000001,6.363299999999991,56.7909,-0.5499000000000049,-23.4984,6.0839,21
-111.7613,9.999999999621423e-5,-18.3177,-2.6020999999999983,-15.2779,-0.002500000000001279,1.0,-98.68510000000002,-10.485000000000007,76.9258,-0.23570000000000135,-30.254,-7.644800000000001,22
