cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
-37.0898,-0.2968,-0.0732,1.0,-43.45869999999999,0.0099,-6.0088,1
-179.6067,-24.6342,-6.9626,1.0,-229.7218,61.3089,-79.8272,2
-182.1756,-26.3528,-7.3462,1.0,-228.9722,68.9695,-82.0671,3
-180.3873,-24.3805,-6.9163,1.0,-231.38420000000002,60.2341,-79.9342,4
-58.6713,-1.7375,-0.4122,1.0,-78.5043,0.2185,-17.9018,5
-42.5589,-0.6252,-0.1289,1.0,-51.9941,0.0194,-8.7005,6
-184.3328,-26.3423,-7.2914,1.0,-232.8572,67.1767,-82.0674,7
-188.9928,-29.2154,-7.8731,1.0,-229.5109,80.2032,-83.6328,8
-59.1555,-1.1449,-0.2418,1.0,-73.56840000000001,0.0797,-13.1059,9
-179.4629,-26.4345,-7.3235,1.0,-227.94849999999997,67.4413,-82.1689,10
-48.1111,-0.6049,-0.1326,1.0,-57.765299999999996,0.0229,-8.9396,56
-176.6841,-23.0112,-6.6253,1.0,-229.36200000000002,55.2104,-78.2518,57
-181.2148,-26.2989,-7.2863,1.0,-230.1202,66.7575,-82.0777,58
-184.2291,-25.8112,-7.1896,1.0,-233.166,65.5187,-81.4548,59
-49.7837,-0.5663,-0.1359,1.0,-59.530100000000004,0.0207,-9.0649,60
-57.8777,-1.0582,-0.225,1.0,-71.6184,0.0647,-12.5222,61
-183.7237,-25.7318,-7.1664,1.0,-232.9261,65.0068,-81.311,62
-184.3581,-25.8399,-7.1896,1.0,-233.40890000000002,65.4201,-81.4414,63
-57.0083,-1.6166,-0.3823,1.0,-75.8891,0.1863,-17.0682,64
-194.5386,-30.3486,-8.0497,1.0,-236.71130000000002,82.5177,-86.2921,65
-56.1953,-0.9459,-0.2047,1.0,-69.0946,0.0493,-11.798,111
-178.713,-23.7959,-6.7663,1.0,-230.94559999999998,57.6196,-79.29,112
-176.1755,-24.5545,-6.9025,1.0,-225.3947,61.2009,-78.9631,113
-181.5831,-25.1377,-7.0649,1.0,-231.4269,62.9435,-80.5847,114
-56.2421,-0.9469,-0.203,1.0,-69.111,0.0465,-11.7655,115
-56.3531,-0.9558,-0.2055,1.0,-69.3028,0.0483,-11.8367,116
-188.1505,-27.1407,-7.426,1.0,-235.4338,70.051,-82.7676,117
-186.2129,-26.4716,-7.3153,1.0,-234.28599999999997,67.8219,-82.1081,118
-55.509,-0.8954,-0.194,1.0,-67.98259999999999,0.0424,-11.4266,119
-189.4348,-27.5375,-7.5033,1.0,-236.08559999999997,71.5166,-83.1266,120
-57.02,-1.1028,-0.2249,1.0,-70.7941,0.068,-12.5144,166
-179.3016,-24.5498,-6.9439,1.0,-229.56810000000002,60.9693,-79.7421,167
-186.2566,-27.3453,-7.494,1.0,-232.6236,71.5467,-83.0744,168
-178.0264,-23.5464,-6.7427,1.0,-230.24020000000002,57.1232,-79.0479,169
-61.442,-1.3842,-0.2873,1.0,-77.66390000000001,0.1098,-14.6602,170
-29.6242,-0.0399,-0.0301,1.0,-32.9304,-0.0021,-3.2341,171
-184.1148,-26.0899,-7.2409,1.0,-232.997,66.2224,-81.7738,172
-189.6901,-28.889,-7.8061,1.0,-231.35610000000003,78.6181,-83.589,173
-58.6586,-1.118,-0.2365,1.0,-72.8706,0.0738,-12.9313,174
-182.9323,-26.5943,-7.3495,1.0,-231.0774,68.1579,-82.3592,175
-52.5486,-1.2897,-0.3012,1.0,-68.8096,0.1066,-14.7767,221
-171.2492,-23.4025,-6.6715,1.0,-222.2072,56.842,-77.726,222
-179.5511,-24.1835,-6.8682,1.0,-230.7149,59.4274,-79.5395,223
-176.1374,-23.755,-6.7491,1.0,-227.8764,57.5687,-78.8036,224
-172.2701,-22.3611,-6.4806,1.0,-226.009,52.5508,-77.448,225
-179.6781,-25.15,-7.0701,1.0,-228.3731,63.8914,-80.3663,226
-42.5551,-0.6552,-0.1262,1.0,-51.95980000000001,0.0228,-8.6461,227
-169.6811,-21.5589,-6.3056,1.0,-224.18859999999998,49.7799,-76.4229,228
-169.0002,-20.6094,-6.0959,1.0,-224.62959999999998,46.4343,-75.3584,229
-33.2055,-0.1256,-0.0472,1.0,-37.82229999999999,-0.0008,-4.4432,230
-50.5563,-0.6066,-0.1428,1.0,-60.6608,0.0224,-9.3775,276
-186.4644,-27.6149,-7.5422,1.0,-232.33200000000002,72.3058,-83.0163,277
-192.8197,-29.6325,-7.9047,1.0,-236.69420000000002,79.3414,-85.6787,278
-180.6251,-24.3939,-6.9158,1.0,-231.5797,60.2719,-79.9168,279
-56.3617,-1.4023,-0.3202,1.0,-73.38489999999999,0.1263,-15.427,280
-58.5461,-1.5331,-0.35,1.0,-76.53370000000001,0.1539,-16.2584,281
-179.3843,-25.2354,-7.0714,1.0,-229.65669999999997,62.8743,-80.8399,282
-187.0678,-27.0097,-7.4131,1.0,-234.13960000000003,69.766,-82.415,283
-179.1746,-23.9191,-6.8171,1.0,-230.62940000000003,58.5948,-79.3134,284
-39.599,-0.1714,-0.0655,1.0,-45.372299999999996,0.0045,-5.5409,285
-181.5619,-24.6613,-6.9736,1.0,-231.98370000000003,61.3843,-80.1712,331
-183.8776,-28.3706,-7.7783,1.0,-224.5563,78.7497,-83.2795,332
-38.3643,-0.5485,-0.1228,1.0,-47.355,0.0196,-8.339,333
-34.7675,-1.1489,-0.1745,1.0,-46.6286,0.039,-10.5767,334
-181.7201,-24.7239,-6.9863,1.0,-232.04130000000004,61.6171,-80.2281,335
-177.4849,-23.9989,-6.8339,1.0,-229.2106,58.6219,-79.5148,336
-38.0466,-0.5438,-0.1212,1.0,-46.95409999999999,0.017,-8.2595,337
-185.7743,-28.8398,-7.8748,1.0,-225.6731,80.6607,-83.8449,338
-34.6132,-1.1667,-0.1764,1.0,-46.55949999999999,0.0412,-10.6444,339
-176.511,-24.0446,-6.8444,1.0,-228.2533,58.7255,-79.5788,340
-158.1297,-17.994,-5.462,1.0,-215.65080000000003,37.3411,-71.4062,386
-167.5069,-22.5053,-6.4593,1.0,-219.04350000000002,53.5932,-76.1652,387
-179.1465,-24.8464,-6.9751,1.0,-228.8647,61.8218,-79.7185,388
-179.5595,-24.3761,-6.8792,1.0,-230.29460000000003,59.9723,-79.4521,389
-53.5571,-0.7691,-0.1709,1.0,-65.0427,0.0273,-10.5729,390
-185.1676,-26.5458,-7.3324,1.0,-232.59769999999997,68.326,-81.8779,391
-43.1031,-0.3896,-0.0979,1.0,-50.8667,0.0051,-7.2812,392
-55.054,-1.3402,-0.3043,1.0,-71.5326,0.1162,-14.9503,393
-59.2315,-1.1738,-0.2482,1.0,-73.8878,0.0836,-13.3179,394
-180.8856,-25.8504,-7.195,1.0,-228.7674,65.9905,-80.8269,395
-162.5436,-21.2353,-6.1645,1.0,-216.1598,48.6705,-74.8869,396
-158.1297,-17.994,-5.462,1.0,-215.65080000000003,37.3411,-71.4062,452
-167.5069,-22.5053,-6.4593,1.0,-219.04350000000002,53.5932,-76.1652,453
-179.1465,-24.8464,-6.9751,1.0,-228.8647,61.8218,-79.7185,454
-179.5595,-24.3761,-6.8792,1.0,-230.29460000000003,59.9723,-79.4521,455
-53.5571,-0.7691,-0.1709,1.0,-65.0427,0.0273,-10.5729,456
-185.1676,-26.5458,-7.3324,1.0,-232.59769999999997,68.326,-81.8779,457
-43.1031,-0.3896,-0.0979,1.0,-50.8667,0.0051,-7.2812,458
-55.054,-1.3402,-0.3043,1.0,-71.5326,0.1162,-14.9503,459
-59.2315,-1.1738,-0.2482,1.0,-73.8878,0.0836,-13.3179,460
-180.8856,-25.8504,-7.195,1.0,-228.7674,65.9905,-80.8269,461
-162.5436,-21.2353,-6.1645,1.0,-216.1598,48.6705,-74.8869,462
-58.141,-1.1207,-0.241,1.0,-72.4887,0.0753,-13.0613,518
-164.4148,-22.2784,-6.3832,1.0,-215.6262,52.9095,-75.4593,519
-181.7844,-24.9278,-7.0016,1.0,-232.0009,62.0148,-80.3019,520
-169.7077,-22.3368,-6.4779,1.0,-223.6283,52.3244,-77.4303,521
-178.5007,-24.8139,-6.9751,1.0,-228.01799999999997,61.9039,-79.6322,522
-175.3861,-22.6521,-6.5232,1.0,-229.0578,53.4179,-77.9143,523
-55.2815,-0.8868,-0.1927,1.0,-67.7032,0.0404,-11.3826,524
