cls_elec,cls_elec_3b,ct,ct_3b,disp,disp_3b,has_ion,int,int_3b,mod_pauli,mod_pauli_3b,pol,pol_3b,index
-9.7064,-9.999999999976694e-5,-3.1337,-0.015400000000000292,-7.8595,-0.010499999999999843,0.0,-2.6735999999999995,0.021500000000002625,20.6216,-0.04389999999999747,-2.5956,0.0914,46
-13.2382,-0.00010000000000021103,-3.0924,0.003999999999999823,-7.1464,-0.0016999999999999654,0.0,-5.516100000000001,0.11140000000000155,20.4374,-0.0071999999999980725,-2.4765,0.11639999999999998,47
-48.402,4.440892098500626e-15,-10.9297,-0.06290000000000112,-16.2048,0.12660000000000005,0.0,-26.441399999999998,-0.48259999999999426,56.6715,-0.16009999999999874,-7.5764,-0.3861999999999989,48
-40.3635,0.0,-10.5314,-0.3766000000000007,-14.9282,-0.039699999999999847,0.0,-21.393,-2.3130999999999933,53.0168,-0.03829999999999245,-8.5867,-1.8585000000000003,49
-51.899,7.105427357601002e-15,-15.8391,0.8184999999999985,-18.3497,0.2137000000000011,0.0,-11.6723,2.5459000000000023,82.5017,-0.18850000000000477,-8.0862,1.7022000000000004,50
-20.3074,-4.440892098500626e-16,-3.1942,0.010199999999999938,-8.6434,-0.0239999999999998,0.0,-13.8061,0.16290000000000215,21.0013,-0.02369999999999778,-2.6624,0.20040000000000024,51
-11.7585,-9.999999999909387e-5,-3.1752,0.025600000000000067,-8.3525,-0.010799999999999255,0.0,-4.556799999999998,0.5854000000000041,21.0211,-0.04689999999999772,-2.2917,0.6176000000000001,52
-74.3935,7.105427357601002e-15,-17.985,0.7850000000000001,-22.632,0.8216999999999981,0.0,-31.36420000000001,2.575799999999994,93.7721,-0.6579000000000121,-10.1258,1.6270000000000007,53
-38.6351,-0.00010000000000331966,-9.5865,-0.03190000000000026,-9.0797,-0.001300000000000523,0.0,-18.4944,-0.19970000000000354,44.3192,-0.013700000000000045,-5.5123,-0.1526999999999994,54
-31.0044,-9.999999999810161e-5,-7.6063,0.12079999999999982,-8.7377,-0.00690000000000035,0.0,-15.232799999999997,0.7118999999999993,36.0352,0.01359999999999767,-3.9196,0.5845000000000002,55
2.2765,-0.00010000000000021103,-0.0229,0.0002999999999999982,-0.6455,-0.0026999999999999247,0.0,1.5500999999999998,-0.0052000000000001455,0.0885,0.0005999999999999894,-0.1465,-0.0032999999999999974,56
-34.4092,7.105427357601002e-15,-11.0088,-0.012000000000002231,-10.3374,-0.007500000000000284,0.0,-13.222299999999997,-0.18570000000000242,48.8481,0.0408999999999935,-6.315,-0.2071000000000005,57
-31.2428,-9.999999999621423e-5,-5.397,0.009599999999999831,-8.034,-0.009600000000000719,0.0,-22.341300000000004,0.049700000000001854,26.2016,0.030999999999998806,-3.8691,0.01880000000000015,58
-3.8497,-9.999999999976694e-5,-0.137,0.0005999999999999894,-1.9889,-0.0030999999999998806,0.0,-4.8743,-0.004799999999999693,1.4234,0.0026999999999999247,-0.3221,-0.00489999999999996,59
-26.0809,-9.999999999841386e-5,-4.6304,0.002799999999999997,-8.3824,-0.010900000000000576,0.0,-16.274900000000002,0.10570000000000307,26.2714,-0.09539999999999821,-3.4526,0.20930000000000026,60
-30.6106,-0.00010000000000198739,-7.7054,-0.0009999999999999688,-8.2099,-0.0010999999999998997,0.0,-15.009300000000003,-0.015900000000006218,35.9096,0.001699999999995339,-4.393,-0.0153999999999997,61
-4.1244,-9.999999999932285e-5,-0.0182,0.00030000000000000165,-0.3563,-0.00039999999999995595,0.0,-4.5527,0.021400000000000724,0.0274,-0.0001999999999999988,-0.0812,0.0218,62
-1.2882,8.881784197001252e-16,-0.2215,-0.0012000000000000066,-2.4564,-0.0025999999999999357,0.0,-3.1154999999999995,-0.023399999999999116,1.3276,-0.0013000000000000789,-0.477,-0.018299999999999983,63
