cls_elec,ct,disp,has_ion,int,mod_pauli,pol,index
6.5025,-0.2387,-4.2179,0.0,8.7794,7.5438,-0.8103,78
9.921,-0.617,-5.0072,0.0,12.630099999999999,9.3179,-0.9846,79
8.465,-0.304,-4.0396,0.0,9.5842,6.2062,-0.7434,80
4.7124,-0.009,-0.491,0.0,4.1634,0.1043,-0.1533,81
1.9547,-0.0022,-0.0717,0.0,1.851,0.0008,-0.0306,82
1.9966,-0.0026,-0.0994,0.0,1.8639000000000001,0.0016,-0.0323,83
-31.2182,-8.2999,-8.0521,0.0,-15.9801,36.1864,-4.5963,84
-33.6518,-9.069,-8.5264,0.0,-15.732800000000001,40.542,-5.0276,85
-35.2038,-9.7004,-8.8345,0.0,-15.505500000000005,43.5438,-5.3106,86
1.99,-0.003,-0.0924,0.0,1.8649,0.0021,-0.0318,87
7.6267,-0.1224,-1.6882,0.0,6.386899999999999,0.918,-0.3472,88
0.8109,-0.0018,-0.0398,0.0,0.7574999999999998,0.0001,-0.0119,89
1.6707,-0.0029,-0.0954,0.0,1.5479000000000003,0.0019,-0.0264,90
4.716,-0.0085,-0.4727,0.0,4.185500000000001,0.0979,-0.1472,91
3.6675,-0.4194,-4.5931,0.0,6.082000000000001,8.285,-0.858,92
5.4242,-0.3256,-4.4416,0.0,7.924999999999999,8.1048,-0.8368,93
5.624,-0.3224,-4.7481,0.0,9.1031,9.4517,-0.9021,94
3.5417,-0.0107,-0.4876,0.0,3.047,0.1038,-0.1002,95
-0.709,-0.0237,-0.4384,0.0,-1.2244000000000002,0.0651,-0.1184,96
-0.8326,-0.0371,-0.6603,0.0,-1.5356999999999998,0.1487,-0.1544,97
1.2892,-0.0025,-0.068,0.0,1.1979999999999997,0.0009,-0.0216,98
-34.8616,-9.0887,-8.2375,0.0,-18.144100000000005,39.2643,-5.2206,99
2.3686,-0.0042,-0.1516,0.0,2.1818,0.0093,-0.0403,100
9.5725,-0.5413,-5.7627,0.0,15.364800000000002,13.1891,-1.0928,101
8.5095,-0.2024,-3.8237,0.0,9.960999999999999,6.2103,-0.7327,102
8.0673,-0.3441,-4.6945,0.0,11.189200000000001,9.0442,-0.8837,103
3.3192,-0.0045,-0.2484,0.0,3.0056,0.023,-0.0837,104
4.6013,-0.0098,-0.5444,0.0,4.024000000000001,0.1332,-0.1563,105
9.2749,-0.2874,-3.9515,0.0,10.194,5.9063,-0.7483,106
1.9439,-0.0021,-0.067,0.0,1.8451,0.0006,-0.0303,107
11.6589,-0.543,-4.8273,0.0,13.548499999999997,8.2355,-0.9756,108
-39.2517,-11.588,-9.2776,0.0,-16.2471,50.1526,-6.2824,109
-28.1977,-6.8884,-7.3808,0.0,-16.4527,30.0652,-4.051,110
-65.3048,-3.101,-0.0767,1.0,-84.7339,0.0352,-16.2866,111
-233.0099,-15.9421,-4.8721,1.0,-336.69599999999997,60.2103,-143.0822,112
-65.2714,-3.0959,-0.0766,1.0,-84.67779999999999,0.0351,-16.269,113
-222.5328,-15.8491,-4.5818,1.0,-327.9285,52.846,-137.8108,114
-65.271,-3.0964,-0.0766,1.0,-84.6785,0.0351,-16.2696,115
-222.3858,-15.8475,-4.5764,1.0,-327.8249,52.7121,-137.7273,116
-222.4389,-15.8544,-4.579,1.0,-327.8486,52.7782,-137.7545,117
-222.5234,-15.8552,-4.582,1.0,-327.9096,52.8527,-137.8017,118
-233.0479,-15.9444,-4.8735,1.0,-336.715,60.2503,-143.0995,119
-65.3188,-3.1042,-0.0768,1.0,-84.7607,0.0353,-16.2962,120
2.0453,-0.0022,-0.0613,0.0,1.9536000000000002,0.0006,-0.0288,121
2.2583,-0.0033,-0.1025,0.0,2.1199000000000003,0.0034,-0.036,122
2.4444,-0.005,-0.2209,0.0,2.1779,0.0167,-0.0573,123
0.9984,-0.001,-0.0171,0.0,0.9729,0.0,-0.0074,124
3.1357,-0.0056,-0.2788,0.0,2.8005,0.0258,-0.0766,125
1.6289,-0.0023,-0.0756,0.0,1.5231000000000001,0.0008,-0.0287,126
-33.3818,-9.008,-8.2925,0.0,-16.7424,38.9582,-5.0183,127
-32.0096,-8.5002,-8.1014,0.0,-16.7259,36.6534,-4.7681,128
1.0004,-0.001,-0.0173,0.0,0.9747,0.0,-0.0074,129
2.0439,-0.0022,-0.0612,0.0,1.9523,0.0006,-0.0288,130
12.263,-0.7284,-5.5869,0.0,15.664000000000001,10.8908,-1.1745,131
-32.0145,-8.5019,-8.1025,0.0,-16.72469999999999,36.6634,-4.7692,132
12.2663,-0.7321,-5.602,0.0,15.7089,10.9553,-1.1786,133
6.2983,-0.2315,-3.5282,0.0,6.9153,5.0271,-0.6504,134
6.2944,-0.2321,-3.533,0.0,6.918600000000001,5.0406,-0.6513,135
4.928,-0.0101,-0.5316,0.0,4.337199999999999,0.1189,-0.168,136
-32.0133,-8.5027,-8.1032,0.0,-16.720399999999998,36.6677,-4.7689,137
3.1392,-0.0056,-0.2796,0.0,2.8033,0.026,-0.0767,138
0.9993,-0.001,-0.0172,0.0,0.9737,0.0,-0.0074,139
2.4361,-0.005,-0.2196,0.0,2.1710000000000007,0.0165,-0.057,140
-33.3815,-9.006,-8.2908,0.0,-16.750000000000004,38.9465,-5.0182,141
1.6283,-0.0023,-0.0755,0.0,1.5226000000000002,0.0008,-0.0287,142
-32.0076,-8.4987,-8.1005,0.0,-16.728599999999993,36.6458,-4.7676,143
0.9989,-0.001,-0.0172,0.0,0.9733,0.0,-0.0074,144
1.6269,-0.0023,-0.0755,0.0,1.5212,0.0008,-0.0287,145
4.8362,-0.0089,-0.4909,0.0,4.2889,0.1048,-0.1523,146
8.6386,-0.2224,-4.5583,0.0,11.973899999999999,9.0174,-0.9014,147
8.6643,-0.2223,-4.5581,0.0,11.9998,9.018,-0.9021,148
6.3115,-0.2325,-3.5388,0.0,6.946999999999999,5.0593,-0.6525,149
-33.384,-9.0066,-8.2899,0.0,-16.7606,38.9379,-5.018,150
-33.3872,-9.0082,-8.2911,0.0,-16.756700000000002,38.9484,-5.0186,151
3.1439,-0.0056,-0.2806,0.0,2.807,0.0263,-0.077,152
2.429,-0.005,-0.2186,0.0,2.1648,0.0163,-0.0569,153
2.0443,-0.0022,-0.0612,0.0,1.9526999999999999,0.0006,-0.0288,154
2.2585,-0.0033,-0.1025,0.0,2.1201000000000003,0.0034,-0.036,155
8.6589,-0.2207,-4.5415,0.0,11.951299999999998,8.9529,-0.8983,156
8.6411,-0.2217,-4.5502,0.0,11.955199999999998,8.986,-0.9,157
6.3031,-0.2307,-3.5242,0.0,6.9148,5.0163,-0.6497,158
1.6293,-0.0023,-0.0756,0.0,1.5235,0.0008,-0.0287,159
4.8349,-0.0089,-0.4913,0.0,4.287400000000001,0.105,-0.1523,160
12.2597,-0.732,-5.6023,0.0,15.7089,10.9622,-1.1787,161
2.4303,-0.005,-0.2192,0.0,2.1655,0.0164,-0.057,162
12.2566,-0.7297,-5.5937,0.0,15.682400000000003,10.9254,-1.1762,163
3.1488,-0.0057,-0.2817,0.0,2.8107,0.0265,-0.0772,164
2.0459,-0.0022,-0.0614,0.0,1.9541000000000002,0.0006,-0.0288,165
-64.9412,-3.0169,-0.0756,1.0,-84.1451,0.0351,-16.1465,166
-225.601,-15.6996,-4.639,1.0,-330.97959999999995,54.2008,-139.2408,167
-67.011,-3.386,-0.0859,1.0,-87.88929999999999,0.0424,-17.4488,168
-230.939,-15.8476,-4.7969,1.0,-335.21639999999996,58.2228,-141.8557,169
-65.1036,-3.0435,-0.076,1.0,-84.36769999999999,0.0359,-16.1805,170
-226.8368,-15.8352,-4.6936,1.0,-331.4972,55.6302,-139.7618,171
-224.7349,-15.4471,-4.5749,1.0,-330.85519999999997,52.544,-138.6423,172
-225.2853,-15.6168,-4.6189,1.0,-330.7885,53.6931,-138.9606,173
-224.8554,-16.629,-4.907,1.0,-325.62280000000004,61.5537,-140.7851,174
