dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-81.267021,-90.0396,-2.3769,-4.9956,-88.47709999999998,34.6026,-25.6676,1
-89.810028,-96.2436,-2.2219,-4.8591,-96.447,33.1706,-26.293,2
-94.830164,-101.3204,-2.2247,-4.8234,-98.80850000000001,33.6494,-24.0894,3
-88.715476,-96.0223,-2.3078,-4.9037,-95.7511,33.6204,-26.1377,4
-92.362124,-102.9181,-2.8296,-5.7426,-92.01829999999998,47.1037,-27.6317,5
-110.190255,-121.8272,-3.1901,-6.4716,-96.73150000000001,62.1234,-27.366,6
-94.985533,-102.4707,-2.6454,-5.3407,-97.7414,40.5761,-27.8607,7
-75.492365,-79.9686,-1.8567,-3.9778,-86.80040000000001,21.9121,-22.9094,8
-78.830684,-80.8077,-1.3583,-3.1054,-92.52420000000001,13.2907,-20.5435,9
-76.397493,-78.9453,-1.4567,-3.1158,-89.9599,13.9245,-20.3666,10
-66.614107,-69.0204,-1.4029,-3.1119,-80.3098,13.798,-20.5726,11
-81.273523,-83.3255,-1.4442,-3.3196,-93.8946,15.3846,-21.1899,12
-85.240459,-89.6069,-1.8723,-4.0348,-95.67169999999999,22.9085,-23.0662,13
-84.948194,-92.7501,-2.3327,-4.9293,-91.4625,33.9759,-25.4263,14
-104.660582,-114.8612,-3.1116,-6.331,-94.56689999999999,58.9602,-29.2233,15
-111.754073,-127.5975,-3.4627,-7.2402,-89.1584,78.4896,-29.3476,16
-99.462952,-110.879,-3.0876,-6.1487,-93.1187,54.985,-27.9884,17
-97.949909,-104.8198,-2.4351,-5.249,-99.3545,39.5976,-26.4482,18
-87.183568,-93.5923,-2.0103,-4.541,-93.69839999999999,30.0297,-23.5845,19
-84.090398,-88.1917,-1.788,-4.1087,-94.108,23.7644,-23.784,20
-91.26284,-96.8833,-2.1133,-4.5886,-97.6964,29.891,-24.0022,21
-98.533269,-104.3146,-2.4148,-5.1124,-100.99689999999998,37.3353,-26.4904,22
-104.424774,-111.9405,-2.8063,-5.7433,-99.6752,48.04,-27.2251,23
-108.336,-118.034,-3.0163,-6.1381,-98.9575,55.5096,-27.2787,24
-102.915499,-108.931,-2.6236,-5.4053,-102.30759999999998,42.0297,-27.3774,25
-93.237478,-97.3741,-2.0139,-4.4154,-99.90870000000001,27.7015,-23.8068,26
-82.654698,-85.4705,-1.6095,-3.4589,-94.7514,17.0432,-21.2557,27
-77.184067,-79.0825,-1.3913,-3.0036,-90.96180000000001,12.8784,-20.3628,28
-77.470847,-79.1519,-1.3404,-2.8652,-91.0257,11.6841,-19.3523,29
-79.538596,-81.1013,-1.4093,-2.9709,-93.56110000000001,12.4292,-20.5088,30
-80.51355,-82.8947,-1.4939,-3.2758,-92.8896,15.3296,-20.5548,31
-87.634392,-90.7133,-1.7395,-3.8031,-97.94740000000002,20.5247,-22.2162,32
-93.278146,-98.3507,-2.1717,-4.7058,-99.1654,31.2547,-25.1919,33
-97.842078,-107.8097,-2.7918,-5.848,-94.01290000000002,49.5934,-27.1568,34
-103.645176,-113.2037,-2.8586,-5.9573,-97.5377,51.8946,-27.4127,35
-105.266912,-112.389,-2.8969,-5.793,-99.6907,48.8635,-27.4753,36
-95.437164,-102.9355,-2.4928,-5.2164,-97.6211,38.9488,-25.9252,37
-87.208168,-91.5861,-1.8701,-4.1807,-96.4691,24.4999,-23.3321,38
-86.496229,-89.0494,-1.6834,-3.6726,-98.07930000000002,18.9589,-22.6328,39
-79.108816,-82.4117,-1.6076,-3.5634,-91.0336,17.9376,-21.3885,40
-87.811202,-91.6091,-1.8183,-4.0922,-97.3179,23.687,-23.4853,41
-93.338777,-98.487,-2.1136,-4.6218,-99.47099999999999,30.4137,-24.6623,42
-90.572296,-96.2331,-2.14,-4.6501,-97.25309999999999,30.3968,-24.6267,43
-96.251034,-101.4879,-2.2043,-4.7686,-101.04290000000002,32.4981,-25.0802,44
-81.714114,-86.6991,-1.8573,-4.2248,-90.9163,25.2119,-23.347,45
-86.263434,-89.961,-1.7666,-4.0139,-96.04950000000001,22.7987,-23.1067,46
-85.236259,-89.3355,-1.8538,-4.0121,-96.05080000000001,22.6619,-23.5113,47
-73.153893,-79.5479,-1.836,-4.0945,-85.98,22.6715,-23.1731,48
-93.931239,-102.0835,-2.5015,-5.3955,-95.18390000000001,41.7411,-26.9445,49
-108.689979,-119.7065,-3.172,-6.4336,-96.36840000000001,61.118,-28.1743,50
-103.739965,-118.4053,-3.664,-6.8062,-90.19519999999999,68.1787,-29.4984,51
-108.755148,-120.4953,-3.2455,-6.5857,-95.44579999999999,63.9645,-29.0838,52
-102.058232,-110.3481,-2.686,-5.648,-98.0909,46.5945,-26.0033,53
-86.911212,-93.0487,-2.1763,-4.6025,-96.79159999999999,29.3259,-26.29,54
-86.170815,-91.0708,-1.8994,-4.2483,-94.8135,25.5991,-23.1941,55
-89.104294,-92.982,-1.8439,-4.0926,-98.03310000000002,23.8757,-22.9903,56
-82.849975,-86.3422,-1.7314,-3.7734,-95.77739999999999,19.6645,-23.5949,57
-80.581999,-84.2118,-1.6705,-3.6836,-92.0146,19.1809,-21.6296,58
-87.757565,-91.1028,-1.7623,-4.0384,-97.1995,23.2095,-23.5055,59
-87.909606,-94.763,-2.0924,-4.6769,-94.08330000000001,31.6533,-24.2043,60
-95.244886,-100.8249,-2.2293,-4.9484,-98.04840000000002,35.1732,-25.219,61
-99.635085,-105.072,-2.392,-5.0971,-102.0956,37.1427,-26.6772,62
-89.189997,-96.2648,-2.1042,-4.8331,-93.26419999999999,33.9843,-24.0464,63
-84.850053,-89.6202,-1.8211,-4.2312,-93.4644,25.6971,-23.489,64
-88.025162,-91.2572,-1.7993,-3.8931,-98.51490000000001,21.4686,-23.0339,65
-82.977156,-85.1395,-1.5117,-3.4149,-94.9759,16.3306,-21.2404,66
-75.988526,-78.5712,-1.4439,-3.1165,-89.7826,13.7518,-20.4028,67
-78.96888,-81.3931,-1.4828,-3.2549,-91.99600000000001,14.9889,-20.8541,68
-84.088499,-86.3248,-1.5645,-3.4653,-96.00909999999999,16.9151,-21.5696,69
-81.910463,-85.1021,-1.7077,-3.6129,-94.65469999999999,18.2978,-22.5298,70
-85.590556,-89.2664,-1.7084,-3.9956,-94.99600000000001,22.6317,-22.6573,71
-92.666893,-99.9751,-2.2127,-4.9025,-96.89920000000001,34.839,-24.6479,72
-97.272216,-106.1075,-2.6745,-5.665,-95.1273,46.5368,-27.2171,73
-97.25399,-107.5051,-2.9387,-5.8328,-95.1764,48.9968,-27.8966,74
-102.971498,-111.7603,-2.7468,-5.7191,-99.4034,47.6231,-26.8003,75
-100.560735,-106.0534,-2.4892,-5.2033,-101.0868,38.8245,-26.1654,76
-98.420842,-104.5148,-2.4224,-5.1055,-100.9066,37.3441,-26.208,77
-97.813241,-103.9894,-2.352,-5.043,-99.96870000000001,36.4596,-25.0439,78
-98.983035,-103.605,-2.3742,-4.9766,-102.2174,35.1925,-26.4541,79
-96.929754,-102.8375,-2.3157,-4.9092,-100.9602,34.4685,-25.3663,80
-91.911411,-96.7955,-2.0585,-4.595,-97.6839,29.9805,-24.2154,81
-93.742306,-98.7505,-2.1398,-4.6382,-100.5591,30.6087,-25.6393,82
-92.867775,-98.7256,-2.1951,-4.7516,-98.27659999999999,32.0043,-24.6086,83
-97.919423,-102.7716,-2.312,-4.9127,-101.08970000000002,34.3704,-25.4638,84
-99.358013,-106.1895,-2.4968,-5.2317,-101.1035,39.3204,-26.5059,85
-101.493279,-108.7369,-2.6726,-5.5511,-98.4059,44.7728,-26.2181,86
-107.726409,-116.5818,-2.9822,-5.9963,-101.09550000000002,52.522,-28.0572,87
-104.370395,-113.1523,-2.7206,-5.8305,-98.53649999999999,49.9056,-26.7387,88
-96.420985,-101.9474,-2.2115,-4.9771,-98.9014,35.625,-25.3904,89
-90.635522,-94.7615,-1.9712,-4.1273,-100.3887,24.2595,-23.7882,90
-80.660183,-82.828,-1.4325,-3.2866,-93.2988,15.0456,-20.7973,91
-70.736859,-73.4873,-1.3868,-3.1135,-84.48660000000001,13.9608,-20.4598,92
-76.818811,-80.3631,-1.6181,-3.4119,-89.4573,16.9436,-21.0078,93
-86.524185,-88.8281,-1.6242,-3.6859,-97.24550000000002,19.071,-22.1783,94
-95.220128,-100.4095,-2.1938,-4.7231,-100.6386,31.7607,-25.0729,95
-95.977441,-103.415,-2.3976,-5.2946,-96.8216,40.354,-26.0684,96
-103.286731,-112.1937,-2.7289,-5.833,-97.72670000000001,49.9066,-26.8777,97
-106.824907,-114.758,-2.9232,-5.8906,-101.02199999999999,50.58,-28.0302,98
-92.782929,-100.0944,-2.4016,-5.0961,-96.4434,36.9072,-25.7585,99
-88.362633,-92.415,-1.8879,-4.1409,-97.6002,24.1747,-23.3311,100
-87.643632,-90.812,-1.7736,-3.8911,-98.23149999999998,21.4877,-23.2425,101
-81.258798,-85.2073,-1.7062,-3.8104,-91.5878,20.9618,-21.8257,102
-81.040493,-84.7774,-1.6465,-3.7865,-92.70020000000001,20.1537,-22.6435,103
-84.738081,-87.2627,-1.6531,-3.5677,-97.3658,17.7456,-22.6279,104
-82.072019,-85.7973,-1.6407,-3.7553,-92.287,20.4169,-21.5106,105
-78.849069,-82.4772,-1.6246,-3.5607,-91.2344,18.2743,-21.8462,106
-81.105315,-83.0456,-1.4571,-3.2611,-94.18109999999999,14.8171,-21.2344,107
-82.652281,-84.9412,-1.5176,-3.3309,-94.8676,15.6571,-20.735,108
-86.299547,-89.7561,-1.7437,-3.9246,-96.7673,21.9949,-23.3378,109
-81.357358,-87.9238,-1.8761,-4.4172,-88.5874,28.7079,-23.0782,110
-88.530336,-94.5339,-2.0228,-4.5285,-95.0573,29.7501,-23.7222,111
-93.292362,-95.9134,-2.0049,-4.3938,-101.0686,26.8237,-25.5802,112
-91.014191,-98.4189,-2.1652,-4.9069,-94.1288,35.1469,-23.7847,113
-97.334145,-102.8769,-2.3187,-5.0755,-99.72950000000002,36.8729,-26.3313,114
-102.430326,-109.2455,-2.6101,-5.4414,-101.88490000000002,42.6732,-27.2611,115
-91.392715,-99.9119,-2.2107,-5.15,-92.59450000000001,39.0102,-24.3321,116
-82.375634,-91.4001,-2.022,-4.9295,-87.6296,35.7103,-24.9883,117
-94.414672,-101.1349,-2.1992,-4.8955,-97.89770000000001,34.7431,-24.4112,118
-98.540756,-103.5784,-2.3245,-4.9646,-101.36630000000001,35.169,-25.6678,119
-96.824026,-105.243,-2.3465,-5.4565,-96.0365,43.5195,-26.51,120
-96.538385,-106.056,-2.4434,-5.5059,-94.8333,44.5238,-25.3518,121
-99.444785,-104.0582,-2.4383,-5.0735,-101.55579999999999,36.6021,-26.5879,122
-98.897929,-105.6676,-2.3789,-5.2386,-99.32809999999999,39.7254,-25.7684,123
-95.085036,-103.4517,-2.5049,-5.4566,-94.6356,43.0559,-26.2783,124
-99.921145,-106.6721,-2.6669,-5.4373,-99.58659999999998,42.4498,-27.2601,125
-99.80942,-107.976,-2.4894,-5.4049,-99.1302,42.5275,-25.7874,126
-94.346233,-101.4612,-2.2999,-5.1722,-95.97290000000001,38.5256,-25.5652,127
-94.82256,-99.2769,-2.1267,-4.6112,-100.5683,30.1683,-24.7218,128
-90.691883,-94.4758,-1.9277,-4.2073,-99.33320000000002,25.0096,-23.732,129
-85.374673,-89.5342,-1.8159,-4.0331,-95.9667,22.6876,-23.2711,130
-91.118271,-96.9482,-2.1802,-4.6771,-97.5317,30.9293,-24.6555,131
-104.275899,-111.2212,-2.7166,-5.5702,-101.2267,45.0384,-26.7571,132
-103.49079,-112.6733,-2.9153,-5.9074,-97.92199999999998,50.8937,-27.3197,133
-107.57782,-116.7541,-2.9545,-6.0401,-99.61689999999999,53.5594,-27.4276,134
-102.951251,-111.1429,-2.8845,-5.7913,-99.1893,48.5688,-27.9394,135
-102.011082,-111.3398,-2.9188,-5.8838,-97.10999999999999,50.4295,-27.3971,136
-106.338087,-114.3649,-2.904,-5.8518,-100.60979999999999,49.9633,-27.4524,137
-98.941129,-105.8625,-2.5803,-5.3432,-99.57239999999999,40.9714,-26.7578,138
-94.001245,-99.448,-2.1633,-4.6669,-99.61840000000001,31.067,-24.4072,139
-90.072895,-92.8505,-1.8342,-3.9967,-100.094,22.3841,-23.7967,140
-88.946735,-92.4008,-1.8198,-3.9623,-98.62270000000001,22.3217,-22.7615,141
-87.420655,-91.59,-1.8609,-4.0014,-97.28420000000001,22.9964,-22.8283,142
-89.98122,-94.1279,-1.9116,-4.3628,-97.35389999999998,26.9901,-23.9417,143
-98.410284,-106.307,-2.4595,-5.3552,-98.6277,41.5546,-26.0606,144
-104.984616,-114.7234,-2.8029,-6.0559,-97.15870000000001,53.9708,-27.5473,145
-102.267811,-110.6708,-2.6607,-5.7682,-97.5152,48.6488,-27.0643,146
-94.415593,-101.3054,-2.3529,-5.0646,-97.46340000000001,36.7087,-25.4492,147
-90.575783,-93.7087,-1.8742,-4.1264,-99.7359,23.8391,-23.8657,148
-92.235448,-96.419,-2.0086,-4.3721,-99.86160000000001,27.0715,-24.1334,149
-93.936274,-99.2732,-2.1466,-4.727,-99.21840000000002,31.8643,-24.9359,150
-94.386618,-99.1174,-2.0829,-4.6523,-99.39079999999998,30.9403,-24.4785,151
-91.643585,-95.6023,-1.9592,-4.2475,-99.87049999999999,25.598,-23.6595,152
