dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-51.123661,-61.749,-9.5055,-9.7358,-56.67439999999999,35.1953,-10.8794,1
-48.360937,-56.2209,-10.4925,-8.7497,-57.595000000000006,29.3049,-11.4368,2
-37.494211,-42.912,-6.9679,-7.238,-46.4499,19.7768,-9.1088,3
-39.829691,-43.7282,-5.5972,-6.1892,-49.0615,14.9193,-8.4662,4
-27.308831,-30.6298,-3.6571,-5.5085,-35.4493,11.3611,-7.015,5
-40.239913,-43.5055,-6.0608,-5.8021,-50.5366,13.3965,-8.5647,6
-33.812199,-37.0232,-3.2195,-5.335,-41.8756,10.5079,-6.8058,7
-41.271416,-45.5969,-4.237,-6.1701,-49.88589999999999,13.7589,-7.6408,8
-46.065297,-52.2643,-5.4613,-7.4269,-55.34669999999999,18.523,-8.7172,9
-51.48343,-58.816,-4.9783,-8.0782,-59.45510000000001,21.261,-8.8436,10
-44.994938,-54.814,-4.1959,-8.8888,-50.5984,25.4347,-8.1344,11
-51.774391,-65.2986,-7.6839,-10.6869,-57.702,36.5535,-10.5861,12
-60.23176,-76.8221,-11.467,-11.9659,-62.342600000000004,50.2452,-12.3328,13
-45.720727,-66.955,-11.0913,-12.9559,-42.480999999999995,60.5596,-12.0384,14
-74.488818,-100.9062,-28.7712,-15.5059,-67.78670000000001,99.4506,-22.054,15
-58.109554,-85.2565,-25.1226,-15.4175,-49.493399999999994,95.5425,-19.2393,16
-70.976529,-95.0119,-28.2979,-15.105,-63.1404,96.8171,-21.5427,17
-61.759365,-79.8353,-16.0233,-12.7953,-58.6397,64.5292,-14.515,18
-54.222031,-67.8041,-11.5886,-11.0167,-56.711800000000004,45.8035,-12.1059,19
-49.766679,-60.0604,-11.2411,-9.6947,-58.3865,34.426,-11.8163,20
-52.233359,-59.3451,-10.4144,-8.3035,-62.610600000000005,26.6985,-11.2461,21
-33.161298,-37.061,-3.3852,-5.8609,-40.2906,12.9439,-6.9274,22
-42.125174,-45.5747,-5.8042,-5.8319,-52.417199999999994,13.301,-8.5074,23
-34.732168,-37.5486,-4.1911,-5.1554,-44.437799999999996,9.8888,-7.4315,24
-37.293472,-39.5578,-2.991,-4.5203,-45.442699999999995,8.0767,-6.4503,25
-32.008067,-34.3689,-3.1068,-4.6423,-40.41089999999999,8.1758,-6.4687,26
-35.16212,-37.5999,-3.9095,-4.8144,-44.645999999999994,8.9006,-7.2228,27
-31.792317,-34.1462,-2.7814,-4.5916,-39.467000000000006,8.231,-6.1788,28
-37.032892,-40.2125,-3.8314,-5.3771,-46.193,10.5024,-7.2744,29
-42.120279,-45.7448,-4.7889,-5.7744,-52.091699999999996,12.2187,-8.0023,30
-36.048277,-39.5973,-3.1046,-5.5172,-43.9126,11.043,-6.7365,31
-46.779158,-51.7277,-6.7814,-6.8585,-56.999399999999994,17.7027,-9.3345,32
-47.720681,-54.8153,-9.6733,-8.2381,-57.8672,25.6895,-10.83,33
-52.942942,-61.4366,-9.0788,-8.9687,-59.32529999999999,30.8916,-10.7328,34
-54.718567,-67.8115,-12.5256,-10.954,-56.91179999999999,46.7715,-12.3922,35
-74.660794,-99.2411,-32.2306,-15.2428,-71.35570000000001,99.0741,-23.7153,36
-76.528927,-110.3041,-38.8782,-17.3706,-64.5948,129.815,-27.8569,37
-79.172014,-110.1468,-33.1406,-16.835,-62.29939999999999,122.5935,-24.7705,38
-67.434809,-93.1694,-24.0432,-15.4588,-52.693499999999986,99.5811,-19.6032,39
-70.909489,-91.0839,-30.1016,-14.4398,-66.5171,91.0144,-21.9062,40
-60.536211,-74.8644,-19.165,-11.9197,-64.4296,57.6582,-16.1387,41
-53.033146,-62.3813,-10.5314,-9.3883,-59.615500000000004,34.0787,-11.3932,42
-49.83223,-57.4831,-9.3108,-8.556,-58.1141,27.9385,-10.7027,43
-51.702532,-58.695,-8.7888,-8.1437,-61.47410000000001,24.7781,-10.6247,44
-49.050028,-55.3352,-5.9699,-7.5195,-56.788000000000004,20.9018,-8.8652,45
-48.844312,-56.3111,-7.1755,-8.2612,-57.33650000000001,24.1307,-9.7194,46
-54.898923,-62.9976,-10.1231,-8.7443,-63.5786,29.4553,-11.1689,47
-53.066275,-63.0919,-12.6111,-9.9376,-59.3173,38.8161,-12.4928,48
-59.785667,-73.168,-19.9391,-11.8306,-62.829100000000004,58.3421,-16.2335,49
-68.612039,-88.3163,-29.063,-14.2769,-64.5641,88.6404,-21.5483,50
-66.873495,-86.7042,-27.1418,-14.4114,-59.214600000000004,89.7715,-20.7287,51
-67.521819,-86.8046,-25.445,-13.9646,-61.52599999999998,84.2155,-19.5273,52
-64.518234,-82.7082,-17.7527,-12.9756,-63.269100000000016,65.7635,-15.5961,53
-56.536113,-71.1661,-10.8376,-11.2334,-60.9931,43.9658,-11.7218,54
-57.914684,-67.1047,-5.8943,-9.2653,-65.0351,26.9352,-9.706,55
-42.187789,-49.2546,-3.4323,-7.588,-49.4286,18.2923,-7.446,56
-45.916895,-51.1139,-4.6365,-6.8465,-53.77029999999999,16.923,-8.0964,57
-48.674265,-54.2487,-9.4095,-7.4474,-60.0737,21.7025,-10.6706,58
-45.41927,-50.7849,-9.6743,-7.5743,-56.0941,22.694,-10.7546,59
-38.395437,-44.616,-7.5149,-7.8122,-46.153600000000004,23.4381,-9.6486,60
-51.002576,-59.4893,-12.0204,-9.5584,-55.1362,37.6802,-11.7483,61
-62.797434,-79.6727,-17.6424,-12.5647,-63.53050000000001,61.9202,-15.5709,62
-68.31164,-96.1977,-20.0946,-15.3018,-62.8622,85.2611,-16.5292,63
-70.874571,-103.0441,-16.1334,-16.489,-58.5642,92.2816,-15.1793,64
-67.433185,-99.9277,-14.1794,-16.4073,-55.2519,89.4885,-14.226,65
-55.477628,-79.3201,-8.8612,-13.7465,-51.973099999999995,61.1724,-11.2177,66
-67.082941,-83.8771,-10.9077,-12.5259,-70.73639999999999,49.3406,-12.7663,67
-45.069781,-57.5274,-5.6071,-9.9529,-49.727000000000004,32.3815,-9.0211,68
-54.48773,-64.1656,-10.3662,-9.4428,-62.177,33.205,-11.4074,69
-43.250034,-49.8509,-7.5012,-7.9272,-51.5983,23.4833,-9.8023,70
-45.603104,-50.4749,-7.3509,-7.005,-54.4119,19.7281,-9.3092,71
-38.455056,-43.251,-5.9173,-6.7951,-47.516,17.2681,-8.8207,72
