dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-195.883766,-212.6405,-36.5646,-9.2222,-241.9382,108.9189,-92.4298,53
-181.315073,-193.9515,-30.2532,-7.9461,-241.215,79.5136,-88.5778,54
-172.532403,-181.7993,-24.8845,-7.0959,-230.86329999999998,63.3861,-80.4697,55
-178.066833,-188.9391,-27.3919,-7.51,-235.67399999999998,71.4484,-83.2814,56
-182.965643,-197.5474,-32.2201,-8.3975,-238.86460000000002,89.2971,-89.9967,57
-202.774088,-224.1861,-41.8817,-10.1286,-240.5127,132.2152,-96.5315,58
-215.835448,-247.5308,-51.8499,-11.6885,-235.10840000000002,177.8054,-101.8446,59
-215.915812,-245.5488,-51.0093,-11.4173,-242.97840000000002,168.8027,-103.8057,60
-180.265865,-195.4669,-31.9244,-8.4631,-234.82460000000003,90.3745,-89.3447,61
-166.890178,-177.5996,-25.1972,-6.9991,-227.9377,61.8654,-80.0072,62
-167.151845,-173.7045,-21.9329,-6.4448,-229.65789999999998,51.5282,-79.1039,63
-168.503565,-177.6525,-24.1323,-6.8235,-229.45620000000002,58.9164,-79.7643,64
-183.106344,-195.4928,-29.806,-7.9398,-239.18849999999998,80.1602,-86.1101,65
-202.799755,-224.5844,-41.8328,-10.1901,-238.9015,134.3458,-96.64,66
-212.085644,-243.6941,-49.8532,-11.4558,-234.0305,170.9443,-99.9717,67
-201.129994,-222.9785,-42.5458,-10.1523,-242.28169999999997,132.2577,-98.8628,68
-187.343364,-200.7455,-31.9303,-8.3716,-240.8945,89.0993,-88.9464,69
-165.76911,-175.7907,-24.2712,-6.974,-225.95489999999998,60.9132,-79.8322,70
-171.543829,-180.1504,-24.8214,-6.9024,-235.15019999999998,59.6203,-82.8963,71
-182.773603,-194.2021,-29.5213,-7.913,-239.73970000000003,79.1187,-87.222,72
-199.110151,-218.3685,-38.9219,-9.7061,-238.97809999999998,121.4102,-93.3918,73
-220.592286,-253.4852,-54.0408,-11.853,-241.55349999999999,182.4746,-104.6491,74
-215.328066,-242.8752,-50.2162,-11.4119,-238.9504,169.0218,-103.4689,75
-200.430459,-221.2819,-39.8493,-9.822,-239.61110000000002,124.689,-93.3469,76
-181.583015,-193.8795,-29.3386,-7.8358,-238.48170000000005,78.0334,-85.4612,77
-172.840241,-180.5911,-24.2005,-6.9617,-232.9917,60.4619,-81.7003,78
-168.262201,-178.1569,-24.4699,-6.8254,-228.8388,59.1312,-78.5178,79
-175.585423,-184.8746,-26.4054,-7.3627,-236.09419999999997,67.6787,-85.1302,80
-192.497993,-209.1671,-35.2779,-8.9764,-241.08710000000002,103.0922,-90.7579,81
-204.139813,-231.3572,-44.8197,-10.7214,-233.9032,149.6561,-96.661,82
-215.968751,-246.8444,-51.747,-11.6576,-236.5791,176.6821,-103.0122,83
-201.555267,-223.5233,-41.6572,-10.0366,-241.8106,129.7704,-96.3639,84
-180.927157,-193.6585,-29.3732,-7.9401,-235.43760000000003,80.3438,-84.8096,85
-170.017293,-177.5219,-23.6318,-6.7538,-233.06599999999997,56.7143,-81.8728,86
-172.770571,-182.5793,-25.1336,-7.0422,-231.5675,62.9343,-79.7467,87
-186.585658,-201.2769,-32.7883,-8.5934,-238.46120000000002,93.6444,-89.447,88
-207.563066,-230.2579,-44.7812,-10.4162,-247.6117,139.4644,-101.6208,89
-207.946089,-234.3887,-45.3357,-10.7734,-234.87140000000002,150.8234,-95.197,90
-200.264626,-219.441,-39.758,-9.7726,-242.08700000000002,122.8305,-95.9459,91
-197.217994,-216.5685,-38.5703,-9.4307,-245.42360000000002,114.1754,-95.0295,92
