dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-122.755786,-119.2705,-10.4625,-3.1676,-139.7275,32.139,-38.9659,1
-121.099829,-118.561,-10.6451,-3.1556,-140.02540000000002,31.8413,-39.505,3
-135.66564,-129.582,-12.6132,-3.722,-143.3265,43.5702,-40.9795,5
-137.289463,-134.1037,-15.779,-4.4713,-139.5729,61.5019,-46.7208,7
-141.920597,-137.7743,-15.9022,-4.4874,-142.0771,61.8909,-45.8041,9
-134.158304,-129.0367,-12.5987,-3.6741,-143.72609999999997,42.4658,-40.8824,11
-117.121762,-115.4488,-10.3967,-3.1055,-137.0317,30.9205,-39.0012,13
-121.577255,-117.496,-9.5912,-2.9576,-138.7062,28.4234,-37.0848,15
-108.166572,-109.9643,-11.1151,-3.2444,-131.31169999999997,33.2753,-40.2632,17
-145.615688,-143.2731,-19.5899,-5.2404,-134.752,83.7817,-50.4303,19
-154.014994,-145.7293,-17.405,-4.8899,-141.4828,73.3962,-46.8548,21
-108.26133,-107.6521,-9.2524,-2.9137,-128.529,27.9576,-36.6684,23
-99.56235,-98.6517,-6.6537,-2.0966,-122.99849999999999,15.8692,-31.4657,25
-109.183859,-105.9086,-7.0512,-2.2146,-131.6441,16.9254,-33.3951,27
-136.740461,-133.7204,-13.4747,-4.1332,-141.9238,52.7137,-43.3092,29
-177.729717,-167.1886,-24.0589,-6.6597,-121.79850000000002,132.4679,-56.3592,31
-143.22558,-136.7113,-14.7959,-4.1801,-145.6437,54.0835,-44.0399,33
-113.106926,-111.1443,-9.3537,-2.9163,-133.1123,27.7564,-37.4544,35
-116.945612,-114.3178,-9.281,-2.9574,-134.87140000000002,28.5531,-36.8683,37
-143.650516,-139.583,-14.6692,-4.3437,-145.04149999999998,57.8587,-44.3043,39
-159.000189,-150.6287,-20.8831,-5.4342,-136.5353,90.4672,-50.0565,41
-138.184069,-133.1353,-13.1331,-3.982,-144.0879,49.2733,-43.1108,43
-113.433005,-110.6873,-8.2262,-2.5506,-134.9749,21.875,-35.3858,45
-108.473191,-105.864,-7.2735,-2.2913,-130.60500000000002,17.9849,-33.1611,47
-121.271661,-120.2091,-11.952,-3.4613,-139.19480000000001,37.7318,-41.3042,49
-174.007337,-161.2804,-23.1698,-5.9002,-137.7679,105.3462,-52.7637,51
-142.713103,-138.0237,-15.7371,-4.4508,-141.0623,61.181,-44.0317,53
