dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-64.357261,-69.858,-3.1278,-5.6034,-70.9486,22.6462,-15.0056,1
-65.320311,-72.9181,-4.0321,-6.4114,-68.7894,30.5212,-15.949,2
-72.274935,-81.8167,-4.8945,-7.2418,-71.18979999999999,39.4021,-16.6389,3
-78.098067,-89.5971,-6.0373,-8.0116,-73.45779999999999,48.612,-18.4238,4
-76.821905,-89.0746,-5.9646,-8.0265,-71.156,49.4242,-17.5145,5
-74.006081,-82.8087,-4.9111,-7.199,-73.628,38.644,-17.3532,6
-69.369178,-76.9257,-4.0174,-6.4177,-71.7763,31.2279,-15.6434,7
-60.747669,-67.4118,-3.2536,-5.6849,-65.0388,25.3309,-14.0194,8
-59.159584,-63.7851,-2.6084,-5.0114,-66.0728,19.0152,-13.6831,9
-60.180729,-63.5244,-2.1963,-4.4735,-68.4029,14.7427,-12.9514,10
-58.681985,-61.8066,-2.0279,-4.2927,-66.8251,13.8249,-12.5228,11
-50.918071,-56.017,-2.4386,-4.7512,-57.884,18.0378,-12.715,12
-60.551036,-65.568,-2.7456,-5.1347,-67.0339,20.1983,-13.7839,13
-66.065236,-70.6419,-2.8923,-5.3688,-72.2814,21.1369,-14.5153,14
-61.392697,-70.4051,-4.081,-6.5105,-62.84360000000001,33.3569,-15.2039,15
-61.955624,-73.7357,-4.8914,-7.2448,-60.328199999999995,41.5389,-15.9952,16
-73.303588,-82.8359,-4.8784,-7.2069,-71.7105,39.7953,-16.5846,17
-74.479774,-83.8318,-4.9841,-7.2654,-73.0638,40.0357,-17.0182,18
-74.311454,-86.1451,-5.5992,-7.7481,-70.3173,46.3914,-17.2163,19
-77.205869,-88.046,-5.715,-7.8724,-72.37560000000002,46.9922,-17.7344,20
-75.714268,-87.6704,-5.8687,-7.9384,-71.0445,48.1034,-17.6704,21
-73.046012,-83.0868,-5.0267,-7.2957,-71.5028,40.8361,-16.9297,22
-68.219283,-74.6655,-3.5984,-6.0733,-71.5493,27.8543,-15.0664,23
-64.782343,-68.8862,-2.6696,-5.0193,-72.0051,18.6311,-14.0611,24
-55.002197,-58.1617,-1.9409,-4.1669,-63.330200000000005,13.187,-12.2477,25
-47.947079,-50.1651,-1.5265,-3.562,-57.131,9.3897,-11.2671,26
-52.584182,-54.1867,-1.2873,-3.2074,-62.3326,7.3232,-10.9744,27
-54.642413,-56.0754,-1.2595,-3.1824,-63.691500000000005,7.3996,-10.5738,28
-50.495273,-52.3428,-1.3835,-3.2734,-60.0796,7.8397,-10.9196,29
-46.802007,-49.0649,-1.3633,-3.4567,-56.9581,8.1669,-11.2401,30
-52.63437,-55.6459,-1.8941,-4.1187,-61.9454,12.0404,-12.3271,31
-60.17791,-64.9174,-2.6326,-4.9783,-67.0681,19.0127,-13.5525,32
-59.236829,-64.3482,-2.8194,-5.322,-65.76920000000001,20.742,-14.0216,33
