dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-48.550195,-64.9673,-6.7581,-11.6609,-49.51889999999999,42.3061,-8.4387,1
-41.093263,-56.4145,-7.3144,-10.9587,-43.7554,39.5639,-8.6317,2
-49.104627,-62.2104,-11.331,-10.9065,-51.6962,42.8912,-10.1395,3
-45.827266,-58.8821,-9.9613,-10.6443,-48.3783,40.6383,-9.5289,4
-53.088231,-65.5011,-11.0813,-10.7696,-55.20129999999999,42.5604,-10.4097,5
-45.127254,-58.2299,-12.1111,-10.9569,-47.3795,44.4985,-10.5801,6
-52.444464,-66.2841,-18.9407,-11.7765,-54.74419999999999,55.6665,-13.4094,7
-55.550403,-70.6929,-17.1307,-12.1969,-55.09479999999999,58.1488,-13.2231,8
-56.433274,-72.7496,-12.148,-12.0557,-53.8179,53.9282,-10.7928,9
-52.336581,-74.9173,-12.0116,-13.6658,-50.172200000000004,61.3167,-10.8942,10
-52.845156,-79.4871,-10.283,-14.5819,-45.7615,68.7794,-10.1889,11
-64.809071,-90.8531,-11.6447,-14.8785,-53.465,75.115,-11.2037,12
-57.101589,-86.89,-18.8746,-15.6472,-48.517900000000004,86.672,-13.7781,13
-74.21648,-101.4612,-40.4585,-16.095,-67.6714,115.9288,-25.5855,14
-48.943014,-67.0298,-16.4737,-12.9195,-43.17699999999999,65.9397,-12.6937,15
-49.406801,-60.4762,-12.49,-10.6654,-48.6171,45.7198,-10.7053,16
-48.412545,-58.3864,-13.6341,-10.0655,-53.7634,39.4637,-11.1411,17
-51.941682,-61.4823,-15.1536,-9.8072,-61.656400000000005,36.6619,-11.8752,18
-43.194464,-50.0607,-4.7813,-7.7825,-48.577099999999994,21.1564,-7.109,19
-46.094225,-53.3736,-4.8042,-8.1381,-53.04330000000001,20.6752,-7.4026,20
-37.317285,-44.9623,-3.4997,-7.8765,-43.8674,18.9103,-6.4392,21
-40.812184,-48.0839,-3.0103,-7.6907,-46.2945,18.8057,-6.3153,22
-53.182735,-62.3749,-7.8897,-9.3853,-61.0395,27.7442,-9.1338,23
-43.968244,-54.0226,-7.1583,-9.3175,-49.1496,29.5403,-8.1915,24
-50.480121,-59.8018,-7.573,-9.3664,-53.248999999999995,32.2028,-8.7106,25
-52.909466,-66.0076,-15.0875,-11.1255,-57.603899999999996,46.4903,-11.8736,26
-61.083886,-77.2353,-25.8329,-12.5704,-68.4703,63.8633,-16.695,27
-54.92596,-69.0151,-15.7967,-11.5835,-57.201800000000006,51.5751,-12.3816,28
-48.434955,-60.0089,-8.4909,-10.3072,-47.251599999999996,40.4405,-8.8851,29
-55.67944,-69.1205,-16.2098,-11.3588,-59.95120000000001,49.2901,-12.5522,30
-53.390868,-65.5027,-17.5504,-10.9194,-60.5628,46.1784,-12.7687,31
-49.155927,-58.8592,-12.1354,-9.8296,-54.25690000000001,37.0911,-10.5238,32
-46.278249,-54.7751,-8.0716,-9.0455,-49.340900000000005,31.2881,-8.7368,33
-48.568787,-58.9246,-12.8192,-10.1566,-52.7025,39.9433,-10.7454,34
-54.087052,-66.3738,-16.9045,-11.0958,-58.4116,48.7247,-12.7622,35
-52.453069,-65.3754,-14.9086,-11.2237,-54.0717,49.3534,-11.9174,36
-49.185438,-62.2234,-12.0102,-11.0413,-49.44069999999999,46.3098,-10.4756,37
-55.485822,-68.3777,-14.29,-11.0761,-58.3549,47.1052,-11.7163,38
-50.515427,-61.6894,-12.1347,-10.3941,-53.8308,40.943,-10.5556,39
-48.098818,-58.5763,-10.5583,-9.9363,-52.76000000000001,36.223,-9.9121,40
-52.243101,-62.1493,-12.615,-9.9183,-57.2992,38.2068,-10.8234,41
-43.542176,-54.2627,-9.2926,-9.8932,-47.06510000000001,35.5791,-9.1957,42
-51.815877,-64.3604,-10.978,-10.6695,-54.4783,41.7301,-10.2005,43
-52.99296,-68.4549,-11.3615,-11.7209,-54.425999999999995,47.5681,-10.4568,44
-43.859813,-60.0101,-5.7544,-11.2542,-44.6987,40.2024,-7.8824,45
-63.970534,-80.1861,-10.1325,-12.3523,-63.8557,49.5015,-10.6863,46
-44.119272,-65.7116,-7.9733,-12.9279,-42.78610000000001,52.7865,-8.9598,47
