cls_elec,ct,disp,int,mod_pauli,pol,index
-50.0813,-1.2443,-3.2249,-56.197199999999995,7.2937,-8.9404,1
-50.3274,-1.3276,-3.2649,-56.65679999999999,7.4432,-9.1801,2
-52.3529,-1.3005,-3.3788,-58.5081,7.8045,-9.2804,3
-53.5635,-1.5951,-3.7661,-59.038,9.767,-9.8803,4
-56.246,-2.1756,-4.4533,-59.18990000000001,14.3985,-10.7135,5
-61.5725,-2.6802,-5.133,-61.9618,19.0439,-11.62,6
-64.8621,-3.4071,-5.8318,-61.9455,24.5633,-12.4078,7
-68.4173,-3.5296,-6.2706,-64.1958,27.0983,-13.0766,8
-71.2571,-4.1881,-6.7145,-63.94839999999999,31.8014,-13.5901,9
-70.3666,-3.931,-6.4735,-64.5186,29.6098,-13.3573,10
-68.8497,-3.4684,-6.1178,-64.8553,26.3726,-12.792,11
-66.5856,-3.3354,-5.8133,-64.5155,23.8215,-12.6027,12
-64.4765,-2.9041,-5.4901,-64.0666,21.0468,-12.2427,13
-59.6863,-2.8146,-5.2267,-59.2406,19.8936,-11.4066,14
-61.8328,-2.6659,-5.2563,-63.242999999999995,18.6609,-12.1489,15
-62.1393,-2.6329,-5.08,-63.3703,18.2333,-11.7514,16
-56.1286,-2.6673,-5.1042,-56.4984,18.6485,-11.2468,17
-58.6463,-2.8132,-5.4641,-59.7111,19.6681,-12.4556,18
-63.7258,-3.2597,-5.7841,-61.1696,23.8354,-12.2354,19
-65.6698,-3.5167,-5.9645,-61.70329999999999,25.995,-12.5473,20
-61.5222,-3.2946,-5.8894,-59.25450000000001,24.02,-12.5683,21
-59.4862,-3.0306,-5.6335,-58.68479999999999,21.6495,-12.184,22
-61.787,-2.862,-5.4222,-61.644000000000005,20.4859,-12.0587,23
-61.6982,-2.788,-5.1819,-61.60809999999999,19.629,-11.569,24
-56.2808,-2.4713,-4.8807,-58.1114,16.8222,-11.3008,25
-56.5255,-2.195,-4.6449,-59.6169,14.8509,-11.1024,26
-59.8354,-2.3646,-4.7194,-61.8828,16.0853,-11.0487,27
-61.0824,-2.3519,-4.8463,-63.3151,16.4017,-11.4362,28
-62.0089,-2.4907,-4.9586,-64.00419999999998,17.1212,-11.6672,29
-62.9994,-2.7692,-5.1784,-63.283899999999996,19.3213,-11.6582,30
-62.7697,-2.6741,-5.2678,-63.26520000000001,19.4168,-11.9704,31
-61.8369,-3.0584,-5.3635,-60.6773,21.3615,-11.78,32
-63.0374,-3.0811,-5.4958,-61.7187,21.8963,-12.0007,33
-65.4754,-3.04,-5.7954,-65.0015,22.3711,-13.0618,34
-67.0868,-3.7494,-6.1185,-62.0394,27.4287,-12.5134,35
-66.5464,-3.2641,-5.9067,-63.94540000000001,24.4782,-12.7064,36
-64.1842,-3.289,-5.8667,-62.469100000000005,23.6567,-12.7859,37
-63.3162,-3.274,-5.6863,-61.10350000000001,23.2519,-12.0789,38
-62.9765,-2.507,-5.1733,-64.54629999999999,18.1234,-12.0129,39
-61.6754,-2.6761,-4.9864,-62.973400000000005,17.8605,-11.496,40
-61.2039,-2.4281,-4.8728,-63.10629999999999,16.7752,-11.3767,41
-63.1747,-2.5758,-5.2237,-64.6019,18.5231,-12.1508,42
-67.5787,-3.9345,-6.1975,-62.14439999999999,28.2708,-12.7045,43
-73.8968,-4.2596,-7.0593,-65.0674,34.1767,-14.0284,44
-81.6643,-5.9939,-8.3158,-63.643100000000004,47.6919,-15.361,45
-80.2065,-5.9121,-8.28,-60.53910000000001,48.8426,-14.9831,46
-75.6026,-4.8035,-7.4344,-63.5407,38.6744,-14.3746,47
-71.6327,-4.3772,-6.853,-63.59610000000001,32.9771,-13.7103,48
-61.7539,-3.475,-6.1598,-58.64169999999999,25.7206,-12.9736,49
-62.0172,-3.9248,-6.4805,-56.6989,28.9053,-13.1817,50
