cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-152.6825,-55.4122,-23.2872,-0.9917999999999978,271.2176,-40.8275,1,2.7167852632047818
-129.9355,-43.8417,-20.6823,-24.1585,201.3474,-31.0464,2,2.8207852632047814
-111.4544,-34.8079,-18.3055,-39.0444,149.5719,-24.0485,3,2.924785263204781
-96.4487,-27.6473,-16.1517,-48.1404,111.2154,-19.1081,4,3.0287852632047816
-84.2394,-21.9271,-14.2111,-53.19070000000001,82.8158,-15.6289,5,3.132785263204781
-74.2637,-17.3505,-12.473,-55.49570000000001,61.742,-13.1505,6,3.2367852632047818
-66.0649,-13.6975,-10.9229,-55.89549999999999,46.1301,-11.3403,7,3.340785263204781
-59.2775,-10.7958,-9.5468,-55.0713,34.515,-9.9662,8,3.444785263204782
-53.6117,-8.5033,-8.3297,-53.4262,25.8939,-8.8754,9,3.548785263204781
-48.8394,-6.7015,-7.2559,-51.319399999999995,19.4498,-7.9724,10,3.652785263204781
-44.7816,-5.2919,-6.3109,-48.915600000000005,14.6664,-7.1976,11,3.7567852632047827
-41.2984,-4.1928,-5.4819,-46.4196,11.0683,-6.5148,12,3.8607852632047805
-38.2804,-3.3371,-4.7548,-43.892,8.3862,-5.9059,13,3.96478526320478
-35.642,-2.6714,-4.1199,-41.41630000000001,6.3719,-5.3549,14,4.068785263204782
-33.3159,-2.1521,-3.5653,-39.0475,4.8444,-4.8586,15,4.172785263204782
-31.2493,-1.746,-3.0822,-36.772999999999996,3.7126,-4.4081,16,4.276785263204782
-29.4,-1.4267,-2.6618,-34.6439,2.8466,-4.002,17,4.380785263204782
-27.7345,-1.1741,-2.2968,-32.6569,2.1834,-3.6349,18,4.484785263204781
-26.2258,-0.9726,-1.9817,-30.7876,1.6952,-3.3027,19,4.588785263204781
-24.852,-0.8102,-1.7077,-29.0594,1.3169,-3.0064,20,4.692785263204781
-23.5952,-0.6784,-1.4718,-27.464299999999998,1.0192,-2.7381,21,4.796785263204781
-22.4406,-0.5704,-1.2684,-25.9747,0.8021,-2.4974,22,4.900785263204782
-21.3759,-0.481,-1.0924,-24.593600000000006,0.6376,-2.2819,23,5.004785263204782
-20.3908,-0.4066,-0.9422,-23.327,0.499,-2.0864,24,5.1087852632047825
-19.4766,-0.3441,-0.8134,-22.153800000000004,0.3916,-1.9113,25,5.212785263204783
-18.6259,-0.2916,-0.702,-21.0571,0.3169,-1.7545,26,5.31678526320478
-17.8325,-0.2472,-0.607,-20.0409,0.2578,-1.612,27,5.420785263204782
-17.0907,-0.2091,-0.526,-19.105399999999996,0.2039,-1.4835,28,5.524785263204781
-16.396,-0.1767,-0.456,-18.235200000000003,0.1618,-1.3683,29,5.628785263204781
-15.744,-0.1492,-0.396,-17.418000000000003,0.1344,-1.2632,30,5.732785263204781
-15.1312,-0.1256,-0.3452,-16.6567,0.1129,-1.1676,31,5.836785263204782
-14.5543,-0.1053,-0.3015,-15.952200000000001,0.0903,-1.0814,32,5.9407852632047815
-14.0105,-0.0882,-0.2634,-15.296000000000001,0.0693,-1.0032,33,6.044785263204781
-13.4972,-0.0736,-0.2312,-14.6772,0.0558,-0.931,34,6.148785263204782
-13.012,-0.0608,-0.2039,-14.093100000000002,0.0487,-0.8651,35,6.252785263204782
-12.5529,-0.0499,-0.1803,-13.546199999999999,0.0425,-0.8056,36,6.356785263204781
-12.118,-0.0408,-0.1594,-13.035300000000001,0.0343,-0.7514,37,6.46078526320478
-11.7056,-0.0332,-0.1414,-12.555500000000002,0.0259,-0.7012,38,6.564785263204782
-11.3142,-0.0268,-0.126,-12.100899999999998,0.0211,-0.655,39,6.668785263204781
-10.9422,-0.0215,-0.1126,-11.6695,0.0195,-0.6127,40,6.772785263204783
-10.5885,-0.0172,-0.1005,-11.262300000000002,0.0179,-0.574,41,6.8767852632047815
-10.2519,-0.0137,-0.0899,-10.8796,0.0141,-0.5382,42,6.980785263204781
-9.9312,-0.011,-0.0809,-10.518799999999999,0.009,-0.5047,43,7.084785263204781
-9.6255,-0.0088,-0.0732,-10.176400000000001,0.005,-0.4739,44,7.188785263204781
-9.3337,-0.0073,-0.0664,-9.8488,0.0041,-0.4455,45,7.292785263204782
-9.0552,-0.0062,-0.0603,-9.5354,0.0057,-0.4194,46,7.396785263204781
-8.789,-0.0054,-0.0546,-9.237300000000001,0.007,-0.3953,47,7.500785263204782
-8.5345,-0.0049,-0.0496,-8.9553,0.0064,-0.3727,48,7.604785263204782
-8.2909,-0.0046,-0.0452,-8.6884,0.004,-0.3517,49,7.708785263204781
-8.0577,-0.0045,-0.0412,-8.434000000000001,0.0016,-0.3322,50,7.8127852632047805
-7.8343,-0.0044,-0.0377,-8.1897,0.0007,-0.314,51,7.9167852632047815
