cls_elec,ct,disp,int,mod_pauli,pol,index,distances
-118.6827,-39.2034,-25.0344,-9.499100000000002,196.8553,-23.4339,1,2.972534030535338
-102.0214,-30.8769,-21.627,-25.03259999999999,148.2947,-18.802,2,3.076534030535338
-88.5027,-24.4077,-18.6749,-35.1995,111.7715,-15.3857,3,3.1805340305353376
-77.4959,-19.3676,-16.1691,-41.56150000000001,84.309,-12.8379,4,3.2845340305353377
-68.489,-15.4238,-13.9734,-45.143,63.658,-10.9148,5,3.3885340305353373
-61.0719,-12.3229,-12.1216,-46.834,48.1229,-9.4405,6,3.4925340305353383
-54.9191,-9.8737,-10.4892,-47.1407,36.4283,-8.287,7,3.596534030535338
-49.7738,-7.9303,-9.125,-46.57820000000001,27.6166,-7.3657,8,3.7005340305353376
-45.434,-6.3843,-7.892,-45.349399999999996,20.9694,-6.6085,9,3.8045340305353377
-41.7409,-5.15,-6.8689,-43.7838,15.9487,-5.9727,10,3.9085340305353378
-38.5698,-4.1635,-5.9498,-41.9568,12.1512,-5.4249,11,4.0125340305353365
-35.8225,-3.3735,-5.1654,-40.0306,9.2746,-4.9438,12,4.1165340305353375
-33.4218,-2.7403,-4.5059,-38.0904,7.0924,-4.5148,13,4.2205340305353385
-31.3063,-2.2319,-3.8861,-36.119299999999996,5.4344,-4.1294,14,4.324534030535337
-29.4276,-1.8238,-3.3771,-34.2335,4.1728,-3.7778,15,4.428534030535338
-27.7471,-1.4953,-2.9392,-32.43,3.2113,-3.4597,16,4.532534030535336
-26.2337,-1.2307,-2.5307,-30.683999999999997,2.4775,-3.1664,17,4.636534030535338
-24.8625,-1.0167,-2.1983,-29.0608,1.9165,-2.8998,18,4.740534030535339
-23.6133,-0.8432,-1.9215,-27.5483,1.4869,-2.6572,19,4.844534030535338
-22.4696,-0.7021,-1.6534,-26.102200000000003,1.1573,-2.4344,20,4.9485340305353365
-21.4177,-0.5869,-1.4181,-24.751199999999997,0.904,-2.2325,21,5.052534030535338
-20.4466,-0.4924,-1.2391,-23.5178,0.7088,-2.0485,22,5.1565340305353375
-19.5467,-0.4143,-1.083,-22.3662,0.5581,-1.8803,23,5.2605340305353385
-18.7102,-0.3495,-0.9291,-21.2759,0.4413,-1.7284,24,5.364534030535339
-17.9304,-0.2956,-0.7986,-20.264599999999998,0.3506,-1.5906,25,5.468534030535337
-17.2016,-0.2503,-0.7039,-19.3403,0.2799,-1.4644,26,5.572534030535338
-16.519,-0.2119,-0.6207,-18.4774,0.2245,-1.3503,27,5.676534030535339
-15.8781,-0.1794,-0.5328,-17.6568,0.181,-1.2475,28,5.780534030535339
-15.2755,-0.1519,-0.4531,-16.886899999999997,0.1467,-1.1531,29,5.884534030535338
-14.7077,-0.1284,-0.3973,-16.180899999999998,0.1194,-1.0669,30,5.9885340305353365
-14.172,-0.1083,-0.3584,-15.5303,0.0976,-0.9892,31,6.0925340305353375
-13.6658,-0.0913,-0.3186,-14.914100000000001,0.0802,-0.9186,32,6.1965340305353385
-13.1869,-0.0768,-0.2748,-14.3256,0.0661,-0.8532,33,6.300534030535338
-12.7332,-0.0642,-0.2358,-13.771799999999999,0.0548,-0.7934,34,6.404534030535337
-12.3029,-0.0535,-0.209,-13.259199999999998,0.0455,-0.7393,35,6.508534030535337
-11.8944,-0.0445,-0.1917,-12.7829,0.0379,-0.6902,36,6.612534030535338
-11.5062,-0.037,-0.1743,-12.330400000000003,0.0316,-0.6445,37,6.716534030535338
-11.1369,-0.0306,-0.1525,-11.895999999999999,0.0264,-0.6024,38,6.820534030535337
-10.7852,-0.0252,-0.1303,-11.4825,0.0221,-0.5639,39,6.924534030535336
-10.4502,-0.0208,-0.1133,-11.0943,0.0186,-0.5286,40,7.028534030535338
-10.1306,-0.0171,-0.1041,-10.7322,0.0156,-0.496,41,7.132534030535338
-9.8256,-0.0141,-0.1001,-10.3921,0.0131,-0.4654,42,7.236534030535337
-9.5342,-0.0115,-0.0946,-10.066500000000001,0.011,-0.4372,43,7.340534030535337
-9.2558,-0.0095,-0.0846,-9.7519,0.0092,-0.4112,44,7.444534030535338
-8.9894,-0.0079,-0.0728,-9.4498,0.0077,-0.3874,45,7.548534030535338
-8.7344,-0.0066,-0.0629,-9.162900000000002,0.0065,-0.3655,46,7.652534030535339
-8.4902,-0.0057,-0.0564,-8.8918,0.0054,-0.3449,47,7.756534030535336
-8.2562,-0.005,-0.0535,-8.6358,0.0045,-0.3256,48,7.860534030535338
-8.0317,-0.0045,-0.0519,-8.392000000000001,0.0038,-0.3077,49,7.964534030535337
-7.8163,-0.0041,-0.0486,-8.1569,0.0032,-0.2911,50,8.068534030535337
-7.6096,-0.0039,-0.0427,-7.9291,0.0026,-0.2755,51,8.172534030535337
